BLOCK,EVENT,TIME,CHAN,Sampling_Freq,NumOfPoints,D0,
Block-316,ATOF,51.58117366,0,0,1,0,
Block-316,ATOF,196.0541799,0,0,1,0,
Block-316,ATOF,211.5473409,0,0,1,0,
Block-316,ATOF,274.2161818,0,0,1,0,
Block-316,ATOF,300.9452441,0,0,1,0,
Block-316,ATOF,322.9508402,0,0,1,0,
Block-316,ATOF,341.298135,0,0,1,0,
Block-316,ATOF,362.548347,0,0,1,0,
Block-316,ATOF,380.4672818,0,0,1,0,
Block-316,ATOF,394.0204544,0,0,1,0,
Block-316,ATOF,403.8538854,0,0,1,0,
Block-316,ATOF,427.0309377,0,0,1,0,
Block-316,ATOF,443.2368026,0,0,1,0,
Block-316,ATOF,471.5297997,0,0,1,0,
Block-316,ATOF,488.0718644,0,0,1,0,
Block-316,ATOF,589.4465945,0,0,1,0,
Block-316,ATOF,620.2717798,0,0,1,0,
Block-316,ATOF,636.2670286,0,0,1,0,
Block-316,ATOF,649.6096666,0,0,1,0,
Block-316,ATOF,663.9071231,0,0,1,0,
Block-316,ATOF,671.4815283,0,0,1,0,
Block-316,ATOF,686.2644429,0,0,1,0,
Block-316,ATOF,699.9976346,0,0,1,0,
Block-316,ATOF,719.2566171,0,0,1,0,
Block-316,ATOF,727.7081804,0,0,1,0,
Block-316,ATOF,737.7103257,0,0,1,0,
Block-316,ATOF,829.5820494,0,0,1,0,
Block-316,ATOF,849.9697254,0,0,1,0,
Block-316,ATOF,870.7887924,0,0,1,0,
Block-316,ATOF,906.7156684,0,0,1,0,
Block-316,ATOF,921.2451227,0,0,1,0,
Block-316,ATOF,938.3527219,0,0,1,0,
Block-316,ATOF,955.1945319,0,0,1,0,
Block-316,ATOF,991.4690356,0,0,1,0,
Block-316,ATOF,1005.129605,0,0,1,0,
Block-316,ATOF,1022.326129,0,0,1,0,
Block-316,ATOF,1052.693463,0,0,1,0,
Block-316,ATOF,1064.676721,0,0,1,0,
Block-316,ATOF,1079.015137,0,0,1,0,
Block-316,ATOF,1096.836137,0,0,1,0,
Block-316,ATOF,1111.088619,0,0,1,0,
Block-316,ATOF,1127.839498,0,0,1,0,
Block-316,ATOF,1155.572859,0,0,1,0,
Block-316,ATOF,1171.306578,0,0,1,0,
Block-316,ATOF,1194.083328,0,0,1,0,
Block-316,ATOF,1224.004936,0,0,1,0,
Block-316,ATOF,1235.806372,0,0,1,0,
Block-316,ATOF,1265.293558,0,0,1,0,
Block-316,ATOF,1310.43926,0,0,1,0,
Block-316,ATOF,1328.004874,0,0,1,0,
Block-316,ATOF,1363.989586,0,0,1,0,
Block-316,ATOF,1444.786913,0,0,1,0,
Block-316,ATOF,1475.528499,0,0,1,0,
Block-316,ATOF,1490.627502,0,0,1,0,
Block-316,ATOF,1520.261366,0,0,1,0,
Block-316,ATOF,1529.636045,0,0,1,0,
Block-316,ATOF,1547.719844,0,0,1,0,
Block-316,ATOF,1561.868206,0,0,1,0,
Block-316,ATOF,1580.685025,0,0,1,0,
Block-316,ATOF,1626.142392,0,0,1,0,
Block-316,ATOF,1640.649564,0,0,1,0,
Block-316,ATOF,1655.179141,0,0,1,0,
Block-316,ATOF,1682.106245,0,0,1,0,
Block-316,ATOF,1698.785608,0,0,1,0,
Block-316,ATOF,1712.475914,0,0,1,0,
Block-316,ATOF,1770.369515,0,0,1,0,
