BLOCK,EVENT,TIME,CHAN,Sampling_Freq,NumOfPoints,D0,
Block-316,LICK,49.90676999,0,0,1,0,
Block-316,LICK,49.9718554,0,0,1,0,
Block-316,LICK,50.06000137,0,0,1,0,
Block-316,LICK,50.1277492,0,0,1,0,
Block-316,LICK,50.26115584,0,0,1,0,
Block-316,LICK,50.37445116,0,0,1,0,
Block-316,LICK,50.50077176,0,0,1,0,
Block-316,LICK,50.6284852,0,0,1,0,
Block-316,LICK,50.74591756,0,0,1,0,
Block-316,LICK,193.5313716,0,0,1,0,
Block-316,LICK,194.2890906,0,0,1,0,
Block-316,LICK,194.4357684,0,0,1,0,
Block-316,LICK,194.5723698,0,0,1,0,
Block-316,LICK,194.7143373,0,0,1,0,
Block-316,LICK,210.0842495,0,0,1,0,
Block-316,LICK,210.5218663,0,0,1,0,
Block-316,LICK,210.6865664,0,0,1,0,
Block-316,LICK,265.8925364,0,0,1,0,
Block-316,LICK,266.1282611,0,0,1,0,
Block-316,LICK,266.33429,0,0,1,0,
Block-316,LICK,266.4730215,0,0,1,0,
Block-316,LICK,266.6095412,0,0,1,0,
Block-316,LICK,266.739753,0,0,1,0,
Block-316,LICK,266.8695552,0,0,1,0,
Block-316,LICK,266.9648283,0,0,1,0,
Block-316,LICK,267.000668,0,0,1,0,
Block-316,LICK,267.1449702,0,0,1,0,
Block-316,LICK,267.2859137,0,0,1,0,
Block-316,LICK,267.3347788,0,0,1,0,
Block-316,LICK,267.5468287,0,0,1,0,
Block-316,LICK,267.6851099,0,0,1,0,
Block-316,LICK,267.8063924,0,0,1,0,
Block-316,LICK,267.9266918,0,0,1,0,
Block-316,LICK,268.0468276,0,0,1,0,
Block-316,LICK,268.0785716,0,0,1,0,
Block-316,LICK,268.3595982,0,0,1,0,
Block-316,LICK,268.4945204,0,0,1,0,
Block-316,LICK,268.6327193,0,0,1,0,
Block-316,LICK,268.7878349,0,0,1,0,
Block-316,LICK,268.9431553,0,0,1,0,
Block-316,LICK,269.0855732,0,0,1,0,
Block-316,LICK,269.2351592,0,0,1,0,
Block-316,LICK,269.3106074,0,0,1,0,
Block-316,LICK,269.5402701,0,0,1,0,
Block-316,LICK,269.6799436,0,0,1,0,
Block-316,LICK,292.4312167,0,0,1,0,
Block-316,LICK,292.5883391,0,0,1,0,
Block-316,LICK,296.1905663,0,0,1,0,
Block-316,LICK,296.3222528,0,0,1,0,
Block-316,LICK,296.4631963,0,0,1,0,
Block-316,LICK,296.6090956,0,0,1,0,
Block-316,LICK,296.7476225,0,0,1,0,
Block-316,LICK,296.8943002,0,0,1,0,
Block-316,LICK,296.9744999,0,0,1,0,
Block-316,LICK,297.0357351,0,0,1,0,
Block-316,LICK,297.1853209,0,0,1,0,
Block-316,LICK,297.32864,0,0,1,0,
Block-316,LICK,297.4844518,0,0,1,0,
Block-316,LICK,297.6067173,0,0,1,0,
Block-316,LICK,297.9044557,0,0,1,0,
Block-316,LICK,298.0302029,0,0,1,0,
Block-316,LICK,298.177618,0,0,1,0,
Block-316,LICK,298.3272038,0,0,1,0,
Block-316,LICK,298.4786329,0,0,1,0,
Block-316,LICK,299.2299623,0,0,1,0,
Block-316,LICK,299.3673012,0,0,1,0,
Block-316,LICK,299.5265126,0,0,1,0,
Block-316,LICK,299.674583,0,0,1,0,
Block-316,LICK,299.8315828,0,0,1,0,
Block-316,LICK,315.1333785,0,0,1,0,
Block-316,LICK,315.4271028,0,0,1,0,
Block-316,LICK,315.5632129,0,0,1,0,
Block-316,LICK,315.6204338,0,0,1,0,
Block-316,LICK,315.7275033,0,0,1,0,
Block-316,LICK,315.8586574,0,0,1,0,
Block-316,LICK,316.143616,0,0,1,0,
Block-316,LICK,316.2854195,0,0,1,0,
Block-316,LICK,319.5256014,0,0,1,0,
Block-316,LICK,319.6945202,0,0,1,0,
Block-316,LICK,319.8650777,0,0,1,0,
Block-316,LICK,320.0380518,0,0,1,0,
Block-316,LICK,320.212009,0,0,1,0,
Block-316,LICK,320.3708928,0,0,1,0,
Block-316,LICK,320.5114675,0,0,1,0,
Block-316,LICK,322.1367195,0,0,1,0,
Block-316,LICK,333.6721613,0,0,1,0,
Block-316,LICK,333.8230579,0,0,1,0,
Block-316,LICK,333.9589632,0,0,1,0,
Block-316,LICK,334.1063373,0,0,1,0,
Block-316,LICK,334.2813184,0,0,1,0,
Block-316,LICK,334.3936718,0,0,1,0,
Block-316,LICK,334.6750669,0,0,1,0,
Block-316,LICK,334.8243661,0,0,1,0,
Block-316,LICK,334.96789,0,0,1,0,
Block-316,LICK,335.2553883,0,0,1,0,
Block-316,LICK,335.3955944,0,0,1,0,
Block-316,LICK,335.5474739,0,0,1,0,
Block-316,LICK,335.693701,0,0,1,0,
Block-316,LICK,335.7010739,0,0,1,0,
Block-316,LICK,335.8479154,0,0,1,0,
Block-316,LICK,337.2171674,0,0,1,0,
Block-316,LICK,337.533993,0,0,1,0,
Block-316,LICK,337.6736665,0,0,1,0,
Block-316,LICK,337.8005607,0,0,1,0,
Block-316,LICK,337.8270617,0,0,1,0,
Block-316,LICK,337.9829144,0,0,1,0,
Block-316,LICK,338.1413889,0,0,1,0,
Block-316,LICK,338.7898266,0,0,1,0,
Block-316,LICK,340.0521729,0,0,1,0,
Block-316,LICK,355.4707046,0,0,1,0,
Block-316,LICK,355.5422208,0,0,1,0,
Block-316,LICK,355.5951822,0,0,1,0,
Block-316,LICK,355.7227316,0,0,1,0,
Block-316,LICK,355.8591692,0,0,1,0,
Block-316,LICK,356.012073,0,0,1,0,
Block-316,LICK,356.1545727,0,0,1,0,
Block-316,LICK,356.3108351,0,0,1,0,
Block-316,LICK,356.4613223,0,0,1,0,
Block-316,LICK,356.6159463,0,0,1,0,
Block-316,LICK,356.7560704,0,0,1,0,
Block-316,LICK,356.909097,0,0,1,0,
Block-316,LICK,357.0382028,0,0,1,0,
Block-316,LICK,357.1904922,0,0,1,0,
Block-316,LICK,357.3424537,0,0,1,0,
Block-316,LICK,357.4373171,0,0,1,0,
Block-316,LICK,357.4912205,0,0,1,0,
Block-316,LICK,357.6324916,0,0,1,0,
Block-316,LICK,357.9103642,0,0,1,0,
Block-316,LICK,358.0594585,0,0,1,0,
Block-316,LICK,358.2121165,0,0,1,0,
Block-316,LICK,358.3664947,0,0,1,0,
Block-316,LICK,358.4952729,0,0,1,0,
Block-316,LICK,358.917038,0,0,1,0,
Block-316,LICK,359.0648627,0,0,1,0,
Block-316,LICK,359.2180531,0,0,1,0,
Block-316,LICK,359.3712025,0,0,1,0,
Block-316,LICK,359.510139,0,0,1,0,
Block-316,LICK,359.6641486,0,0,1,0,
Block-316,LICK,359.8090649,0,0,1,0,
Block-316,LICK,379.6412826,0,0,1,0,
Block-316,LICK,392.0472064,0,0,1,0,
Block-316,LICK,392.1987584,0,0,1,0,
Block-316,LICK,392.3600998,0,0,1,0,
Block-316,LICK,392.5074329,0,0,1,0,
Block-316,LICK,392.6635315,0,0,1,0,
Block-316,LICK,392.8223333,0,0,1,0,
Block-316,LICK,400.0301056,0,0,1,0,
Block-316,LICK,400.160727,0,0,1,0,
Block-316,LICK,400.3023257,0,0,1,0,
Block-316,LICK,419.941458,0,0,1,0,
Block-316,LICK,420.0699494,0,0,1,0,
Block-316,LICK,420.2217472,0,0,1,0,
Block-316,LICK,420.3450367,0,0,1,0,
Block-316,LICK,420.47488,0,0,1,0,
Block-316,LICK,420.5235405,0,0,1,0,
Block-316,LICK,420.6235647,0,0,1,0,
Block-316,LICK,420.6909029,0,0,1,0,
Block-316,LICK,420.7536128,0,0,1,0,
Block-316,LICK,420.8864052,0,0,1,0,
Block-316,LICK,421.0209997,0,0,1,0,
Block-316,LICK,421.1652198,0,0,1,0,
Block-316,LICK,421.3077607,0,0,1,0,
Block-316,LICK,421.4473114,0,0,1,0,
Block-316,LICK,421.575598,0,0,1,0,
Block-316,LICK,421.7250202,0,0,1,0,
Block-316,LICK,421.8408551,0,0,1,0,
Block-316,LICK,421.9806516,0,0,1,0,
Block-316,LICK,422.1184001,0,0,1,0,
Block-316,LICK,422.259794,0,0,1,0,
Block-316,LICK,422.417367,0,0,1,0,
Block-316,LICK,422.5813298,0,0,1,0,
Block-316,LICK,422.7200205,0,0,1,0,
Block-316,LICK,422.8652236,0,0,1,0,
Block-316,LICK,423.0120244,0,0,1,0,
Block-316,LICK,423.1623886,0,0,1,0,
Block-316,LICK,423.3276212,0,0,1,0,
Block-316,LICK,423.4448078,0,0,1,0,
Block-316,LICK,423.5853825,0,0,1,0,
Block-316,LICK,423.8534656,0,0,1,0,
Block-316,LICK,423.9876506,0,0,1,0,
Block-316,LICK,424.1285939,0,0,1,0,
Block-316,LICK,424.2801049,0,0,1,0,
Block-316,LICK,424.4139621,0,0,1,0,
Block-316,LICK,424.5434368,0,0,1,0,
Block-316,LICK,424.6829057,0,0,1,0,
Block-316,LICK,424.7350886,0,0,1,0,
Block-316,LICK,424.8368332,0,0,1,0,
Block-316,LICK,424.9660621,0,0,1,0,
Block-316,LICK,425.081774,0,0,1,0,
Block-316,LICK,425.1132314,0,0,1,0,
Block-316,LICK,436.762583,0,0,1,0,
Block-316,LICK,436.910203,0,0,1,0,
Block-316,LICK,437.0523341,0,0,1,0,
Block-316,LICK,437.1095142,0,0,1,0,
Block-316,LICK,437.2042546,0,0,1,0,
Block-316,LICK,437.3416755,0,0,1,0,
Block-316,LICK,437.4880257,0,0,1,0,
Block-316,LICK,437.6237261,0,0,1,0,
Block-316,LICK,437.7686427,0,0,1,0,
Block-316,LICK,437.9078248,0,0,1,0,
Block-316,LICK,438.0410266,0,0,1,0,
Block-316,LICK,438.1798401,0,0,1,0,
Block-316,LICK,438.3135743,0,0,1,0,
Block-316,LICK,438.4560742,0,0,1,0,
Block-316,LICK,438.6176615,0,0,1,0,
Block-316,LICK,438.7521331,0,0,1,0,
Block-316,LICK,439.1981056,0,0,1,0,
Block-316,LICK,439.3410561,0,0,1,0,
Block-316,LICK,439.4825318,0,0,1,0,
Block-316,LICK,439.6270387,0,0,1,0,
Block-316,LICK,439.7582335,0,0,1,0,
Block-316,LICK,439.8990541,0,0,1,0,
Block-316,LICK,440.0330343,0,0,1,0,
Block-316,LICK,440.1770086,0,0,1,0,
Block-316,LICK,440.3117261,0,0,1,0,
Block-316,LICK,440.4738867,0,0,1,0,
Block-316,LICK,440.6006989,0,0,1,0,
Block-316,LICK,440.7295182,0,0,1,0,
Block-316,LICK,440.8845925,0,0,1,0,
Block-316,LICK,441.0125926,0,0,1,0,
Block-316,LICK,441.9899802,0,0,1,0,
Block-316,LICK,442.1293261,0,0,1,0,
Block-316,LICK,442.2648218,0,0,1,0,
Block-316,LICK,442.4009728,0,0,1,0,
Block-316,LICK,469.6050892,0,0,1,0,
Block-316,LICK,469.727273,0,0,1,0,
Block-316,LICK,469.8755481,0,0,1,0,
Block-316,LICK,470.330409,0,0,1,0,
Block-316,LICK,470.4757349,0,0,1,0,
Block-316,LICK,470.6183987,0,0,1,0,
Block-316,LICK,470.7529933,0,0,1,0,
Block-316,LICK,484.2516069,0,0,1,0,
Block-316,LICK,484.3819828,0,0,1,0,
Block-316,LICK,484.3876352,0,0,1,0,
Block-316,LICK,484.5309134,0,0,1,0,
Block-316,LICK,484.6743963,0,0,1,0,
Block-316,LICK,484.8106701,0,0,1,0,
Block-316,LICK,484.9528832,0,0,1,0,
Block-316,LICK,485.0801868,0,0,1,0,
Block-316,LICK,485.2263732,0,0,1,0,
Block-316,LICK,485.4986343,0,0,1,0,
Block-316,LICK,485.6297472,0,0,1,0,
Block-316,LICK,485.7675776,0,0,1,0,
Block-316,LICK,485.9185562,0,0,1,0,
Block-316,LICK,486.0508978,0,0,1,0,
Block-316,LICK,486.1902847,0,0,1,0,
Block-316,LICK,486.3534284,0,0,1,0,
Block-316,LICK,486.4785204,0,0,1,0,
Block-316,LICK,486.6071348,0,0,1,0,
Block-316,LICK,486.7502489,0,0,1,0,
Block-316,LICK,486.8968859,0,0,1,0,
Block-316,LICK,487.0224283,0,0,1,0,
Block-316,LICK,586.3252788,0,0,1,0,
Block-316,LICK,586.4644608,0,0,1,0,
Block-316,LICK,586.5940583,0,0,1,0,
Block-316,LICK,586.736681,0,0,1,0,
Block-316,LICK,586.8738971,0,0,1,0,
Block-316,LICK,586.9928448,0,0,1,0,
Block-316,LICK,587.1222785,0,0,1,0,
Block-316,LICK,587.2580607,0,0,1,0,
Block-316,LICK,613.5150182,0,0,1,0,
Block-316,LICK,613.6473601,0,0,1,0,
Block-316,LICK,613.7931776,0,0,1,0,
Block-316,LICK,613.9412069,0,0,1,0,
Block-316,LICK,614.0349236,0,0,1,0,
Block-316,LICK,614.0823143,0,0,1,0,
Block-316,LICK,614.2140417,0,0,1,0,
Block-316,LICK,614.3575244,0,0,1,0,
Block-316,LICK,614.4926515,0,0,1,0,
Block-316,LICK,614.6016052,0,0,1,0,
Block-316,LICK,614.7526248,0,0,1,0,
Block-316,LICK,614.9022925,0,0,1,0,
Block-316,LICK,615.0362725,0,0,1,0,
Block-316,LICK,615.1598899,0,0,1,0,
Block-316,LICK,615.3121383,0,0,1,0,
Block-316,LICK,615.4031105,0,0,1,0,
Block-316,LICK,615.4540646,0,0,1,0,
Block-316,LICK,615.609262,0,0,1,0,
Block-316,LICK,615.8925824,0,0,1,0,
Block-316,LICK,616.1193779,0,0,1,0,
Block-316,LICK,616.1588223,0,0,1,0,
Block-316,LICK,616.4386201,0,0,1,0,
Block-316,LICK,616.8493671,0,0,1,0,
Block-316,LICK,617.0042367,0,0,1,0,
Block-316,LICK,617.1369061,0,0,1,0,
Block-316,LICK,617.2668724,0,0,1,0,
Block-316,LICK,617.4121165,0,0,1,0,
Block-316,LICK,617.5505204,0,0,1,0,
Block-316,LICK,617.6962152,0,0,1,0,
Block-316,LICK,617.8476031,0,0,1,0,
Block-316,LICK,617.9710157,0,0,1,0,
Block-316,LICK,618.1167104,0,0,1,0,
Block-316,LICK,618.2650266,0,0,1,0,
Block-316,LICK,618.3978188,0,0,1,0,
