BLOCK,EVENT,TIME,CHAN,Sampling_Freq,NumOfPoints,D0,
Block-316,TRON,45.37466884,0,0,1,0,
Block-316,TRON,73.04814601,0,0,1,0,
Block-316,TRON,93.00758529,0,0,1,0,
Block-316,TRON,133.3837414,0,0,1,0,
Block-316,TRON,161.0980966,0,0,1,0,
Block-316,TRON,208.4086988,0,0,1,0,
Block-316,TRON,256.964649,0,0,1,0,
Block-316,TRON,290.3835034,0,0,1,0,
Block-316,TRON,314.0136142,0,0,1,0,
Block-316,TRON,332.4616704,0,0,1,0,
Block-316,TRON,353.756201,0,0,1,0,
Block-316,TRON,377.1846247,0,0,1,0,
Block-316,TRON,390.4768,0,0,1,0,
Block-316,TRON,398.4003072,0,0,1,0,
Block-316,TRON,418.2717645,0,0,1,0,
Block-316,TRON,435.4262221,0,0,1,0,
Block-316,TRON,468.285399,0,0,1,0,
Block-316,TRON,482.6554778,0,0,1,0,
Block-316,TRON,538.4099021,0,0,1,0,
Block-316,TRON,611.3624065,0,0,1,0,
Block-316,TRON,626.3962009,0,0,1,0,
Block-316,TRON,646.5727692,0,0,1,0,
Block-316,TRON,657.3399246,0,0,1,0,
Block-316,TRON,668.3740978,0,0,1,0,
Block-316,TRON,678.7178087,0,0,1,0,
Block-316,TRON,697.5223398,0,0,1,0,
Block-316,TRON,714.8816383,0,0,1,0,
Block-316,TRON,724.9946215,0,0,1,0,
Block-316,TRON,733.4590054,0,0,1,0,
Block-316,TRON,774.607913,0,0,1,0,
Block-316,TRON,821.2248166,0,0,1,0,
Block-316,TRON,846.7580109,0,0,1,0,
Block-316,TRON,860.4148941,0,0,1,0,
Block-316,TRON,903.5705957,0,0,1,0,
Block-316,TRON,911.8119116,0,0,1,0,
Block-316,TRON,929.3431604,0,0,1,0,
Block-316,TRON,946.4684954,0,0,1,0,
Block-316,TRON,982.3234458,0,0,1,0,
Block-316,TRON,1001.781944,0,0,1,0,
Block-316,TRON,1014.244106,0,0,1,0,
Block-316,TRON,1043.916022,0,0,1,0,
Block-316,TRON,1057.916682,0,0,1,0,
Block-316,TRON,1072.036331,0,0,1,0,
Block-316,TRON,1093.261435,0,0,1,0,
Block-316,TRON,1102.693089,0,0,1,0,
Block-316,TRON,1117.97805,0,0,1,0,
Block-316,TRON,1143.045612,0,0,1,0,
Block-316,TRON,1160.587755,0,0,1,0,
Block-316,TRON,1183.861883,0,0,1,0,
Block-316,TRON,1221.273764,0,0,1,0,
Block-316,TRON,1229.988741,0,0,1,0,
Block-316,TRON,1261.69002,0,0,1,0,
Block-316,TRON,1280.120095,0,0,1,0,
Block-316,TRON,1320.76245,0,0,1,0,
Block-316,TRON,1342.021919,0,0,1,0,
Block-316,TRON,1441.133322,0,0,1,0,
Block-316,TRON,1465.034957,0,0,1,0,
Block-316,TRON,1483.959419,0,0,1,0,
Block-316,TRON,1498.316923,0,0,1,0,
Block-316,TRON,1526.955049,0,0,1,0,
Block-316,TRON,1541.39562,0,0,1,0,
Block-316,TRON,1554.781307,0,0,1,0,
Block-316,TRON,1567.867372,0,0,1,0,
Block-316,TRON,1613.728194,0,0,1,0,
Block-316,TRON,1635.868222,0,0,1,0,
Block-316,TRON,1647.516222,0,0,1,0,
Block-316,TRON,1666.759025,0,0,1,0,
Block-316,TRON,1693.662044,0,0,1,0,
Block-316,TRON,1708.394455,0,0,1,0,
Block-316,TRON,1748.657725,0,0,1,0,
