BLOCK,EVENT,TIME,CHAN,Sampling_Freq,NumOfPoints,D0,
Block-317,IRON,95.36770058,0,0,1,0,
Block-317,IRON,96.2675097,0,0,1,0,
Block-317,IRON,101.1065652,0,0,1,0,
Block-317,IRON,101.4911385,0,0,1,0,
Block-317,IRON,101.7083495,0,0,1,0,
Block-317,IRON,347.7220557,0,0,1,0,
Block-317,IRON,348.967936,0,0,1,0,
Block-317,IRON,352.5961318,0,0,1,0,
Block-317,IRON,352.9415476,0,0,1,0,
Block-317,IRON,358.3373721,0,0,1,0,
Block-317,IRON,358.6658714,0,0,1,0,
Block-317,IRON,368.3770778,0,0,1,0,
Block-317,IRON,376.7626138,0,0,1,0,
Block-317,IRON,425.7656832,0,0,1,0,
Block-317,IRON,426.5694003,0,0,1,0,
Block-317,IRON,459.2651877,0,0,1,0,
Block-317,IRON,459.7723956,0,0,1,0,
Block-317,IRON,653.562921,0,0,1,0,
Block-317,IRON,813.5234356,0,0,1,0,
Block-317,IRON,815.812567,0,0,1,0,
Block-317,IRON,824.4075315,0,0,1,0,
Block-317,IRON,824.7504077,0,0,1,0,
Block-317,IRON,826.5345025,0,0,1,0,
Block-317,IRON,840.9287884,0,0,1,0,
Block-317,IRON,842.1817138,0,0,1,0,
Block-317,IRON,844.7621939,0,0,1,0,
Block-317,IRON,853.0619187,0,0,1,0,
Block-317,IRON,855.1928627,0,0,1,0,
Block-317,IRON,926.206075,0,0,1,0,
Block-317,IRON,1003.576279,0,0,1,0,
Block-317,IRON,1014.975816,0,0,1,0,
Block-317,IRON,1016.051794,0,0,1,0,
Block-317,IRON,1027.679887,0,0,1,0,
Block-317,IRON,1028.002325,0,0,1,0,
Block-317,IRON,1042.790113,0,0,1,0,
Block-317,IRON,1045.692539,0,0,1,0,
Block-317,IRON,1049.895854,0,0,1,0,
Block-317,IRON,1057.856553,0,0,1,0,
Block-317,IRON,1084.759163,0,0,1,0,
Block-317,IRON,1088.513802,0,0,1,0,
Block-317,IRON,1091.779215,0,0,1,0,
