BLOCK,EVENT,TIME,CHAN,Sampling_Freq,NumOfPoints,D0,
Block-321,ATTK,178.1178367,0,0,1,0,
Block-321,ATTK,218.4687207,0,0,1,0,
Block-321,ATTK,253.6780596,0,0,1,0,
Block-321,ATTK,266.0647321,0,0,1,0,
Block-321,ATTK,300.1116261,0,0,1,0,
Block-321,ATTK,315.4229658,0,0,1,0,
Block-321,ATTK,333.7907405,0,0,1,0,
Block-321,ATTK,369.5508275,0,0,1,0,
Block-321,ATTK,388.2192078,0,0,1,0,
Block-321,ATTK,395.9157145,0,0,1,0,
Block-321,ATTK,411.7635481,0,0,1,0,
Block-321,ATTK,429.0417869,0,0,1,0,
Block-321,ATTK,440.9203508,0,0,1,0,
Block-321,ATTK,458.1308007,0,0,1,0,
Block-321,ATTK,483.4428108,0,0,1,0,
Block-321,ATTK,508.1617613,0,0,1,0,
Block-321,ATTK,539.7255783,0,0,1,0,
Block-321,ATTK,567.076946,0,0,1,0,
Block-321,ATTK,655.3958809,0,0,1,0,
Block-321,ATTK,673.5583642,0,0,1,0,
Block-321,ATTK,689.495163,0,0,1,0,
Block-321,ATTK,725.606318,0,0,1,0,
Block-321,ATTK,749.5017266,0,0,1,0,
Block-321,ATTK,774.3873844,0,0,1,0,
Block-321,ATTK,792.9025741,0,0,1,0,
Block-321,ATTK,814.1839156,0,0,1,0,
Block-321,ATTK,838.5595801,0,0,1,0,
Block-321,ATTK,855.9717581,0,0,1,0,
Block-321,ATTK,871.1278183,0,0,1,0,
Block-321,ATTK,898.6836991,0,0,1,0,
Block-321,ATTK,948.9907303,0,0,1,0,
Block-321,ATTK,973.5892992,0,0,1,0,
Block-321,ATTK,997.1942606,0,0,1,0,
Block-321,ATTK,1024.303514,0,0,1,0,
Block-321,ATTK,1044.280402,0,0,1,0,
Block-321,ATTK,1063.841137,0,0,1,0,
Block-321,ATTK,1080.008253,0,0,1,0,
Block-321,ATTK,1117.696696,0,0,1,0,
Block-321,ATTK,1132.173926,0,0,1,0,
Block-321,ATTK,1163.781202,0,0,1,0,
Block-321,ATTK,1190.445793,0,0,1,0,
Block-321,ATTK,1229.814825,0,0,1,0,
Block-321,ATTK,1259.83146,0,0,1,0,
Block-321,ATTK,1292.493701,0,0,1,0,
Block-321,ATTK,1333.200855,0,0,1,0,
Block-321,ATTK,1350.787727,0,0,1,0,
Block-321,ATTK,1371.079598,0,0,1,0,
Block-321,ATTK,1393.922949,0,0,1,0,
Block-321,ATTK,1413.345976,0,0,1,0,
Block-321,ATTK,1431.320371,0,0,1,0,
Block-321,ATTK,1466.075955,0,0,1,0,
Block-321,ATTK,1479.311237,0,0,1,0,
Block-321,ATTK,1509.94432,0,0,1,0,
Block-321,ATTK,1531.446477,0,0,1,0,
Block-321,ATTK,1546.678231,0,0,1,0,
Block-321,ATTK,1585.927823,0,0,1,0,
Block-321,ATTK,1605.51637,0,0,1,0,
Block-321,ATTK,1632.033833,0,0,1,0,
Block-321,ATTK,1651.538575,0,0,1,0,
Block-321,ATTK,1668.45911,0,0,1,0,
Block-321,ATTK,1683.90955,0,0,1,0,
Block-321,ATTK,1704.308818,0,0,1,0,
Block-321,ATTK,1727.899525,0,0,1,0,
