BLOCK,EVENT,TIME,CHAN,Sampling_Freq,NumOfPoints,D0,
Block-321,TROF,50.45456886,0,0,1,0,
Block-321,TROF,98.73592329,0,0,1,0,
Block-321,TROF,134.6740224,0,0,1,0,
Block-321,TROF,159.9580569,0,0,1,0,
Block-321,TROF,179.8282855,0,0,1,0,
Block-321,TROF,220.0557158,0,0,1,0,
Block-321,TROF,255.1060481,0,0,1,0,
Block-321,TROF,267.7542913,0,0,1,0,
Block-321,TROF,302.0558336,0,0,1,0,
Block-321,TROF,316.8215449,0,0,1,0,
Block-321,TROF,335.0430925,0,0,1,0,
Block-321,TROF,371.0665524,0,0,1,0,
Block-321,TROF,389.6551423,0,0,1,0,
Block-321,TROF,397.1518464,0,0,1,0,
Block-321,TROF,413.59147,0,0,1,0,
Block-321,TROF,430.4201727,0,0,1,0,
Block-321,TROF,442.1596775,0,0,1,0,
Block-321,TROF,459.3852825,0,0,1,0,
Block-321,TROF,485.1221709,0,0,1,0,
Block-321,TROF,509.6633549,0,0,1,0,
Block-321,TROF,541.1367321,0,0,1,0,
Block-321,TROF,568.3458457,0,0,1,0,
Block-321,TROF,635.0123417,0,0,1,0,
Block-321,TROF,657.00053,0,0,1,0,
Block-321,TROF,675.3938227,0,0,1,0,
Block-321,TROF,691.0265753,0,0,1,0,
Block-321,TROF,727.3098035,0,0,1,0,
Block-321,TROF,751.0446489,0,0,1,0,
Block-321,TROF,775.7277184,0,0,1,0,
Block-321,TROF,794.5212724,0,0,1,0,
Block-321,TROF,815.6921856,0,0,1,0,
Block-321,TROF,839.8443725,0,0,1,0,
Block-321,TROF,857.4870324,0,0,1,0,
Block-321,TROF,872.6640229,0,0,1,0,
Block-321,TROF,900.2342401,0,0,1,0,
Block-321,TROF,950.362071,0,0,1,0,
Block-321,TROF,975.1423385,0,0,1,0,
Block-321,TROF,998.8616192,0,0,1,0,
Block-321,TROF,1026.011587,0,0,1,0,
Block-321,TROF,1046.016164,0,0,1,0,
Block-321,TROF,1065.554411,0,0,1,0,
Block-321,TROF,1081.72247,0,0,1,0,
Block-321,TROF,1119.096177,0,0,1,0,
Block-321,TROF,1133.713449,0,0,1,0,
Block-321,TROF,1165.582909,0,0,1,0,
Block-321,TROF,1192.276296,0,0,1,0,
Block-321,TROF,1231.774392,0,0,1,0,
Block-321,TROF,1261.372129,0,0,1,0,
Block-321,TROF,1294.354309,0,0,1,0,
Block-321,TROF,1334.833725,0,0,1,0,
Block-321,TROF,1352.7586,0,0,1,0,
Block-321,TROF,1372.950528,0,0,1,0,
Block-321,TROF,1395.568476,0,0,1,0,
Block-321,TROF,1415.164314,0,0,1,0,
Block-321,TROF,1432.74623,0,0,1,0,
Block-321,TROF,1467.513979,0,0,1,0,
Block-321,TROF,1480.698839,0,0,1,0,
Block-321,TROF,1511.745454,0,0,1,0,
Block-321,TROF,1533.138575,0,0,1,0,
Block-321,TROF,1548.15103,0,0,1,0,
Block-321,TROF,1587.355607,0,0,1,0,
Block-321,TROF,1607.055851,0,0,1,0,
Block-321,TROF,1633.555456,0,0,1,0,
Block-321,TROF,1652.99925,0,0,1,0,
Block-321,TROF,1669.94817,0,0,1,0,
Block-321,TROF,1685.794652,0,0,1,0,
Block-321,TROF,1706.001449,0,0,1,0,
Block-321,TROF,1729.516298,0,0,1,0,
