BLOCK,EVENT,TIME,CHAN,Sampling_Freq,NumOfPoints,D0,
Block-260,LOFF,170.5354445,0,0,1,0,
Block-260,LOFF,170.9133005,0,0,1,0,
Block-260,LOFF,170.9298074,0,0,1,0,
Block-260,LOFF,170.9429555,0,0,1,0,
Block-260,LOFF,171.3517773,0,0,1,0,
Block-260,LOFF,375.166034,0,0,1,0,
Block-260,LOFF,375.3324544,0,0,1,0,
Block-260,LOFF,375.3787391,0,0,1,0,
Block-260,LOFF,375.539794,0,0,1,0,
Block-260,LOFF,375.580672,0,0,1,0,
Block-260,LOFF,375.6760678,0,0,1,0,
Block-260,LOFF,426.7085824,0,0,1,0,
Block-260,LOFF,426.7635918,0,0,1,0,
Block-260,LOFF,427.749294,0,0,1,0,
Block-260,LOFF,427.9111271,0,0,1,0,
Block-260,LOFF,428.087214,0,0,1,0,
Block-260,LOFF,428.1187124,0,0,1,0,
Block-260,LOFF,1668.783718,0,0,1,0,
Block-260,LOFF,1668.97066,0,0,1,0,
Block-260,LOFF,1669.005025,0,0,1,0,
Block-260,LOFF,1669.191721,0,0,1,0,
Block-260,LOFF,1669.357404,0,0,1,0,
Block-260,LOFF,1669.384151,0,0,1,0,
Block-260,LOFF,1669.496095,0,0,1,0,
Block-260,LOFF,1669.654692,0,0,1,0,
Block-260,LOFF,1669.791457,0,0,1,0,
Block-260,LOFF,1669.934776,0,0,1,0,
Block-260,LOFF,1670.091489,0,0,1,0,
Block-260,LOFF,1670.140969,0,0,1,0,
Block-260,LOFF,1670.253978,0,0,1,0,
Block-260,LOFF,1670.405939,0,0,1,0,
Block-260,LOFF,1670.572401,0,0,1,0,
Block-260,LOFF,1670.577439,0,0,1,0,
Block-260,LOFF,1670.699909,0,0,1,0,
Block-260,LOFF,1670.841098,0,0,1,0,
Block-260,LOFF,1670.990561,0,0,1,0,
Block-260,LOFF,1671.135027,0,0,1,0,
Block-260,LOFF,1671.291126,0,0,1,0,
Block-260,LOFF,1671.466721,0,0,1,0,
Block-260,LOFF,1671.617741,0,0,1,0,
Block-260,LOFF,1671.77687,0,0,1,0,
Block-260,LOFF,1671.944602,0,0,1,0,
Block-260,LOFF,1671.968809,0,0,1,0,
Block-260,LOFF,1672.125399,0,0,1,0,
Block-260,LOFF,1672.217026,0,0,1,0,
Block-260,LOFF,1672.290386,0,0,1,0,
Block-260,LOFF,1672.339415,0,0,1,0,
Block-260,LOFF,1672.449925,0,0,1,0,
Block-260,LOFF,1672.611922,0,0,1,0,
Block-260,LOFF,1672.648131,0,0,1,0,
Block-260,LOFF,1672.768348,0,0,1,0,
Block-260,LOFF,1672.924283,0,0,1,0,
Block-260,LOFF,1673.099428,0,0,1,0,
Block-260,LOFF,1673.249218,0,0,1,0,
Block-260,LOFF,1673.394053,0,0,1,0,
Block-260,LOFF,1673.550725,0,0,1,0,
Block-260,LOFF,1673.722265,0,0,1,0,
