BLOCK,EVENT,TIME,CHAN,Sampling_Freq,NumOfPoints,D0,
Block-262,ATTK,68.29948926,0,0,1,0,
Block-262,ATTK,70.13130236,0,0,1,0,
Block-262,ATTK,111.6669953,0,0,1,0,
Block-262,ATTK,210.8070297,0,0,1,0,
Block-262,ATTK,329.4990337,0,0,1,0,
Block-262,ATTK,421.1786137,0,0,1,0,
Block-262,ATTK,467.949486,0,0,1,0,
Block-262,ATTK,531.1012454,0,0,1,0,
Block-262,ATTK,644.1702194,0,0,1,0,
Block-262,ATTK,778.9170687,0,0,1,0,
Block-262,ATTK,1022.260347,0,0,1,0,
Block-262,ATTK,1357.136568,0,0,1,0,
Block-262,ATTK,1450.111672,0,0,1,0,
Block-262,ATTK,1522.151178,0,0,1,0,
Block-262,ATTK,1557.504123,0,0,1,0,
Block-262,ATTK,1621.403771,0,0,1,0,
