BLOCK,EVENT,TIME,CHAN,Sampling_Freq,NumOfPoints,D0,
Block-262,LICK,67.4300313,0,0,1,0,
Block-262,LICK,67.72228098,0,0,1,0,
Block-262,LICK,68.24652791,0,0,1,0,
Block-262,LICK,68.30858231,0,0,1,0,
Block-262,LICK,68.35814404,0,0,1,0,
Block-262,LICK,68.41454601,0,0,1,0,
Block-262,LICK,111.0097101,0,0,1,0,
Block-262,LICK,111.411077,0,0,1,0,
Block-262,LICK,111.4176717,0,0,1,0,
Block-262,LICK,111.4381108,0,0,1,0,
Block-262,LICK,111.5907686,0,0,1,0,
Block-262,LICK,111.7061939,0,0,1,0,
Block-262,LICK,111.7529292,0,0,1,0,
Block-262,LICK,203.2874701,0,0,1,0,
Block-262,LICK,203.5841024,0,0,1,0,
Block-262,LICK,203.7171404,0,0,1,0,
Block-262,LICK,204.2873037,0,0,1,0,
Block-262,LICK,204.4029338,0,0,1,0,
Block-262,LICK,204.4707227,0,0,1,0,
Block-262,LICK,204.5965517,0,0,1,0,
Block-262,LICK,204.7749734,0,0,1,0,
Block-262,LICK,204.8495617,0,0,1,0,
Block-262,LICK,204.9775207,0,0,1,0,
Block-262,LICK,205.2216833,0,0,1,0,
Block-262,LICK,205.3620942,0,0,1,0,
Block-262,LICK,205.4684262,0,0,1,0,
Block-262,LICK,205.6092467,0,0,1,0,
Block-262,LICK,205.7533851,0,0,1,0,
Block-262,LICK,205.8877747,0,0,1,0,
Block-262,LICK,206.0250726,0,0,1,0,
Block-262,LICK,206.1667123,0,0,1,0,
Block-262,LICK,206.2439628,0,0,1,0,
Block-262,LICK,206.2998734,0,0,1,0,
Block-262,LICK,206.4435611,0,0,1,0,
Block-262,LICK,206.5527604,0,0,1,0,
Block-262,LICK,206.7248743,0,0,1,0,
Block-262,LICK,206.8638105,0,0,1,0,
Block-262,LICK,206.9877145,0,0,1,0,
Block-262,LICK,207.1140351,0,0,1,0,
Block-262,LICK,207.2384717,0,0,1,0,
Block-262,LICK,207.3104384,0,0,1,0,
Block-262,LICK,207.3872385,0,0,1,0,
Block-262,LICK,207.5213413,0,0,1,0,
Block-262,LICK,207.6435251,0,0,1,0,
Block-262,LICK,207.7702963,0,0,1,0,
Block-262,LICK,207.9285657,0,0,1,0,
Block-262,LICK,208.0534117,0,0,1,0,
Block-262,LICK,208.1793637,0,0,1,0,
Block-262,LICK,208.3275161,0,0,1,0,
Block-262,LICK,208.4527719,0,0,1,0,
Block-262,LICK,208.6230836,0,0,1,0,
Block-262,LICK,208.7504692,0,0,1,0,
Block-262,LICK,208.8925593,0,0,1,0,
Block-262,LICK,209.0536141,0,0,1,0,
Block-262,LICK,209.1664588,0,0,1,0,
Block-262,LICK,209.3080575,0,0,1,0,
Block-262,LICK,209.6031744,0,0,1,0,
Block-262,LICK,321.7894604,0,0,1,0,
Block-262,LICK,321.8551602,0,0,1,0,
Block-262,LICK,321.874002,0,0,1,0,
Block-262,LICK,321.9256525,0,0,1,0,
Block-262,LICK,322.0581989,0,0,1,0,
Block-262,LICK,326.6266727,0,0,1,0,
Block-262,LICK,326.7795763,0,0,1,0,
Block-262,LICK,327.1380582,0,0,1,0,
Block-262,LICK,327.242588,0,0,1,0,
Block-262,LICK,327.387218,0,0,1,0,
Block-262,LICK,327.5226316,0,0,1,0,
Block-262,LICK,327.6610355,0,0,1,0,
Block-262,LICK,327.6813107,0,0,1,0,
Block-262,LICK,327.7951796,0,0,1,0,
Block-262,LICK,327.9356723,0,0,1,0,
Block-262,LICK,328.0570369,0,0,1,0,
Block-262,LICK,328.1958094,0,0,1,0,
Block-262,LICK,328.3415449,0,0,1,0,
Block-262,LICK,328.4663091,0,0,1,0,
Block-262,LICK,328.5852978,0,0,1,0,
Block-262,LICK,328.7375872,0,0,1,0,
Block-262,LICK,328.8602624,0,0,1,0,
Block-262,LICK,328.9965773,0,0,1,0,
Block-262,LICK,329.2727706,0,0,1,0,
Block-262,LICK,329.4246092,0,0,1,0,
Block-262,LICK,329.5358157,0,0,1,0,
Block-262,LICK,414.1658931,0,0,1,0,
Block-262,LICK,414.3235891,0,0,1,0,
Block-262,LICK,414.6140773,0,0,1,0,
Block-262,LICK,414.6934988,0,0,1,0,
Block-262,LICK,414.7352781,0,0,1,0,
Block-262,LICK,414.8158875,0,0,1,0,
Block-262,LICK,414.9469593,0,0,1,0,
Block-262,LICK,415.0475571,0,0,1,0,
Block-262,LICK,415.1717887,0,0,1,0,
Block-262,LICK,415.2641537,0,0,1,0,
Block-262,LICK,415.3038847,0,0,1,0,
Block-262,LICK,415.405138,0,0,1,0,
Block-262,LICK,415.4254131,0,0,1,0,
Block-262,LICK,415.4744012,0,0,1,0,
Block-262,LICK,416.1504869,0,0,1,0,
Block-262,LICK,416.2260582,0,0,1,0,
Block-262,LICK,416.2848358,0,0,1,0,
Block-262,LICK,416.3316941,0,0,1,0,
Block-262,LICK,416.3962879,0,0,1,0,
Block-262,LICK,416.4064052,0,0,1,0,
Block-262,LICK,416.5595136,0,0,1,0,
Block-262,LICK,416.6829262,0,0,1,0,
Block-262,LICK,416.7967539,0,0,1,0,
Block-262,LICK,416.8916583,0,0,1,0,
Block-262,LICK,416.9001369,0,0,1,0,
Block-262,LICK,416.9174631,0,0,1,0,
Block-262,LICK,416.9416704,0,0,1,0,
Block-262,LICK,416.9940581,0,0,1,0,
Block-262,LICK,417.1118591,0,0,1,0,
Block-262,LICK,417.221591,0,0,1,0,
Block-262,LICK,417.3522124,0,0,1,0,
Block-262,LICK,417.497088,0,0,1,0,
Block-262,LICK,417.6463463,0,0,1,0,
Block-262,LICK,417.6978738,0,0,1,0,
Block-262,LICK,417.7772543,0,0,1,0,
Block-262,LICK,417.9041893,0,0,1,0,
Block-262,LICK,418.032558,0,0,1,0,
Block-262,LICK,418.1599028,0,0,1,0,
Block-262,LICK,418.3372185,0,0,1,0,
Block-262,LICK,418.4486299,0,0,1,0,
Block-262,LICK,418.574254,0,0,1,0,
Block-262,LICK,418.6393394,0,0,1,0,
