BLOCK,EVENT,TIME,CHAN,Sampling_Freq,NumOfPoints,D0,
Block-263,IROF,36.9612391,0,0,1,0,
Block-263,IROF,38.31672835,0,0,1,0,
Block-263,IROF,40.65136647,0,0,1,0,
Block-263,IROF,45.91665149,0,0,1,0,
Block-263,IROF,50.99491334,0,0,1,0,
Block-263,IROF,56.45635581,0,0,1,0,
Block-263,IROF,60.995502,0,0,1,0,
Block-263,IROF,66.69238281,0,0,1,0,
Block-263,IROF,67.67075324,0,0,1,0,
Block-263,IROF,68.55262208,0,0,1,0,
Block-263,IROF,68.61062145,0,0,1,0,
Block-263,IROF,70.54712844,0,0,1,0,
Block-263,IROF,70.78268933,0,0,1,0,
Block-263,IROF,72.09467912,0,0,1,0,
Block-263,IROF,72.63891459,0,0,1,0,
Block-263,IROF,76.95810556,0,0,1,0,
Block-263,IROF,77.1783886,0,0,1,0,
Block-263,IROF,77.62546682,0,0,1,0,
Block-263,IROF,79.76681471,0,0,1,0,
Block-263,IROF,79.97972488,0,0,1,0,
Block-263,IROF,80.9386394,0,0,1,0,
Block-263,IROF,81.30936837,0,0,1,0,
Block-263,IROF,102.2159257,0,0,1,0,
Block-263,IROF,103.4378035,0,0,1,0,
Block-263,IROF,123.1784756,0,0,1,0,
Block-263,IROF,128.412549,0,0,1,0,
Block-263,IROF,129.4896743,0,0,1,0,
Block-263,IROF,187.8421915,0,0,1,0,
Block-263,IROF,188.4499559,0,0,1,0,
Block-263,IROF,196.5953844,0,0,1,0,
Block-263,IROF,199.140393,0,0,1,0,
Block-263,IROF,201.2568781,0,0,1,0,
Block-263,IROF,202.3763559,0,0,1,0,
Block-263,IROF,208.2911847,0,0,1,0,
Block-263,IROF,209.2322817,0,0,1,0,
Block-263,IROF,209.9796786,0,0,1,0,
Block-263,IROF,218.894295,0,0,1,0,
Block-263,IROF,228.7779021,0,0,1,0,
Block-263,IROF,229.7481625,0,0,1,0,
Block-263,IROF,246.5563033,0,0,1,0,
Block-263,IROF,250.0145562,0,0,1,0,
Block-263,IROF,281.6856065,0,0,1,0,
Block-263,IROF,311.6863897,0,0,1,0,
Block-263,IROF,312.0354099,0,0,1,0,
Block-263,IROF,315.2501144,0,0,1,0,
Block-263,IROF,353.6826777,0,0,1,0,
Block-263,IROF,359.4829824,0,0,1,0,
Block-263,IROF,378.647593,0,0,1,0,
Block-263,IROF,379.5086131,0,0,1,0,
Block-263,IROF,384.435241,0,0,1,0,
Block-263,IROF,385.8078516,0,0,1,0,
Block-263,IROF,403.7310464,0,0,1,0,
Block-263,IROF,407.4654925,0,0,1,0,
Block-263,IROF,439.6567347,0,0,1,0,
Block-263,IROF,441.276334,0,0,1,0,
Block-263,IROF,449.3680639,0,0,1,0,
Block-263,IROF,484.4927385,0,0,1,0,
Block-263,IROF,490.0096409,0,0,1,0,
Block-263,IROF,490.7258265,0,0,1,0,
Block-263,IROF,491.4482791,0,0,1,0,
Block-263,IROF,493.4862847,0,0,1,0,
Block-263,IROF,494.8224001,0,0,1,0,
Block-263,IROF,549.7961676,0,0,1,0,
Block-263,IROF,551.3042331,0,0,1,0,
Block-263,IROF,553.5914803,0,0,1,0,
Block-263,IROF,555.6293633,0,0,1,0,
Block-263,IROF,580.5437338,0,0,1,0,
Block-263,IROF,582.6955264,0,0,1,0,
Block-263,IROF,586.4744141,0,0,1,0,
Block-263,IROF,589.3428428,0,0,1,0,
Block-263,IROF,597.3834548,0,0,1,0,
Block-263,IROF,597.6263885,0,0,1,0,
Block-263,IROF,605.2212327,0,0,1,0,
Block-263,IROF,612.6131608,0,0,1,0,
Block-263,IROF,742.3155406,0,0,1,0,
Block-263,IROF,744.5804236,0,0,1,0,
Block-263,IROF,746.2266061,0,0,1,0,
Block-263,IROF,747.5114393,0,0,1,0,
Block-263,IROF,762.2392218,0,0,1,0,
Block-263,IROF,768.5533695,0,0,1,0,
Block-263,IROF,769.659945,0,0,1,0,
Block-263,IROF,816.3016295,0,0,1,0,
Block-263,IROF,819.4331443,0,0,1,0,
Block-263,IROF,847.0319924,0,0,1,0,
Block-263,IROF,851.8089523,0,0,1,0,
Block-263,IROF,853.2292404,0,0,1,0,
Block-263,IROF,891.3678336,0,0,1,0,
Block-263,IROF,893.7071002,0,0,1,0,
Block-263,IROF,894.777344,0,0,1,0,
Block-263,IROF,907.5111935,0,0,1,0,
Block-263,IROF,935.0968115,0,0,1,0,
Block-263,IROF,936.2682266,0,0,1,0,
Block-263,IROF,957.7297511,0,0,1,0,
Block-263,IROF,959.4215219,0,0,1,0,
Block-263,IROF,960.6755943,0,0,1,0,
Block-263,IROF,966.3730483,0,0,1,0,
Block-263,IROF,966.7457025,0,0,1,0,
Block-263,IROF,970.2651904,0,0,1,0,
Block-263,IROF,971.5432243,0,0,1,0,
Block-263,IROF,996.6044364,0,0,1,0,
Block-263,IROF,1004.864922,0,0,1,0,
Block-263,IROF,1005.49845,0,0,1,0,
Block-263,IROF,1005.673185,0,0,1,0,
Block-263,IROF,1005.839729,0,0,1,0,
Block-263,IROF,1007.050302,0,0,1,0,
Block-263,IROF,1008.27734,0,0,1,0,
Block-263,IROF,1024.522854,0,0,1,0,
Block-263,IROF,1030.693356,0,0,1,0,
Block-263,IROF,1031.788995,0,0,1,0,
Block-263,IROF,1053.561037,0,0,1,0,
Block-263,IROF,1055.245476,0,0,1,0,
Block-263,IROF,1062.575636,0,0,1,0,
Block-263,IROF,1062.98581,0,0,1,0,
Block-263,IROF,1063.158088,0,0,1,0,
Block-263,IROF,1063.301161,0,0,1,0,
Block-263,IROF,1063.446774,0,0,1,0,
Block-263,IROF,1064.58751,0,0,1,0,
Block-263,IROF,1065.671516,0,0,1,0,
Block-263,IROF,1065.826837,0,0,1,0,
Block-263,IROF,1089.061765,0,0,1,0,
Block-263,IROF,1090.91201,0,0,1,0,
Block-263,IROF,1092.093624,0,0,1,0,
Block-263,IROF,1160.261673,0,0,1,0,
Block-263,IROF,1160.531354,0,0,1,0,
Block-263,IROF,1161.266749,0,0,1,0,
Block-263,IROF,1163.996856,0,0,1,0,
Block-263,IROF,1195.200102,0,0,1,0,
Block-263,IROF,1229.056205,0,0,1,0,
Block-263,IROF,1235.690291,0,0,1,0,
Block-263,IROF,1236.837212,0,0,1,0,
Block-263,IROF,1251.633807,0,0,1,0,
Block-263,IROF,1256.998216,0,0,1,0,
Block-263,IROF,1258.141123,0,0,1,0,
Block-263,IROF,1258.294477,0,0,1,0,
Block-263,IROF,1278.662574,0,0,1,0,
Block-263,IROF,1281.92598,0,0,1,0,
Block-263,IROF,1283.194839,0,0,1,0,
Block-263,IROF,1284.422123,0,0,1,0,
Block-263,IROF,1322.494321,0,0,1,0,
Block-263,IROF,1326.764114,0,0,1,0,
Block-263,IROF,1329.075077,0,0,1,0,
Block-263,IROF,1330.181325,0,0,1,0,
Block-263,IROF,1330.380431,0,0,1,0,
Block-263,IROF,1358.700135,0,0,1,0,
Block-263,IROF,1365.484544,0,0,1,0,
Block-263,IROF,1365.772247,0,0,1,0,
Block-263,IROF,1365.935923,0,0,1,0,
Block-263,IROF,1366.107628,0,0,1,0,
Block-263,IROF,1366.268027,0,0,1,0,
Block-263,IROF,1366.440919,0,0,1,0,
Block-263,IROF,1366.860349,0,0,1,0,
Block-263,IROF,1368.227922,0,0,1,0,
Block-263,IROF,1410.776351,0,0,1,0,
Block-263,IROF,1585.741414,0,0,1,0,
Block-263,IROF,1587.745751,0,0,1,0,
Block-263,IROF,1626.211164,0,0,1,0,
Block-263,IROF,1627.750687,0,0,1,0,
Block-263,IROF,1644.121457,0,0,1,0,
Block-263,IROF,1648.503808,0,0,1,0,
Block-263,IROF,1649.607639,0,0,1,0,
Block-263,IROF,1678.777221,0,0,1,0,
Block-263,IROF,1679.571272,0,0,1,0,
Block-263,IROF,1680.218399,0,0,1,0,
Block-263,IROF,1681.686282,0,0,1,0,
Block-263,IROF,1682.702418,0,0,1,0,
Block-263,IROF,1699.218555,0,0,1,0,
Block-263,IROF,1701.815255,0,0,1,0,
Block-263,IROF,1741.662208,0,0,1,0,
Block-263,IROF,1745.487872,0,0,1,0,
