BLOCK,EVENT,TIME,CHAN,Sampling_Freq,NumOfPoints,D0,
Block-276,TRON,48.48459768,0,0,1,0,
Block-276,TRON,74.09053707,0,0,1,0,
Block-276,TRON,105.0775962,0,0,1,0,
Block-276,TRON,155.9648256,0,0,1,0,
Block-276,TRON,190.1040025,0,0,1,0,
Block-276,TRON,267.2426598,0,0,1,0,
Block-276,TRON,294.2807245,0,0,1,0,
Block-276,TRON,318.2369998,0,0,1,0,
Block-276,TRON,370.9734092,0,0,1,0,
Block-276,TRON,427.8281422,0,0,1,0,
Block-276,TRON,450.0395212,0,0,1,0,
Block-276,TRON,554.9166591,0,0,1,0,
Block-276,TRON,596.7857254,0,0,1,0,
Block-276,TRON,622.8612711,0,0,1,0,
Block-276,TRON,645.2901068,0,0,1,0,
Block-276,TRON,663.9464858,0,0,1,0,
Block-276,TRON,678.2262886,0,0,1,0,
Block-276,TRON,721.4493697,0,0,1,0,
Block-276,TRON,746.3099186,0,0,1,0,
Block-276,TRON,765.9157095,0,0,1,0,
Block-276,TRON,795.1700377,0,0,1,0,
Block-276,TRON,809.2920218,0,0,1,0,
Block-276,TRON,821.4074163,0,0,1,0,
Block-276,TRON,842.3417037,0,0,1,0,
Block-276,TRON,859.7788672,0,0,1,0,
Block-276,TRON,880.0848281,0,0,1,0,
Block-276,TRON,910.0713575,0,0,1,0,
Block-276,TRON,931.8541312,0,0,1,0,
Block-276,TRON,952.0440116,0,0,1,0,
Block-276,TRON,962.6794803,0,0,1,0,
Block-276,TRON,983.7469697,0,0,1,0,
Block-276,TRON,1008.208855,0,0,1,0,
Block-276,TRON,1036.096553,0,0,1,0,
Block-276,TRON,1060.415611,0,0,1,0,
Block-276,TRON,1077.110006,0,0,1,0,
Block-276,TRON,1096.37759,0,0,1,0,
Block-276,TRON,1120.322601,0,0,1,0,
Block-276,TRON,1146.210836,0,0,1,0,
Block-276,TRON,1161.577718,0,0,1,0,
Block-276,TRON,1175.164969,0,0,1,0,
Block-276,TRON,1196.093972,0,0,1,0,
Block-276,TRON,1209.439027,0,0,1,0,
Block-276,TRON,1225.64268,0,0,1,0,
Block-276,TRON,1249.488281,0,0,1,0,
Block-276,TRON,1265.196319,0,0,1,0,
Block-276,TRON,1286.977659,0,0,1,0,
Block-276,TRON,1331.474268,0,0,1,0,
Block-276,TRON,1344.409559,0,0,1,0,
Block-276,TRON,1361.581343,0,0,1,0,
Block-276,TRON,1381.509202,0,0,1,0,
Block-276,TRON,1400.471142,0,0,1,0,
Block-276,TRON,1418.216489,0,0,1,0,
Block-276,TRON,1450.163896,0,0,1,0,
Block-276,TRON,1460.738212,0,0,1,0,
Block-276,TRON,1476.733092,0,0,1,0,
Block-276,TRON,1495.856742,0,0,1,0,
Block-276,TRON,1503.187354,0,0,1,0,
Block-276,TRON,1521.528381,0,0,1,0,
Block-276,TRON,1534.614569,0,0,1,0,
Block-276,TRON,1553.811743,0,0,1,0,
Block-276,TRON,1630.781727,0,0,1,0,
Block-276,TRON,1640.038113,0,0,1,0,
Block-276,TRON,1674.021601,0,0,1,0,
Block-276,TRON,1683.554878,0,0,1,0,
Block-276,TRON,1698.965545,0,0,1,0,
