BLOCK,EVENT,TIME,CHAN,Sampling_Freq,NumOfPoints,D0,
Block-280,ATOF,69.87964416,0,0,1,0,
Block-280,ATOF,121.6342425,0,0,1,0,
Block-280,ATOF,140.8066356,0,0,1,0,
Block-280,ATOF,168.2445517,0,0,1,0,
Block-280,ATOF,188.7508891,0,0,1,0,
Block-280,ATOF,213.0403328,0,0,1,0,
Block-280,ATOF,243.6357734,0,0,1,0,
Block-280,ATOF,256.9049702,0,0,1,0,
Block-280,ATOF,318.8778598,0,0,1,0,
Block-280,ATOF,332.8156059,0,0,1,0,
Block-280,ATOF,360.3935642,0,0,1,0,
Block-280,ATOF,418.3837082,0,0,1,0,
Block-280,ATOF,457.0144768,0,0,1,0,
Block-280,ATOF,467.0597119,0,0,1,0,
Block-280,ATOF,483.811451,0,0,1,0,
Block-280,ATOF,504.6428876,0,0,1,0,
Block-280,ATOF,524.4807167,0,0,1,0,
Block-280,ATOF,540.9515111,0,0,1,0,
Block-280,ATOF,555.8623846,0,0,1,0,
Block-280,ATOF,574.8661454,0,0,1,0,
Block-280,ATOF,592.7240498,0,0,1,0,
Block-280,ATOF,604.5540762,0,0,1,0,
Block-280,ATOF,607.878103,0,0,1,0,
Block-280,ATOF,609.2060263,0,0,1,0,
Block-280,ATOF,610.4322047,0,0,1,0,
Block-280,ATOF,611.9154484,0,0,1,0,
Block-280,ATOF,614.0291071,0,0,1,0,
Block-280,ATOF,723.8444645,0,0,1,0,
Block-280,ATOF,903.4362471,0,0,1,0,
Block-280,ATOF,938.3189709,0,0,1,0,
