BLOCK,EVENT,TIME,CHAN,Sampling_Freq,NumOfPoints,D0,
Block-280,LOFF,68.25660419,0,0,1,0,
Block-280,LOFF,68.52009988,0,0,1,0,
Block-280,LOFF,68.65137672,0,0,1,0,
Block-280,LOFF,68.78461957,0,0,1,0,
Block-280,LOFF,68.92752886,0,0,1,0,
Block-280,LOFF,116.3689575,0,0,1,0,
Block-280,LOFF,116.5219841,0,0,1,0,
Block-280,LOFF,116.5473382,0,0,1,0,
Block-280,LOFF,116.6768537,0,0,1,0,
Block-280,LOFF,116.8084583,0,0,1,0,
Block-280,LOFF,116.9627955,0,0,1,0,
Block-280,LOFF,117.1298714,0,0,1,0,
Block-280,LOFF,117.3295105,0,0,1,0,
Block-280,LOFF,117.4360473,0,0,1,0,
Block-280,LOFF,117.5949311,0,0,1,0,
Block-280,LOFF,117.7148621,0,0,1,0,
Block-280,LOFF,135.6774604,0,0,1,0,
Block-280,LOFF,135.7654426,0,0,1,0,
Block-280,LOFF,135.8371227,0,0,1,0,
Block-280,LOFF,135.9981363,0,0,1,0,
Block-280,LOFF,136.134738,0,0,1,0,
Block-280,LOFF,136.299561,0,0,1,0,
Block-280,LOFF,136.4441907,0,0,1,0,
Block-280,LOFF,136.5908275,0,0,1,0,
Block-280,LOFF,136.7284122,0,0,1,0,
Block-280,LOFF,136.8869684,0,0,1,0,
Block-280,LOFF,137.0205798,0,0,1,0,
Block-280,LOFF,137.1646771,0,0,1,0,
Block-280,LOFF,137.226404,0,0,1,0,
Block-280,LOFF,137.2827649,0,0,1,0,
Block-280,LOFF,137.448489,0,0,1,0,
Block-280,LOFF,137.5675187,0,0,1,0,
Block-280,LOFF,137.7486439,0,0,1,0,
Block-280,LOFF,137.8681242,0,0,1,0,
Block-280,LOFF,137.9967794,0,0,1,0,
Block-280,LOFF,138.1579571,0,0,1,0,
Block-280,LOFF,138.2868173,0,0,1,0,
Block-280,LOFF,138.4320614,0,0,1,0,
Block-280,LOFF,138.5689087,0,0,1,0,
Block-280,LOFF,138.7233689,0,0,1,0,
Block-280,LOFF,138.7659674,0,0,1,0,
Block-280,LOFF,159.8044159,0,0,1,0,
Block-280,LOFF,159.8429594,0,0,1,0,
Block-280,LOFF,159.9400346,0,0,1,0,
Block-280,LOFF,160.0697138,0,0,1,0,
Block-280,LOFF,160.2108212,0,0,1,0,
Block-280,LOFF,160.3565569,0,0,1,0,
Block-280,LOFF,160.4999988,0,0,1,0,
Block-280,LOFF,160.6363137,0,0,1,0,
Block-280,LOFF,160.8009727,0,0,1,0,
Block-280,LOFF,160.8251393,0,0,1,0,
Block-280,LOFF,160.849879,0,0,1,0,
Block-280,LOFF,161.1064525,0,0,1,0,
Block-280,LOFF,161.2358041,0,0,1,0,
Block-280,LOFF,161.4177895,0,0,1,0,
Block-280,LOFF,161.7154047,0,0,1,0,
Block-280,LOFF,187.5847578,0,0,1,0,
Block-280,LOFF,187.7655962,0,0,1,0,
Block-280,LOFF,187.9312384,0,0,1,0,
Block-280,LOFF,187.9576986,0,0,1,0,
Block-280,LOFF,187.989975,0,0,1,0,
Block-280,LOFF,206.8197784,0,0,1,0,
Block-280,LOFF,206.9887795,0,0,1,0,
Block-280,LOFF,207.2261426,0,0,1,0,
Block-280,LOFF,207.2326963,0,0,1,0,
Block-280,LOFF,207.3760564,0,0,1,0,
Block-280,LOFF,207.537029,0,0,1,0,
Block-280,LOFF,207.6839116,0,0,1,0,
Block-280,LOFF,207.8316135,0,0,1,0,
Block-280,LOFF,207.9889407,0,0,1,0,
Block-280,LOFF,208.0144179,0,0,1,0,
Block-280,LOFF,208.0349388,0,0,1,0,
Block-280,LOFF,208.1457767,0,0,1,0,
Block-280,LOFF,208.1815348,0,0,1,0,
Block-280,LOFF,208.3034728,0,0,1,0,
Block-280,LOFF,208.4536321,0,0,1,0,
Block-280,LOFF,208.6070681,0,0,1,0,
Block-280,LOFF,208.7544422,0,0,1,0,
Block-280,LOFF,208.9026356,0,0,1,0,
Block-280,LOFF,209.0493543,0,0,1,0,
Block-280,LOFF,209.2014797,0,0,1,0,
Block-280,LOFF,209.503314,0,0,1,0,
Block-280,LOFF,209.6664987,0,0,1,0,
Block-280,LOFF,209.6836197,0,0,1,0,
