BLOCK,EVENT,TIME,CHAN,Sampling_Freq,NumOfPoints,D0,
Block-281,TRON,38.72468996,0,0,1,0,
Block-281,TRON,63.33374453,0,0,1,0,
Block-281,TRON,103.2765441,0,0,1,0,
Block-281,TRON,140.8652494,0,0,1,0,
Block-281,TRON,243.9118848,0,0,1,0,
Block-281,TRON,319.4784563,0,0,1,0,
Block-281,TRON,347.2094004,0,0,1,0,
Block-281,TRON,438.1480141,0,0,1,0,
Block-281,TRON,486.9764302,0,0,1,0,
Block-281,TRON,530.2188852,0,0,1,0,
Block-281,TRON,549.9894578,0,0,1,0,
Block-281,TRON,570.2069862,0,0,1,0,
Block-281,TRON,585.0906625,0,0,1,0,
Block-281,TRON,609.2489114,0,0,1,0,
Block-281,TRON,657.3672447,0,0,1,0,
Block-281,TRON,679.4675815,0,0,1,0,
Block-281,TRON,698.4076903,0,0,1,0,
Block-281,TRON,734.1454949,0,0,1,0,
Block-281,TRON,745.3897524,0,0,1,0,
Block-281,TRON,773.6039834,0,0,1,0,
