BLOCK,EVENT,TIME,CHAN,Sampling_Freq,NumOfPoints,D0,
Block-281,TROF,52.30899191,0,0,1,0,
Block-281,TROF,91.52712703,0,0,1,0,
Block-281,TROF,136.206336,0,0,1,0,
Block-281,TROF,203.8132327,0,0,1,0,
Block-281,TROF,284.8080282,0,0,1,0,
Block-281,TROF,324.8300443,0,0,1,0,
Block-281,TROF,379.3745511,0,0,1,0,
Block-281,TROF,471.6288819,0,0,1,0,
Block-281,TROF,508.0097997,0,0,1,0,
Block-281,TROF,539.8457549,0,0,1,0,
Block-281,TROF,560.5351014,0,0,1,0,
Block-281,TROF,576.9853747,0,0,1,0,
Block-281,TROF,595.9851213,0,0,1,0,
Block-281,TROF,636.5279436,0,0,1,0,
Block-281,TROF,668.6088398,0,0,1,0,
Block-281,TROF,691.499131,0,0,1,0,
Block-281,TROF,710.2852709,0,0,1,0,
Block-281,TROF,741.0926387,0,0,1,0,
Block-281,TROF,757.1179521,0,0,1,0,
Block-281,TROF,785.6523263,0,0,1,0,
