BLOCK,EVENT,TIME,CHAN,Sampling_Freq,NumOfPoints,D0,
Block-281,IRON,40.97085428,0,0,1,0,
Block-281,IRON,41.9896934,0,0,1,0,
Block-281,IRON,43.57672954,0,0,1,0,
Block-281,IRON,73.00255752,0,0,1,0,
Block-281,IRON,73.50718474,0,0,1,0,
Block-281,IRON,86.30472708,0,0,1,0,
Block-281,IRON,87.22190332,0,0,1,0,
Block-281,IRON,88.69466114,0,0,1,0,
Block-281,IRON,170.4105165,0,0,1,0,
Block-281,IRON,179.3470054,0,0,1,0,
Block-281,IRON,179.7170789,0,0,1,0,
Block-281,IRON,181.16309,0,0,1,0,
Block-281,IRON,185.9984999,0,0,1,0,
Block-281,IRON,187.5151668,0,0,1,0,
Block-281,IRON,198.4695501,0,0,1,0,
Block-281,IRON,259.3412709,0,0,1,0,
Block-281,IRON,261.6136498,0,0,1,0,
Block-281,IRON,262.5853031,0,0,1,0,
Block-281,IRON,262.9512396,0,0,1,0,
Block-281,IRON,265.1983871,0,0,1,0,
Block-281,IRON,266.8251956,0,0,1,0,
Block-281,IRON,270.3839233,0,0,1,0,
Block-281,IRON,272.0927334,0,0,1,0,
Block-281,IRON,320.9206579,0,0,1,0,
Block-281,IRON,322.3276749,0,0,1,0,
Block-281,IRON,353.7997825,0,0,1,0,
Block-281,IRON,354.7575092,0,0,1,0,
Block-281,IRON,362.8143001,0,0,1,0,
Block-281,IRON,365.2256563,0,0,1,0,
Block-281,IRON,367.9273779,0,0,1,0,
Block-281,IRON,369.6605184,0,0,1,0,
Block-281,IRON,370.4375706,0,0,1,0,
Block-281,IRON,372.5656474,0,0,1,0,
Block-281,IRON,372.9241703,0,0,1,0,
Block-281,IRON,373.3724775,0,0,1,0,
Block-281,IRON,374.978683,0,0,1,0,
Block-281,IRON,375.9096627,0,0,1,0,
Block-281,IRON,448.7015219,0,0,1,0,
Block-281,IRON,451.2110591,0,0,1,0,
Block-281,IRON,453.0424628,0,0,1,0,
Block-281,IRON,462.1754367,0,0,1,0,
Block-281,IRON,463.4278297,0,0,1,0,
Block-281,IRON,463.5731149,0,0,1,0,
Block-281,IRON,465.0010624,0,0,1,0,
Block-281,IRON,465.9668581,0,0,1,0,
Block-281,IRON,466.0010598,0,0,1,0,
Block-281,IRON,466.9233971,0,0,1,0,
Block-281,IRON,488.2638438,0,0,1,0,
Block-281,IRON,497.2506726,0,0,1,0,
Block-281,IRON,497.8909593,0,0,1,0,
Block-281,IRON,501.6001742,0,0,1,0,
Block-281,IRON,530.722898,0,0,1,0,
Block-281,IRON,531.2072499,0,0,1,0,
Block-281,IRON,532.0053146,0,0,1,0,
Block-281,IRON,550.7762995,0,0,1,0,
Block-281,IRON,551.0557287,0,0,1,0,
Block-281,IRON,551.5613389,0,0,1,0,
Block-281,IRON,553.3547726,0,0,1,0,
Block-281,IRON,554.5724313,0,0,1,0,
Block-281,IRON,556.7777588,0,0,1,0,
Block-281,IRON,571.0881996,0,0,1,0,
Block-281,IRON,571.6475084,0,0,1,0,
Block-281,IRON,572.9377074,0,0,1,0,
Block-281,IRON,585.6862209,0,0,1,0,
Block-281,IRON,587.1878963,0,0,1,0,
Block-281,IRON,587.6226048,0,0,1,0,
Block-281,IRON,590.911447,0,0,1,0,
Block-281,IRON,592.34304,0,0,1,0,
Block-281,IRON,610.857861,0,0,1,0,
Block-281,IRON,618.6075342,0,0,1,0,
Block-281,IRON,625.9072204,0,0,1,0,
Block-281,IRON,626.6395442,0,0,1,0,
Block-281,IRON,627.1326208,0,0,1,0,
Block-281,IRON,628.8002253,0,0,1,0,
Block-281,IRON,630.4296141,0,0,1,0,
Block-281,IRON,631.9809742,0,0,1,0,
Block-281,IRON,633.3747609,0,0,1,0,
Block-281,IRON,658.0536935,0,0,1,0,
Block-281,IRON,659.1589582,0,0,1,0,
Block-281,IRON,662.4339969,0,0,1,0,
Block-281,IRON,680.5689139,0,0,1,0,
Block-281,IRON,681.5264359,0,0,1,0,
Block-281,IRON,700.2814465,0,0,1,0,
Block-281,IRON,700.7827148,0,0,1,0,
Block-281,IRON,701.6465614,0,0,1,0,
Block-281,IRON,706.4189339,0,0,1,0,
Block-281,IRON,706.8364391,0,0,1,0,
Block-281,IRON,707.0450482,0,0,1,0,
Block-281,IRON,734.7347455,0,0,1,0,
Block-281,IRON,735.8738432,0,0,1,0,
Block-281,IRON,736.2700903,0,0,1,0,
Block-281,IRON,737.0583246,0,0,1,0,
Block-281,IRON,745.9362407,0,0,1,0,
Block-281,IRON,746.2323406,0,0,1,0,
Block-281,IRON,746.9235814,0,0,1,0,
Block-281,IRON,753.7207296,0,0,1,0,
Block-281,IRON,774.3572788,0,0,1,0,
Block-281,IRON,774.6276968,0,0,1,0,
Block-281,IRON,781.6337409,0,0,1,0,
Block-281,IRON,783.719342,0,0,1,0,
Block-281,IRON,784.3981721,0,0,1,0,
Block-281,IRON,784.9351168,0,0,1,0,
