BLOCK,EVENT,TIME,CHAN,Sampling_Freq,NumOfPoints,D0,
Block-281,IROF,41.34023166,0,0,1,0,
Block-281,IROF,43.39257336,0,0,1,0,
Block-281,IROF,43.67233014,0,0,1,0,
Block-281,IROF,73.11925244,0,0,1,0,
Block-281,IROF,74.32511497,0,0,1,0,
Block-281,IROF,86.92916226,0,0,1,0,
Block-281,IROF,87.30324984,0,0,1,0,
Block-281,IROF,90.07276034,0,0,1,0,
Block-281,IROF,171.8577151,0,0,1,0,
Block-281,IROF,179.4365029,0,0,1,0,
Block-281,IROF,180.763648,0,0,1,0,
Block-281,IROF,183.2782643,0,0,1,0,
Block-281,IROF,187.3773773,0,0,1,0,
Block-281,IROF,188.1208422,0,0,1,0,
Block-281,IROF,198.5789542,0,0,1,0,
Block-281,IROF,260.4463308,0,0,1,0,
Block-281,IROF,261.864325,0,0,1,0,
Block-281,IROF,262.6855731,0,0,1,0,
Block-281,IROF,263.178158,0,0,1,0,
Block-281,IROF,265.9924378,0,0,1,0,
Block-281,IROF,267.4173951,0,0,1,0,
Block-281,IROF,270.7408895,0,0,1,0,
Block-281,IROF,272.2574337,0,0,1,0,
Block-281,IROF,321.7169614,0,0,1,0,
Block-281,IROF,323.1675186,0,0,1,0,
Block-281,IROF,354.2370305,0,0,1,0,
Block-281,IROF,357.3415527,0,0,1,0,
Block-281,IROF,362.8376474,0,0,1,0,
Block-281,IROF,365.748142,0,0,1,0,
Block-281,IROF,368.0480051,0,0,1,0,
Block-281,IROF,370.1117747,0,0,1,0,
Block-281,IROF,370.5224807,0,0,1,0,
Block-281,IROF,372.7066727,0,0,1,0,
Block-281,IROF,373.1587071,0,0,1,0,
Block-281,IROF,373.7507432,0,0,1,0,
Block-281,IROF,375.7481575,0,0,1,0,
Block-281,IROF,377.4478745,0,0,1,0,
Block-281,IROF,449.5797043,0,0,1,0,
Block-281,IROF,451.8208716,0,0,1,0,
Block-281,IROF,453.0928435,0,0,1,0,
Block-281,IROF,462.2306919,0,0,1,0,
Block-281,IROF,463.5024998,0,0,1,0,
Block-281,IROF,464.4295886,0,0,1,0,
Block-281,IROF,465.9218433,0,0,1,0,
Block-281,IROF,465.9807436,0,0,1,0,
Block-281,IROF,466.8021555,0,0,1,0,
Block-281,IROF,469.5350068,0,0,1,0,
Block-281,IROF,494.4296346,0,0,1,0,
Block-281,IROF,497.6580198,0,0,1,0,
Block-281,IROF,500.5350094,0,0,1,0,
Block-281,IROF,506.1212978,0,0,1,0,
Block-281,IROF,531.0418124,0,0,1,0,
Block-281,IROF,531.3973043,0,0,1,0,
Block-281,IROF,538.3728333,0,0,1,0,
Block-281,IROF,551.0159974,0,0,1,0,
Block-281,IROF,551.2751513,0,0,1,0,
Block-281,IROF,553.0111589,0,0,1,0,
Block-281,IROF,554.3368294,0,0,1,0,
Block-281,IROF,556.5067265,0,0,1,0,
Block-281,IROF,559.0522265,0,0,1,0,
Block-281,IROF,571.2245145,0,0,1,0,
Block-281,IROF,572.3057356,0,0,1,0,
Block-281,IROF,575.4722714,0,0,1,0,
Block-281,IROF,586.8179457,0,0,1,0,
Block-281,IROF,587.4028544,0,0,1,0,
Block-281,IROF,589.3742592,0,0,1,0,
Block-281,IROF,592.1835828,0,0,1,0,
Block-281,IROF,594.5738444,0,0,1,0,
Block-281,IROF,615.9893708,0,0,1,0,
Block-281,IROF,622.7291751,0,0,1,0,
Block-281,IROF,626.0293632,0,0,1,0,
Block-281,IROF,627.069952,0,0,1,0,
Block-281,IROF,628.5565951,0,0,1,0,
Block-281,IROF,629.9234715,0,0,1,0,
Block-281,IROF,631.952466,0,0,1,0,
Block-281,IROF,632.023941,0,0,1,0,
Block-281,IROF,634.6289153,0,0,1,0,
Block-281,IROF,658.5198183,0,0,1,0,
Block-281,IROF,662.3712461,0,0,1,0,
Block-281,IROF,666.7377868,0,0,1,0,
Block-281,IROF,680.6538649,0,0,1,0,
Block-281,IROF,686.8589773,0,0,1,0,
Block-281,IROF,700.3640628,0,0,1,0,
Block-281,IROF,701.4002688,0,0,1,0,
Block-281,IROF,705.913856,0,0,1,0,
Block-281,IROF,706.7639399,0,0,1,0,
Block-281,IROF,706.9022617,0,0,1,0,
Block-281,IROF,708.22699,0,0,1,0,
Block-281,IROF,734.9178369,0,0,1,0,
Block-281,IROF,736.0532479,0,0,1,0,
Block-281,IROF,736.3848603,0,0,1,0,
Block-281,IROF,739.1767757,0,0,1,0,
Block-281,IROF,746.0931993,0,0,1,0,
Block-281,IROF,746.4849818,0,0,1,0,
Block-281,IROF,753.3917389,0,0,1,0,
Block-281,IROF,755.5330048,0,0,1,0,
Block-281,IROF,774.4935117,0,0,1,0,
Block-281,IROF,781.5907738,0,0,1,0,
Block-281,IROF,781.7193472,0,0,1,0,
Block-281,IROF,784.0179405,0,0,1,0,
Block-281,IROF,784.5738087,0,0,1,0,
Block-281,IROF,785.1339777,0,0,1,0,
