BLOCK,EVENT,TIME,CHAN,Sampling_Freq,NumOfPoints,D0,
Block-281,LICK,89.06805253,0,0,1,0,
Block-281,LICK,89.22349572,0,0,1,0,
Block-281,LICK,89.39626503,0,0,1,0,
Block-281,LICK,89.56624889,0,0,1,0,
Block-281,LICK,89.708462,0,0,1,0,
Block-281,LICK,89.93591285,0,0,1,0,
Block-281,LICK,322.4694784,0,0,1,0,
Block-281,LICK,322.5876479,0,0,1,0,
Block-281,LICK,322.6105037,0,0,1,0,
Block-281,LICK,322.7373159,0,0,1,0,
Block-281,LICK,322.8931277,0,0,1,0,
Block-281,LICK,322.9529703,0,0,1,0,
Block-281,LICK,322.9634151,0,0,1,0,
Block-281,LICK,322.9817243,0,0,1,0,
Block-281,LICK,323.0420582,0,0,1,0,
Block-281,LICK,369.9267993,0,0,1,0,
Block-281,LICK,374.9950669,0,0,1,0,
Block-281,LICK,375.1260159,0,0,1,0,
Block-281,LICK,375.271342,0,0,1,0,
Block-281,LICK,375.4376397,0,0,1,0,
Block-281,LICK,375.5693669,0,0,1,0,
Block-281,LICK,375.9365735,0,0,1,0,
Block-281,LICK,376.0484762,0,0,1,0,
Block-281,LICK,376.2256691,0,0,1,0,
Block-281,LICK,376.3812761,0,0,1,0,
Block-281,LICK,376.5113242,0,0,1,0,
Block-281,LICK,376.6068838,0,0,1,0,
Block-281,LICK,376.675369,0,0,1,0,
Block-281,LICK,376.7850189,0,0,1,0,
Block-281,LICK,376.9575424,0,0,1,0,
Block-281,LICK,377.1052442,0,0,1,0,
Block-281,LICK,377.2564685,0,0,1,0,
Block-281,LICK,377.3892608,0,0,1,0,
Block-281,LICK,377.4025729,0,0,1,0,
Block-281,LICK,465.0611918,0,0,1,0,
Block-281,LICK,465.1855462,0,0,1,0,
Block-281,LICK,465.3016679,0,0,1,0,
Block-281,LICK,465.4382694,0,0,1,0,
Block-281,LICK,465.5719218,0,0,1,0,
Block-281,LICK,465.6431513,0,0,1,0,
Block-281,LICK,466.9507174,0,0,1,0,
Block-281,LICK,467.0464818,0,0,1,0,
Block-281,LICK,467.2072089,0,0,1,0,
