BLOCK,EVENT,TIME,CHAN,Sampling_Freq,NumOfPoints,D0,
Block-281,LOFF,89.17000198,0,0,1,0,
Block-281,LOFF,89.31295228,0,0,1,0,
Block-281,LOFF,89.45553398,0,0,1,0,
Block-281,LOFF,89.6755302,0,0,1,0,
Block-281,LOFF,89.84125447,0,0,1,0,
Block-281,LOFF,90.02848268,0,0,1,0,
Block-281,LOFF,322.5123634,0,0,1,0,
Block-281,LOFF,322.5982156,0,0,1,0,
Block-281,LOFF,322.631598,0,0,1,0,
Block-281,LOFF,322.7958066,0,0,1,0,
Block-281,LOFF,322.9457204,0,0,1,0,
Block-281,LOFF,322.9608755,0,0,1,0,
Block-281,LOFF,322.9732864,0,0,1,0,
Block-281,LOFF,323.0004838,0,0,1,0,
Block-281,LOFF,323.09461,0,0,1,0,
Block-281,LOFF,369.9906151,0,0,1,0,
Block-281,LOFF,375.049093,0,0,1,0,
Block-281,LOFF,375.1943781,0,0,1,0,
Block-281,LOFF,375.3382707,0,0,1,0,
Block-281,LOFF,375.5041587,0,0,1,0,
Block-281,LOFF,375.6627967,0,0,1,0,
Block-281,LOFF,375.9654093,0,0,1,0,
Block-281,LOFF,376.1514087,0,0,1,0,
Block-281,LOFF,376.3062375,0,0,1,0,
Block-281,LOFF,376.4378829,0,0,1,0,
Block-281,LOFF,376.5954559,0,0,1,0,
Block-281,LOFF,376.6372352,0,0,1,0,
Block-281,LOFF,376.7406182,0,0,1,0,
Block-281,LOFF,376.8779161,0,0,1,0,
Block-281,LOFF,377.0245938,0,0,1,0,
Block-281,LOFF,377.1840513,0,0,1,0,
Block-281,LOFF,377.3211443,0,0,1,0,
Block-281,LOFF,377.397125,0,0,1,0,
Block-281,LOFF,377.4297702,0,0,1,0,
Block-281,LOFF,465.1151359,0,0,1,0,
Block-281,LOFF,465.2072959,0,0,1,0,
Block-281,LOFF,465.346601,0,0,1,0,
Block-281,LOFF,465.500119,0,0,1,0,
Block-281,LOFF,465.6378264,0,0,1,0,
Block-281,LOFF,465.6626482,0,0,1,0,
Block-281,LOFF,466.9978213,0,0,1,0,
Block-281,LOFF,467.1410995,0,0,1,0,
Block-281,LOFF,467.3156302,0,0,1,0,
Block-281,LOFF,467.35147,0,0,1,0,
Block-281,LOFF,467.5431218,0,0,1,0,
Block-281,LOFF,467.7233868,0,0,1,0,
Block-281,LOFF,468.6816461,0,0,1,0,
Block-281,LOFF,468.816855,0,0,1,0,
Block-281,LOFF,468.8772302,0,0,1,0,
Block-281,LOFF,468.9574296,0,0,1,0,
Block-281,LOFF,469.0751898,0,0,1,0,
Block-281,LOFF,469.2203109,0,0,1,0,
Block-281,LOFF,469.3508916,0,0,1,0,
Block-281,LOFF,469.4904423,0,0,1,0,
Block-281,LOFF,499.8381159,0,0,1,0,
Block-281,LOFF,500.199424,0,0,1,0,
Block-281,LOFF,500.2352641,0,0,1,0,
Block-281,LOFF,500.4142592,0,0,1,0,
Block-281,LOFF,501.7264538,0,0,1,0,
Block-281,LOFF,501.9017217,0,0,1,0,
Block-281,LOFF,501.9707801,0,0,1,0,
Block-281,LOFF,501.9827404,0,0,1,0,
Block-281,LOFF,502.1281075,0,0,1,0,
Block-281,LOFF,502.1666508,0,0,1,0,
Block-281,LOFF,502.252667,0,0,1,0,
Block-281,LOFF,502.6241331,0,0,1,0,
Block-281,LOFF,502.7803545,0,0,1,0,
Block-281,LOFF,502.9126143,0,0,1,0,
Block-281,LOFF,503.0616679,0,0,1,0,
Block-281,LOFF,503.200768,0,0,1,0,
Block-281,LOFF,503.352443,0,0,1,0,
Block-281,LOFF,503.599227,0,0,1,0,
Block-281,LOFF,503.6105728,0,0,1,0,
Block-281,LOFF,503.7633126,0,0,1,0,
Block-281,LOFF,503.9358771,0,0,1,0,
Block-281,LOFF,504.0617881,0,0,1,0,
Block-281,LOFF,504.2148147,0,0,1,0,
Block-281,LOFF,504.3756647,0,0,1,0,
Block-281,LOFF,504.5064089,0,0,1,0,
Block-281,LOFF,504.6464922,0,0,1,0,
Block-281,LOFF,504.8186061,0,0,1,0,
Block-281,LOFF,504.9427559,0,0,1,0,
Block-281,LOFF,505.07776,0,0,1,0,
Block-281,LOFF,505.2452865,0,0,1,0,
Block-281,LOFF,505.3758259,0,0,1,0,
Block-281,LOFF,505.5051775,0,0,1,0,
Block-281,LOFF,505.6909311,0,0,1,0,
Block-281,LOFF,505.8192999,0,0,1,0,
Block-281,LOFF,505.9789209,0,0,1,0,
Block-281,LOFF,532.253655,0,0,1,0,
Block-281,LOFF,532.3033805,0,0,1,0,
Block-281,LOFF,532.3893964,0,0,1,0,
Block-281,LOFF,532.5480754,0,0,1,0,
Block-281,LOFF,532.6710784,0,0,1,0,
Block-281,LOFF,532.8188212,0,0,1,0,
Block-281,LOFF,532.825088,0,0,1,0,
Block-281,LOFF,533.0787942,0,0,1,0,
Block-281,LOFF,533.2044594,0,0,1,0,
Block-281,LOFF,533.3498676,0,0,1,0,
Block-281,LOFF,533.3601894,0,0,1,0,
Block-281,LOFF,533.3707571,0,0,1,0,
Block-281,LOFF,533.4045901,0,0,1,0,
Block-281,LOFF,533.4874523,0,0,1,0,
Block-281,LOFF,533.6251187,0,0,1,0,
