BLOCK,EVENT,TIME,CHAN,Sampling_Freq,NumOfPoints,D0,
Block-281,ATTK,89.99661565,0,0,1,0,
Block-281,ATTK,323.0921524,0,0,1,0,
Block-281,ATTK,377.3794713,0,0,1,0,
Block-281,ATTK,469.4563227,0,0,1,0,
Block-281,ATTK,506.0666983,0,0,1,0,
Block-281,ATTK,538.3090177,0,0,1,0,
Block-281,ATTK,558.9749351,0,0,1,0,
Block-281,ATTK,575.4078822,0,0,1,0,
Block-281,ATTK,594.5088,0,0,1,0,
Block-281,ATTK,634.5426533,0,0,1,0,
Block-281,ATTK,666.6837606,0,0,1,0,
Block-281,ATTK,689.2132351,0,0,1,0,
Block-281,ATTK,708.1659596,0,0,1,0,
Block-281,ATTK,739.0926847,0,0,1,0,
Block-281,ATTK,755.4215117,0,0,1,0,
Block-281,ATTK,783.9431067,0,0,1,0,
