BLOCK,EVENT,TIME,CHAN,Sampling_Freq,NumOfPoints,D0,
Block-281,ATOF,90.79603195,0,0,1,0,
Block-281,ATOF,323.8915687,0,0,1,0,
Block-281,ATOF,378.1788468,0,0,1,0,
Block-281,ATOF,470.255739,0,0,1,0,
Block-281,ATOF,506.8661146,0,0,1,0,
Block-281,ATOF,539.108434,0,0,1,0,
Block-281,ATOF,559.7743514,0,0,1,0,
Block-281,ATOF,576.2072985,0,0,1,0,
Block-281,ATOF,595.3082163,0,0,1,0,
Block-281,ATOF,635.3420699,0,0,1,0,
Block-281,ATOF,667.4831769,0,0,1,0,
Block-281,ATOF,690.0126514,0,0,1,0,
Block-281,ATOF,708.9653759,0,0,1,0,
Block-281,ATOF,739.892101,0,0,1,0,
Block-281,ATOF,756.2208869,0,0,1,0,
Block-281,ATOF,784.7424819,0,0,1,0,
