BLOCK,EVENT,TIME,CHAN,Sampling_Freq,NumOfPoints,D0,
Block-282,TROF,58.25654793,0,0,1,0,
Block-282,TROF,125.2784128,0,0,1,0,
Block-282,TROF,176.8075674,0,0,1,0,
Block-282,TROF,260.0034714,0,0,1,0,
Block-282,TROF,287.0955212,0,0,1,0,
Block-282,TROF,325.9747124,0,0,1,0,
Block-282,TROF,357.0808423,0,0,1,0,
Block-282,TROF,404.7756903,0,0,1,0,
Block-282,TROF,428.7161548,0,0,1,0,
Block-282,TROF,443.7025998,0,0,1,0,
Block-282,TROF,473.3394945,0,0,1,0,
Block-282,TROF,532.8585522,0,0,1,0,
Block-282,TROF,546.4425268,0,0,1,0,
Block-282,TROF,595.3122714,0,0,1,0,
Block-282,TROF,621.9590042,0,0,1,0,
Block-282,TROF,699.1347303,0,0,1,0,
Block-282,TROF,828.3324416,0,0,1,0,
Block-282,TROF,856.8178687,0,0,1,0,
Block-282,TROF,934.1679206,0,0,1,0,
Block-282,TROF,952.6038117,0,0,1,0,
Block-282,TROF,969.4956748,0,0,1,0,
Block-282,TROF,987.671593,0,0,1,0,
Block-282,TROF,1021.357548,0,0,1,0,
Block-282,TROF,1046.940672,0,0,1,0,
Block-282,TROF,1075.332465,0,0,1,0,
Block-282,TROF,1097.382994,0,0,1,0,
Block-282,TROF,1123.387474,0,0,1,0,
Block-282,TROF,1145.484165,0,0,1,0,
Block-282,TROF,1160.85719,0,0,1,0,
Block-282,TROF,1177.079153,0,0,1,0,
Block-282,TROF,1194.651279,0,0,1,0,
Block-282,TROF,1214.057677,0,0,1,0,
Block-282,TROF,1223.328154,0,0,1,0,
Block-282,TROF,1252.115005,0,0,1,0,
Block-282,TROF,1276.208415,0,0,1,0,
Block-282,TROF,1304.56662,0,0,1,0,
Block-282,TROF,1323.172291,0,0,1,0,
Block-282,TROF,1376.284795,0,0,1,0,
Block-282,TROF,1403.277107,0,0,1,0,
Block-282,TROF,1440.112476,0,0,1,0,
Block-282,TROF,1455.137874,0,0,1,0,
Block-282,TROF,1479.341179,0,0,1,0,
Block-282,TROF,1502.832189,0,0,1,0,
Block-282,TROF,1545.004114,0,0,1,0,
Block-282,TROF,1571.105178,0,0,1,0,
Block-282,TROF,1591.557775,0,0,1,0,
Block-282,TROF,1610.765967,0,0,1,0,
Block-282,TROF,1635.007324,0,0,1,0,
Block-282,TROF,1658.001203,0,0,1,0,
Block-282,TROF,1677.868032,0,0,1,0,
Block-282,TROF,1706.588119,0,0,1,0,
Block-282,TROF,1721.363497,0,0,1,0,
Block-282,TROF,1738.4926,0,0,1,0,
Block-282,TROF,1769.674506,0,0,1,0,
Block-282,TROF,1785.914122,0,0,1,0,
