BLOCK,EVENT,TIME,CHAN,Sampling_Freq,NumOfPoints,D0,
Block-284,ATOF,90.97310209,0,0,1,0,
Block-284,ATOF,165.3602715,0,0,1,0,
Block-284,ATOF,191.5564442,0,0,1,0,
Block-284,ATOF,217.7864499,0,0,1,0,
Block-284,ATOF,236.8761446,0,0,1,0,
Block-284,ATOF,269.9793613,0,0,1,0,
Block-284,ATOF,287.0891316,0,0,1,0,
Block-284,ATOF,302.0992513,0,0,1,0,
Block-284,ATOF,315.5435519,0,0,1,0,
Block-284,ATOF,336.1011713,0,0,1,0,
Block-284,ATOF,349.9400396,0,0,1,0,
Block-284,ATOF,362.5561702,0,0,1,0,
Block-284,ATOF,377.7913241,0,0,1,0,
Block-284,ATOF,425.2229223,0,0,1,0,
Block-284,ATOF,440.3097191,0,0,1,0,
Block-284,ATOF,450.290606,0,0,1,0,
Block-284,ATOF,470.1952,0,0,1,0,
Block-284,ATOF,484.9835622,0,0,1,0,
Block-284,ATOF,501.7407489,0,0,1,0,
Block-284,ATOF,518.7546318,0,0,1,0,
Block-284,ATOF,540.58496,0,0,1,0,
Block-284,ATOF,554.6210098,0,0,1,0,
Block-284,ATOF,570.0698111,0,0,1,0,
Block-284,ATOF,590.1338215,0,0,1,0,
Block-284,ATOF,607.539077,0,0,1,0,
Block-284,ATOF,622.743593,0,0,1,0,
Block-284,ATOF,632.9299355,0,0,1,0,
Block-284,ATOF,650.1993268,0,0,1,0,
Block-284,ATOF,663.4217472,0,0,1,0,
Block-284,ATOF,694.6237645,0,0,1,0,
Block-284,ATOF,708.1252046,0,0,1,0,
Block-284,ATOF,733.5721369,0,0,1,0,
Block-284,ATOF,744.114217,0,0,1,0,
Block-284,ATOF,768.9918873,0,0,1,0,
Block-284,ATOF,784.3466444,0,0,1,0,
Block-284,ATOF,810.3488307,0,0,1,0,
Block-284,ATOF,832.251863,0,0,1,0,
Block-284,ATOF,845.8310862,0,0,1,0,
Block-284,ATOF,867.6503961,0,0,1,0,
Block-284,ATOF,885.2172391,0,0,1,0,
Block-284,ATOF,909.4652314,0,0,1,0,
Block-284,ATOF,923.0658765,0,0,1,0,
Block-284,ATOF,938.8611584,0,0,1,0,
Block-284,ATOF,964.6791885,0,0,1,0,
Block-284,ATOF,981.2585268,0,0,1,0,
Block-284,ATOF,994.1957018,0,0,1,0,
Block-284,ATOF,1008.674406,0,0,1,0,
Block-284,ATOF,1025.042104,0,0,1,0,
Block-284,ATOF,1049.15116,0,0,1,0,
Block-284,ATOF,1062.854001,0,0,1,0,
Block-284,ATOF,1079.329137,0,0,1,0,
Block-284,ATOF,1100.802867,0,0,1,0,
Block-284,ATOF,1119.777382,0,0,1,0,
Block-284,ATOF,1131.414241,0,0,1,0,
Block-284,ATOF,1155.84426,0,0,1,0,
Block-284,ATOF,1207.162266,0,0,1,0,
Block-284,ATOF,1244.334244,0,0,1,0,
Block-284,ATOF,1281.101578,0,0,1,0,
Block-284,ATOF,1297.408123,0,0,1,0,
Block-284,ATOF,1307.265475,0,0,1,0,
Block-284,ATOF,1318.049874,0,0,1,0,
Block-284,ATOF,1335.752868,0,0,1,0,
Block-284,ATOF,1346.272543,0,0,1,0,
Block-284,ATOF,1363.580764,0,0,1,0,
Block-284,ATOF,1384.849121,0,0,1,0,
Block-284,ATOF,1401.318113,0,0,1,0,
Block-284,ATOF,1424.471532,0,0,1,0,
Block-284,ATOF,1447.700603,0,0,1,0,
Block-284,ATOF,1463.831347,0,0,1,0,
Block-284,ATOF,1491.439575,0,0,1,0,
Block-284,ATOF,1509.52788,0,0,1,0,
Block-284,ATOF,1527.615201,0,0,1,0,
Block-284,ATOF,1556.896645,0,0,1,0,
Block-284,ATOF,1576.157553,0,0,1,0,
