BLOCK,EVENT,TIME,CHAN,Sampling_Freq,NumOfPoints,D0,
Block-284,IRON,50.8154676,0,0,1,0,
Block-284,IRON,55.86317301,0,0,1,0,
Block-284,IRON,55.94128394,0,0,1,0,
Block-284,IRON,85.33590007,0,0,1,0,
Block-284,IRON,85.96807671,0,0,1,0,
Block-284,IRON,87.7657702,0,0,1,0,
Block-284,IRON,87.81934595,0,0,1,0,
Block-284,IRON,157.9624448,0,0,1,0,
Block-284,IRON,158.2324531,0,0,1,0,
Block-284,IRON,159.1377511,0,0,1,0,
Block-284,IRON,165.4680781,0,0,1,0,
Block-284,IRON,184.7541351,0,0,1,0,
Block-284,IRON,186.2842369,0,0,1,0,
Block-284,IRON,208.2692301,0,0,1,0,
Block-284,IRON,209.2721767,0,0,1,0,
Block-284,IRON,216.044544,0,0,1,0,
Block-284,IRON,234.89024,0,0,1,0,
Block-284,IRON,262.7199795,0,0,1,0,
Block-284,IRON,263.6212633,0,0,1,0,
Block-284,IRON,278.1253223,0,0,1,0,
Block-284,IRON,299.4604032,0,0,1,0,
Block-284,IRON,300.1364071,0,0,1,0,
Block-284,IRON,308.4033639,0,0,1,0,
Block-284,IRON,309.47541,0,0,1,0,
Block-284,IRON,332.3694284,0,0,1,0,
Block-284,IRON,340.7888794,0,0,1,0,
Block-284,IRON,343.5273831,0,0,1,0,
Block-284,IRON,344.258601,0,0,1,0,
Block-284,IRON,357.410816,0,0,1,0,
Block-284,IRON,370.4446156,0,0,1,0,
Block-284,IRON,370.999419,0,0,1,0,
Block-284,IRON,418.1450343,0,0,1,0,
Block-284,IRON,422.396805,0,0,1,0,
Block-284,IRON,423.0157108,0,0,1,0,
Block-284,IRON,438.4362905,0,0,1,0,
Block-284,IRON,438.8889804,0,0,1,0,
Block-284,IRON,447.192064,0,0,1,0,
Block-284,IRON,447.8171546,0,0,1,0,
Block-284,IRON,461.1366503,0,0,1,0,
Block-284,IRON,461.7295463,0,0,1,0,
Block-284,IRON,478.7811124,0,0,1,0,
Block-284,IRON,479.658967,0,0,1,0,
Block-284,IRON,495.3206785,0,0,1,0,
Block-284,IRON,499.9836059,0,0,1,0,
Block-284,IRON,511.9995084,0,0,1,0,
Block-284,IRON,512.5001216,0,0,1,0,
Block-284,IRON,534.9321933,0,0,1,0,
Block-284,IRON,535.4193716,0,0,1,0,
Block-284,IRON,549.4577971,0,0,1,0,
Block-284,IRON,549.598249,0,0,1,0,
Block-284,IRON,561.1912396,0,0,1,0,
