BLOCK,EVENT,TIME,CHAN,Sampling_Freq,NumOfPoints,D0,
Block-284,TRON,49.15564537,0,0,1,0,
Block-284,TRON,76.85357571,0,0,1,0,
Block-284,TRON,134.8621926,0,0,1,0,
Block-284,TRON,183.0235751,0,0,1,0,
Block-284,TRON,206.3527117,0,0,1,0,
Block-284,TRON,234.4258764,0,0,1,0,
Block-284,TRON,261.8558874,0,0,1,0,
Block-284,TRON,277.5390618,0,0,1,0,
Block-284,TRON,298.7005951,0,0,1,0,
Block-284,TRON,307.0550015,0,0,1,0,
Block-284,TRON,331.6923187,0,0,1,0,
Block-284,TRON,340.0741274,0,0,1,0,
Block-284,TRON,356.8574874,0,0,1,0,
Block-284,TRON,369.967186,0,0,1,0,
Block-284,TRON,417.4657536,0,0,1,0,
Block-284,TRON,437.8877542,0,0,1,0,
Block-284,TRON,446.2277837,0,0,1,0,
Block-284,TRON,460.6477108,0,0,1,0,
Block-284,TRON,477.9745281,0,0,1,0,
Block-284,TRON,494.6941953,0,0,1,0,
Block-284,TRON,511.5212185,0,0,1,0,
Block-284,TRON,534.3742771,0,0,1,0,
Block-284,TRON,548.3631411,0,0,1,0,
Block-284,TRON,560.6432767,0,0,1,0,
Block-284,TRON,582.6883175,0,0,1,0,
Block-284,TRON,603.0261452,0,0,1,0,
Block-284,TRON,613.4923265,0,0,1,0,
Block-284,TRON,629.4822092,0,0,1,0,
Block-284,TRON,645.1060736,0,0,1,0,
Block-284,TRON,655.0828238,0,0,1,0,
Block-284,TRON,687.4298368,0,0,1,0,
Block-284,TRON,704.7058227,0,0,1,0,
Block-284,TRON,731.3513267,0,0,1,0,
Block-284,TRON,739.6291788,0,0,1,0,
Block-284,TRON,764.3999846,0,0,1,0,
Block-284,TRON,775.8610432,0,0,1,0,
Block-284,TRON,800.7964263,0,0,1,0,
Block-284,TRON,822.2071195,0,0,1,0,
Block-284,TRON,838.2776525,0,0,1,0,
Block-284,TRON,859.9182131,0,0,1,0,
Block-284,TRON,876.0748441,0,0,1,0,
Block-284,TRON,902.8804197,0,0,1,0,
Block-284,TRON,917.1618612,0,0,1,0,
Block-284,TRON,935.6790171,0,0,1,0,
Block-284,TRON,962.1915648,0,0,1,0,
Block-284,TRON,976.8968601,0,0,1,0,
Block-284,TRON,990.738555,0,0,1,0,
Block-284,TRON,1004.65238,0,0,1,0,
Block-284,TRON,1019.856896,0,0,1,0,
Block-284,TRON,1041.555292,0,0,1,0,
Block-284,TRON,1060.145398,0,0,1,0,
Block-284,TRON,1073.316987,0,0,1,0,
Block-284,TRON,1093.261517,0,0,1,0,
Block-284,TRON,1112.154317,0,0,1,0,
Block-284,TRON,1129.171968,0,0,1,0,
Block-284,TRON,1151.649096,0,0,1,0,
Block-284,TRON,1162.08554,0,0,1,0,
Block-284,TRON,1238.791291,0,0,1,0,
Block-284,TRON,1262.698291,0,0,1,0,
Block-284,TRON,1290.146857,0,0,1,0,
Block-284,TRON,1304.063385,0,0,1,0,
Block-284,TRON,1314.962268,0,0,1,0,
Block-284,TRON,1323.249459,0,0,1,0,
Block-284,TRON,1343.532278,0,0,1,0,
Block-284,TRON,1360.970916,0,0,1,0,
Block-284,TRON,1378.381169,0,0,1,0,
Block-284,TRON,1394.876908,0,0,1,0,
Block-284,TRON,1412.617626,0,0,1,0,
Block-284,TRON,1437.720904,0,0,1,0,
Block-284,TRON,1455.60662,0,0,1,0,
Block-284,TRON,1482.127565,0,0,1,0,
Block-284,TRON,1502.442906,0,0,1,0,
Block-284,TRON,1516.690022,0,0,1,0,
Block-284,TRON,1550.484685,0,0,1,0,
Block-284,TRON,1565.737083,0,0,1,0,
