BLOCK,EVENT,TIME,CHAN,Sampling_Freq,NumOfPoints,D0,
Block-293,TROF,87.88131833,0,0,1,0,
Block-293,TROF,126.4078848,0,0,1,0,
Block-293,TROF,211.8638797,0,0,1,0,
Block-293,TROF,299.5852902,0,0,1,0,
Block-293,TROF,383.1238656,0,0,1,0,
Block-293,TROF,431.0713139,0,0,1,0,
Block-293,TROF,557.8458726,0,0,1,0,
Block-293,TROF,635.3599694,0,0,1,0,
Block-293,TROF,746.0182836,0,0,1,0,
Block-293,TROF,799.4263961,0,0,1,0,
Block-293,TROF,862.9833727,0,0,1,0,
Block-293,TROF,929.5730278,0,0,1,0,
Block-293,TROF,1016.967782,0,0,1,0,
Block-293,TROF,1092.710195,0,0,1,0,
Block-293,TROF,1204.949279,0,0,1,0,
Block-293,TROF,1297.760215,0,0,1,0,
Block-293,TROF,1403.030774,0,0,1,0,
Block-293,TROF,1542.840115,0,0,1,0,
Block-293,TROF,1679.380398,0,0,1,0,
Block-293,TROF,1721.008046,0,0,1,0,
Block-293,TROF,1790.410097,0,0,1,0,
