BLOCK,EVENT,TIME,CHAN,Sampling_Freq,NumOfPoints,D0,
Block-293,IROF,66.72953343,0,0,1,0,
Block-293,IROF,123.8060646,0,0,1,0,
Block-293,IROF,124.0168858,0,0,1,0,
Block-293,IROF,177.7462068,0,0,1,0,
Block-293,IROF,190.3695052,0,0,1,0,
Block-293,IROF,195.1288524,0,0,1,0,
Block-293,IROF,261.7258804,0,0,1,0,
Block-293,IROF,273.6378675,0,0,1,0,
Block-293,IROF,274.6173031,0,0,1,0,
Block-293,IROF,287.059927,0,0,1,0,
Block-293,IROF,291.7994087,0,0,1,0,
Block-293,IROF,292.6514175,0,0,1,0,
Block-293,IROF,358.4795034,0,0,1,0,
Block-293,IROF,359.7733068,0,0,1,0,
Block-293,IROF,360.8216782,0,0,1,0,
Block-293,IROF,361.9027355,0,0,1,0,
Block-293,IROF,362.5818112,0,0,1,0,
Block-293,IROF,369.657774,0,0,1,0,
Block-293,IROF,411.110441,0,0,1,0,
Block-293,IROF,414.6400461,0,0,1,0,
Block-293,IROF,417.3784678,0,0,1,0,
Block-293,IROF,418.4613683,0,0,1,0,
Block-293,IROF,419.6206183,0,0,1,0,
Block-293,IROF,421.5875993,0,0,1,0,
Block-293,IROF,426.243973,0,0,1,0,
Block-293,IROF,428.454953,0,0,1,0,
Block-293,IROF,542.991401,0,0,1,0,
Block-293,IROF,549.8336051,0,0,1,0,
Block-293,IROF,600.8505139,0,0,1,0,
Block-293,IROF,605.0452685,0,0,1,0,
Block-293,IROF,623.2054579,0,0,1,0,
Block-293,IROF,624.7788544,0,0,1,0,
Block-293,IROF,625.6234086,0,0,1,0,
Block-293,IROF,626.9723444,0,0,1,0,
Block-293,IROF,704.6404097,0,0,1,0,
Block-293,IROF,716.779561,0,0,1,0,
Block-293,IROF,721.9044762,0,0,1,0,
Block-293,IROF,740.2289562,0,0,1,0,
Block-293,IROF,782.5684891,0,0,1,0,
Block-293,IROF,786.0264549,0,0,1,0,
Block-293,IROF,786.6116505,0,0,1,0,
Block-293,IROF,916.1073458,0,0,1,0,
Block-293,IROF,979.7190042,0,0,1,0,
Block-293,IROF,1056.438968,0,0,1,0,
Block-293,IROF,1057.555825,0,0,1,0,
Block-293,IROF,1060.320133,0,0,1,0,
Block-293,IROF,1060.762542,0,0,1,0,
Block-293,IROF,1062.811443,0,0,1,0,
Block-293,IROF,1068.012298,0,0,1,0,
Block-293,IROF,1073.653883,0,0,1,0,
Block-293,IROF,1086.155735,0,0,1,0,
Block-293,IROF,1601.180099,0,0,1,0,
Block-293,IROF,1627.037573,0,0,1,0,
Block-293,IROF,1635.610583,0,0,1,0,
Block-293,IROF,1635.880141,0,0,1,0,
Block-293,IROF,1637.394596,0,0,1,0,
Block-293,IROF,1746.676449,0,0,1,0,
Block-293,IROF,1765.968118,0,0,1,0,
Block-293,IROF,1783.067935,0,0,1,0,
Block-293,IROF,1784.974295,0,0,1,0,
Block-293,IROF,1787.483669,0,0,1,0,
