BLOCK,EVENT,TIME,CHAN,Sampling_Freq,NumOfPoints,D0,
Block-294,TRON,38.60197377,0,0,1,0,
Block-294,TRON,146.3952999,0,0,1,0,
Block-294,TRON,335.2308941,0,0,1,0,
Block-294,TRON,446.5984306,0,0,1,0,
Block-294,TRON,514.9462118,0,0,1,0,
Block-294,TRON,606.1961217,0,0,1,0,
Block-294,TRON,806.3287296,0,0,1,0,
Block-294,TRON,887.3683763,0,0,1,0,
Block-294,TRON,943.4169753,0,0,1,0,
Block-294,TRON,1033.964134,0,0,1,0,
Block-294,TRON,1173.356339,0,0,1,0,
Block-294,TRON,1279.865037,0,0,1,0,
Block-294,TRON,1422.954046,0,0,1,0,
Block-294,TRON,1601.093714,0,0,1,0,
Block-294,TRON,1680.816538,0,0,1,0,
