BLOCK,EVENT,TIME,CHAN,Sampling_Freq,NumOfPoints,D0,
Block-295,IRON,71.81631494,0,0,1,0,
Block-295,IRON,80.72601604,0,0,1,0,
Block-295,IRON,84.11762691,0,0,1,0,
Block-295,IRON,153.674752,0,0,1,0,
Block-295,IRON,158.6361959,0,0,1,0,
Block-295,IRON,159.2306893,0,0,1,0,
Block-295,IRON,160.1784217,0,0,1,0,
Block-295,IRON,231.9282176,0,0,1,0,
Block-295,IRON,235.3462477,0,0,1,0,
Block-295,IRON,236.5228646,0,0,1,0,
Block-295,IRON,239.0689383,0,0,1,0,
Block-295,IRON,240.4834509,0,0,1,0,
Block-295,IRON,240.9360998,0,0,1,0,
Block-295,IRON,277.8289766,0,0,1,0,
Block-295,IRON,302.5272832,0,0,1,0,
Block-295,IRON,307.5432038,0,0,1,0,
Block-295,IRON,309.1902463,0,0,1,0,
Block-295,IRON,322.5521357,0,0,1,0,
Block-295,IRON,324.6655488,0,0,1,0,
Block-295,IRON,329.9498804,0,0,1,0,
Block-295,IRON,332.9101825,0,0,1,0,
Block-295,IRON,333.7006695,0,0,1,0,
Block-295,IRON,373.5629005,0,0,1,0,
Block-295,IRON,374.3236096,0,0,1,0,
Block-295,IRON,390.9340775,0,0,1,0,
Block-295,IRON,398.4523673,0,0,1,0,
Block-295,IRON,404.0743322,0,0,1,0,
Block-295,IRON,413.6464794,0,0,1,0,
Block-295,IRON,426.586194,0,0,1,0,
Block-295,IRON,434.2238412,0,0,1,0,
Block-295,IRON,443.393024,0,0,1,0,
Block-295,IRON,457.710469,0,0,1,0,
Block-295,IRON,459.9688807,0,0,1,0,
Block-295,IRON,463.5971174,0,0,1,0,
Block-295,IRON,465.937408,0,0,1,0,
Block-295,IRON,469.7575014,0,0,1,0,
Block-295,IRON,474.0166452,0,0,1,0,
Block-295,IRON,497.9134464,0,0,1,0,
Block-295,IRON,508.7957401,0,0,1,0,
Block-295,IRON,519.3895936,0,0,1,0,
Block-295,IRON,519.9064679,0,0,1,0,
Block-295,IRON,520.3986433,0,0,1,0,
Block-295,IRON,534.1931109,0,0,1,0,
Block-295,IRON,556.6966169,0,0,1,0,
Block-295,IRON,565.8850918,0,0,1,0,
Block-295,IRON,585.4223156,0,0,1,0,
Block-295,IRON,597.7658982,0,0,1,0,
Block-295,IRON,597.8611712,0,0,1,0,
Block-295,IRON,635.8790553,0,0,1,0,
Block-295,IRON,656.9927475,0,0,1,0,
Block-295,IRON,682.1874893,0,0,1,0,
Block-295,IRON,688.7039385,0,0,1,0,
Block-295,IRON,697.5358975,0,0,1,0,
Block-295,IRON,700.9186201,0,0,1,0,
Block-295,IRON,747.3165517,0,0,1,0,
Block-295,IRON,773.1597722,0,0,1,0,
