BLOCK,EVENT,TIME,CHAN,Sampling_Freq,NumOfPoints,D0,
Block-295,LICK,84.15952897,0,0,1,0,
Block-295,LICK,84.24398851,0,0,1,0,
Block-295,LICK,236.4397159,0,0,1,0,
Block-295,LICK,241.3894041,0,0,1,0,
Block-295,LICK,241.5561523,0,0,1,0,
Block-295,LICK,241.7170432,0,0,1,0,
Block-295,LICK,241.8570035,0,0,1,0,
Block-295,LICK,241.9092684,0,0,1,0,
Block-295,LICK,241.9350734,0,0,1,0,
Block-295,LICK,241.999995,0,0,1,0,
Block-295,LICK,242.1311488,0,0,1,0,
Block-295,LICK,242.2601318,0,0,1,0,
Block-295,LICK,242.411479,0,0,1,0,
Block-295,LICK,280.3784909,0,0,1,0,
Block-295,LICK,280.6207283,0,0,1,0,
Block-295,LICK,280.6954393,0,0,1,0,
Block-295,LICK,281.0100942,0,0,1,0,
Block-295,LICK,281.234473,0,0,1,0,
Block-295,LICK,281.3631692,0,0,1,0,
Block-295,LICK,281.863127,0,0,1,0,
Block-295,LICK,282.0070195,0,0,1,0,
Block-295,LICK,282.1422694,0,0,1,0,
Block-295,LICK,282.2739148,0,0,1,0,
Block-295,LICK,282.363904,0,0,1,0,
Block-295,LICK,282.4729805,0,0,1,0,
Block-295,LICK,304.3660595,0,0,1,0,
Block-295,LICK,309.1493273,0,0,1,0,
Block-295,LICK,309.3987737,0,0,1,0,
Block-295,LICK,374.582231,0,0,1,0,
Block-295,LICK,374.7099853,0,0,1,0,
Block-295,LICK,374.8087399,0,0,1,0,
Block-295,LICK,374.8817306,0,0,1,0,
Block-295,LICK,374.9555404,0,0,1,0,
Block-295,LICK,375.0005145,0,0,1,0,
Block-295,LICK,375.0336103,0,0,1,0,
Block-295,LICK,375.0745702,0,0,1,0,
Block-295,LICK,375.1899135,0,0,1,0,
Block-295,LICK,375.3157017,0,0,1,0,
Block-295,LICK,375.3642395,0,0,1,0,
Block-295,LICK,375.4411213,0,0,1,0,
Block-295,LICK,375.4906828,0,0,1,0,
Block-295,LICK,375.5674829,0,0,1,0,
Block-295,LICK,375.6919193,0,0,1,0,
Block-295,LICK,375.8201652,0,0,1,0,
Block-295,LICK,375.9215412,0,0,1,0,
Block-295,LICK,375.9332967,0,0,1,0,
Block-295,LICK,376.0672767,0,0,1,0,
Block-295,LICK,404.256686,0,0,1,0,
Block-295,LICK,414.8012645,0,0,1,0,
Block-295,LICK,414.9448705,0,0,1,0,
Block-295,LICK,415.0530457,0,0,1,0,
Block-295,LICK,415.1752295,0,0,1,0,
Block-295,LICK,415.2252827,0,0,1,0,
Block-295,LICK,415.3433702,0,0,1,0,
Block-295,LICK,415.4509721,0,0,1,0,
Block-295,LICK,415.498158,0,0,1,0,
Block-295,LICK,415.6373401,0,0,1,0,
Block-295,LICK,415.7649715,0,0,1,0,
Block-295,LICK,415.9280334,0,0,1,0,
Block-295,LICK,416.0526745,0,0,1,0,
Block-295,LICK,416.1955841,0,0,1,0,
Block-295,LICK,416.3105178,0,0,1,0,
Block-295,LICK,416.3865805,0,0,1,0,
Block-295,LICK,416.5374362,0,0,1,0,
Block-295,LICK,416.6869402,0,0,1,0,
Block-295,LICK,432.8393114,0,0,1,0,
Block-295,LICK,444.362711,0,0,1,0,
Block-295,LICK,444.4278784,0,0,1,0,
Block-295,LICK,444.4407399,0,0,1,0,
Block-295,LICK,444.4488089,0,0,1,0,
Block-295,LICK,444.4665036,0,0,1,0,
Block-295,LICK,444.5360129,0,0,1,0,
Block-295,LICK,467.2440729,0,0,1,0,
Block-295,LICK,467.285975,0,0,1,0,
Block-295,LICK,471.8553908,0,0,1,0,
Block-295,LICK,539.203584,0,0,1,0,
Block-295,LICK,539.3191321,0,0,1,0,
Block-295,LICK,539.5492454,0,0,1,0,
Block-295,LICK,539.6701183,0,0,1,0,
Block-295,LICK,539.7936537,0,0,1,0,
Block-295,LICK,539.9172711,0,0,1,0,
Block-295,LICK,540.0461311,0,0,1,0,
Block-295,LICK,540.1325159,0,0,1,0,
Block-295,LICK,540.1931367,0,0,1,0,
Block-295,LICK,540.3189249,0,0,1,0,
Block-295,LICK,558.9313126,0,0,1,0,
Block-295,LICK,559.0348186,0,0,1,0,
Block-295,LICK,559.0952754,0,0,1,0,
Block-295,LICK,559.1170661,0,0,1,0,
Block-295,LICK,593.2455118,0,0,1,0,
Block-295,LICK,593.4072628,0,0,1,0,
Block-295,LICK,593.4865203,0,0,1,0,
Block-295,LICK,593.508352,0,0,1,0,
Block-295,LICK,593.5773287,0,0,1,0,
Block-295,LICK,593.7069261,0,0,1,0,
Block-295,LICK,593.8055987,0,0,1,0,
Block-295,LICK,593.8386126,0,0,1,0,
Block-295,LICK,593.9004211,0,0,1,0,
Block-295,LICK,593.9770982,0,0,1,0,
Block-295,LICK,594.0926464,0,0,1,0,
Block-295,LICK,594.2189262,0,0,1,0,
Block-295,LICK,594.3412325,0,0,1,0,
Block-295,LICK,594.3974707,0,0,1,0,
Block-295,LICK,594.4600167,0,0,1,0,
Block-295,LICK,594.5192039,0,0,1,0,
Block-295,LICK,594.53739,0,0,1,0,
Block-295,LICK,594.6073499,0,0,1,0,
Block-295,LICK,594.7307212,0,0,1,0,
Block-295,LICK,594.9023438,0,0,1,0,
Block-295,LICK,594.9700916,0,0,1,0,
Block-295,LICK,595.0538957,0,0,1,0,
Block-295,LICK,595.1862783,0,0,1,0,
Block-295,LICK,595.3174732,0,0,1,0,
Block-295,LICK,595.4728346,0,0,1,0,
Block-295,LICK,595.5446784,0,0,1,0,
Block-295,LICK,595.5548365,0,0,1,0,
Block-295,LICK,595.6135321,0,0,1,0,
Block-295,LICK,595.7436211,0,0,1,0,
Block-295,LICK,595.8700647,0,0,1,0,
Block-295,LICK,596.0167835,0,0,1,0,
Block-295,LICK,596.1757491,0,0,1,0,
Block-295,LICK,596.3091967,0,0,1,0,
Block-295,LICK,596.4580865,0,0,1,0,
Block-295,LICK,596.6313882,0,0,1,0,
Block-295,LICK,596.7567668,0,0,1,0,
Block-295,LICK,596.8868556,0,0,1,0,
Block-295,LICK,596.9544396,0,0,1,0,
Block-295,LICK,597.0469682,0,0,1,0,
Block-295,LICK,597.2121191,0,0,1,0,
Block-295,LICK,597.3294284,0,0,1,0,
Block-295,LICK,597.5108404,0,0,1,0,
Block-295,LICK,637.0321202,0,0,1,0,
Block-295,LICK,637.2550247,0,0,1,0,
Block-295,LICK,637.2931993,0,0,1,0,
Block-295,LICK,637.4023168,0,0,1,0,
Block-295,LICK,637.4774375,0,0,1,0,
Block-295,LICK,637.5892582,0,0,1,0,
Block-295,LICK,637.7408922,0,0,1,0,
Block-295,LICK,637.8439884,0,0,1,0,
Block-295,LICK,637.9631412,0,0,1,0,
Block-295,LICK,638.0859802,0,0,1,0,
Block-295,LICK,638.2206976,0,0,1,0,
Block-295,LICK,638.3745844,0,0,1,0,
Block-295,LICK,638.526505,0,0,1,0,
Block-295,LICK,638.6647859,0,0,1,0,
Block-295,LICK,638.7324519,0,0,1,0,
Block-295,LICK,638.8330495,0,0,1,0,
Block-295,LICK,638.9513831,0,0,1,0,
Block-295,LICK,639.0089729,0,0,1,0,
Block-295,LICK,639.0491545,0,0,1,0,
Block-295,LICK,639.0729523,0,0,1,0,
Block-295,LICK,639.0867558,0,0,1,0,
Block-295,LICK,639.1327538,0,0,1,0,
Block-295,LICK,639.1402495,0,0,1,0,
Block-295,LICK,639.1805952,0,0,1,0,
Block-295,LICK,639.2208998,0,0,1,0,
Block-295,LICK,639.2798412,0,0,1,0,
Block-295,LICK,639.3205554,0,0,1,0,
Block-295,LICK,639.3620479,0,0,1,0,
Block-295,LICK,639.4087424,0,0,1,0,
Block-295,LICK,639.4591641,0,0,1,0,
Block-295,LICK,639.4899251,0,0,1,0,
Block-295,LICK,639.5866318,0,0,1,0,
Block-295,LICK,639.6325479,0,0,1,0,
Block-295,LICK,658.337956,0,0,1,0,
Block-295,LICK,658.4915149,0,0,1,0,
Block-295,LICK,658.5716326,0,0,1,0,
Block-295,LICK,658.5765069,0,0,1,0,
Block-295,LICK,658.5951846,0,0,1,0,
Block-295,LICK,660.3952129,0,0,1,0,
Block-295,LICK,660.4236801,0,0,1,0,
Block-295,LICK,660.5705626,0,0,1,0,
Block-295,LICK,661.0962431,0,0,1,0,
Block-295,LICK,661.2627866,0,0,1,0,
Block-295,LICK,661.4412494,0,0,1,0,
Block-295,LICK,661.5729356,0,0,1,0,
Block-295,LICK,661.6242995,0,0,1,0,
Block-295,LICK,661.8412647,0,0,1,0,
Block-295,LICK,662.005883,0,0,1,0,
Block-295,LICK,662.1515367,0,0,1,0,
Block-295,LICK,662.425559,0,0,1,0,
Block-295,LICK,662.4926515,0,0,1,0,
Block-295,LICK,662.5049396,0,0,1,0,
