BLOCK,EVENT,TIME,CHAN,Sampling_Freq,NumOfPoints,D0,
Block-295,LOFF,84.22576118,0,0,1,0,
Block-295,LOFF,84.25394177,0,0,1,0,
Block-295,LOFF,236.4869428,0,0,1,0,
Block-295,LOFF,241.4434304,0,0,1,0,
Block-295,LOFF,241.6208282,0,0,1,0,
Block-295,LOFF,241.7683251,0,0,1,0,
Block-295,LOFF,241.905787,0,0,1,0,
Block-295,LOFF,241.9129548,0,0,1,0,
Block-295,LOFF,241.9410944,0,0,1,0,
Block-295,LOFF,242.0438221,0,0,1,0,
Block-295,LOFF,242.1743207,0,0,1,0,
Block-295,LOFF,242.3210394,0,0,1,0,
Block-295,LOFF,242.4310989,0,0,1,0,
Block-295,LOFF,280.4471397,0,0,1,0,
Block-295,LOFF,280.6854041,0,0,1,0,
Block-295,LOFF,280.7021158,0,0,1,0,
Block-295,LOFF,281.2059238,0,0,1,0,
Block-295,LOFF,281.3194239,0,0,1,0,
Block-295,LOFF,281.8338816,0,0,1,0,
Block-295,LOFF,281.9397223,0,0,1,0,
Block-295,LOFF,282.0748901,0,0,1,0,
Block-295,LOFF,282.2187009,0,0,1,0,
Block-295,LOFF,282.3395739,0,0,1,0,
Block-295,LOFF,282.4655666,0,0,1,0,
Block-295,LOFF,282.4924364,0,0,1,0,
Block-295,LOFF,304.5512807,0,0,1,0,
Block-295,LOFF,309.196841,0,0,1,0,
Block-295,LOFF,309.478318,0,0,1,0,
Block-295,LOFF,374.6262221,0,0,1,0,
Block-295,LOFF,374.7435725,0,0,1,0,
Block-295,LOFF,374.8759551,0,0,1,0,
Block-295,LOFF,374.9056511,0,0,1,0,
Block-295,LOFF,374.9975655,0,0,1,0,
Block-295,LOFF,375.0046926,0,0,1,0,
Block-295,LOFF,375.0392218,0,0,1,0,
Block-295,LOFF,375.1090586,0,0,1,0,
Block-295,LOFF,375.2389836,0,0,1,0,
Block-295,LOFF,375.3597338,0,0,1,0,
Block-295,LOFF,375.366574,0,0,1,0,
Block-295,LOFF,375.4869146,0,0,1,0,
Block-295,LOFF,375.4937959,0,0,1,0,
Block-295,LOFF,375.6148736,0,0,1,0,
Block-295,LOFF,375.7401292,0,0,1,0,
Block-295,LOFF,375.860265,0,0,1,0,
Block-295,LOFF,375.924654,0,0,1,0,
Block-295,LOFF,375.9842508,0,0,1,0,
Block-295,LOFF,376.0726016,0,0,1,0,
Block-295,LOFF,404.3166926,0,0,1,0,
Block-295,LOFF,414.8568883,0,0,1,0,
Block-295,LOFF,415.0029516,0,0,1,0,
Block-295,LOFF,415.1529062,0,0,1,0,
Block-295,LOFF,415.1934977,0,0,1,0,
Block-295,LOFF,415.2743526,0,0,1,0,
Block-295,LOFF,415.4363084,0,0,1,0,
Block-295,LOFF,415.4549453,0,0,1,0,
Block-295,LOFF,415.5354726,0,0,1,0,
Block-295,LOFF,415.6771533,0,0,1,0,
Block-295,LOFF,415.8355045,0,0,1,0,
Block-295,LOFF,415.9603918,0,0,1,0,
Block-295,LOFF,416.0967884,0,0,1,0,
Block-295,LOFF,416.2698445,0,0,1,0,
Block-295,LOFF,416.3219867,0,0,1,0,
Block-295,LOFF,416.4202497,0,0,1,0,
Block-295,LOFF,416.5711052,0,0,1,0,
Block-295,LOFF,416.744571,0,0,1,0,
Block-295,LOFF,432.8697445,0,0,1,0,
Block-295,LOFF,444.4220622,0,0,1,0,
Block-295,LOFF,444.4307456,0,0,1,0,
Block-295,LOFF,444.4480717,0,0,1,0,
Block-295,LOFF,444.4562228,0,0,1,0,
Block-295,LOFF,444.4759245,0,0,1,0,
Block-295,LOFF,444.5671833,0,0,1,0,
Block-295,LOFF,467.2656178,0,0,1,0,
Block-295,LOFF,467.2997785,0,0,1,0,
Block-295,LOFF,471.9087207,0,0,1,0,
Block-295,LOFF,539.2713728,0,0,1,0,
Block-295,LOFF,539.4511054,0,0,1,0,
Block-295,LOFF,539.5832422,0,0,1,0,
Block-295,LOFF,539.7162395,0,0,1,0,
Block-295,LOFF,539.843502,0,0,1,0,
Block-295,LOFF,539.9746151,0,0,1,0,
Block-295,LOFF,540.124119,0,0,1,0,
Block-295,LOFF,540.1414862,0,0,1,0,
Block-295,LOFF,540.2393806,0,0,1,0,
Block-295,LOFF,540.3675852,0,0,1,0,
Block-295,LOFF,558.9357364,0,0,1,0,
Block-295,LOFF,559.0842574,0,0,1,0,
Block-295,LOFF,559.1126835,0,0,1,0,
Block-295,LOFF,559.1312385,0,0,1,0,
Block-295,LOFF,593.3063374,0,0,1,0,
Block-295,LOFF,593.4778368,0,0,1,0,
Block-295,LOFF,593.4937701,0,0,1,0,
Block-295,LOFF,593.5208447,0,0,1,0,
Block-295,LOFF,593.625088,0,0,1,0,
Block-295,LOFF,593.7763941,0,0,1,0,
Block-295,LOFF,593.8150604,0,0,1,0,
Block-295,LOFF,593.8941543,0,0,1,0,
Block-295,LOFF,593.904681,0,0,1,0,
Block-295,LOFF,594.0166657,0,0,1,0,
Block-295,LOFF,594.1386034,0,0,1,0,
Block-295,LOFF,594.2667265,0,0,1,0,
Block-295,LOFF,594.3963647,0,0,1,0,
Block-295,LOFF,594.4017305,0,0,1,0,
Block-295,LOFF,594.5144525,0,0,1,0,
Block-295,LOFF,594.5339084,0,0,1,0,
Block-295,LOFF,594.5521357,0,0,1,0,
Block-295,LOFF,594.6381516,0,0,1,0,
Block-295,LOFF,594.7725415,0,0,1,0,
Block-295,LOFF,594.9690266,0,0,1,0,
Block-295,LOFF,594.9761126,0,0,1,0,
Block-295,LOFF,595.1060786,0,0,1,0,
Block-295,LOFF,595.2394445,0,0,1,0,
Block-295,LOFF,595.3898907,0,0,1,0,
Block-295,LOFF,595.5364864,0,0,1,0,
Block-295,LOFF,595.5540173,0,0,1,0,
Block-295,LOFF,595.577774,0,0,1,0,
Block-295,LOFF,595.6692786,0,0,1,0,
Block-295,LOFF,595.7852774,0,0,1,0,
Block-295,LOFF,595.9405978,0,0,1,0,
Block-295,LOFF,596.1098034,0,0,1,0,
Block-295,LOFF,596.2600038,0,0,1,0,
Block-295,LOFF,596.4191744,0,0,1,0,
Block-295,LOFF,596.5617151,0,0,1,0,
Block-295,LOFF,596.6830797,0,0,1,0,
Block-295,LOFF,596.8088269,0,0,1,0,
Block-295,LOFF,596.9492788,0,0,1,0,
Block-295,LOFF,596.9631641,0,0,1,0,
Block-295,LOFF,597.0757222,0,0,1,0,
Block-295,LOFF,597.2347698,0,0,1,0,
Block-295,LOFF,597.3716583,0,0,1,0,
Block-295,LOFF,597.5548723,0,0,1,0,
Block-295,LOFF,637.0612018,0,0,1,0,
Block-295,LOFF,637.2641177,0,0,1,0,
Block-295,LOFF,637.3090508,0,0,1,0,
Block-295,LOFF,637.4767821,0,0,1,0,
Block-295,LOFF,637.4806323,0,0,1,0,
Block-295,LOFF,637.6255488,0,0,1,0,
Block-295,LOFF,637.7510912,0,0,1,0,
Block-295,LOFF,637.874053,0,0,1,0,
Block-295,LOFF,637.9973836,0,0,1,0,
Block-295,LOFF,638.1342721,0,0,1,0,
Block-295,LOFF,638.2901249,0,0,1,0,
Block-295,LOFF,638.4417586,0,0,1,0,
Block-295,LOFF,638.5935156,0,0,1,0,
Block-295,LOFF,638.7263489,0,0,1,0,
Block-295,LOFF,638.7413812,0,0,1,0,
Block-295,LOFF,638.8817101,0,0,1,0,
Block-295,LOFF,639.0012722,0,0,1,0,
Block-295,LOFF,639.0174925,0,0,1,0,
Block-295,LOFF,639.0545204,0,0,1,0,
Block-295,LOFF,639.0761881,0,0,1,0,
Block-295,LOFF,639.1280026,0,0,1,0,
Block-295,LOFF,639.1368909,0,0,1,0,
Block-295,LOFF,639.1503668,0,0,1,0,
Block-295,LOFF,639.1875994,0,0,1,0,
Block-295,LOFF,639.2662835,0,0,1,0,
Block-295,LOFF,639.2903271,0,0,1,0,
Block-295,LOFF,639.3265357,0,0,1,0,
Block-295,LOFF,639.4056704,0,0,1,0,
