BLOCK,EVENT,TIME,CHAN,Sampling_Freq,NumOfPoints,D0,
Block-295,ATTK,85.12524295,0,0,1,0,
Block-295,ATTK,242.4090214,0,0,1,0,
Block-295,ATTK,282.430464,0,0,1,0,
Block-295,ATTK,309.94432,0,0,1,0,
Block-295,ATTK,376.0357785,0,0,1,0,
Block-295,ATTK,405.1351142,0,0,1,0,
Block-295,ATTK,416.9816883,0,0,1,0,
Block-295,ATTK,435.2700825,0,0,1,0,
Block-295,ATTK,444.7450316,0,0,1,0,
Block-295,ATTK,474.295296,0,0,1,0,
Block-295,ATTK,542.5694721,0,0,1,0,
Block-295,ATTK,564.5624115,0,0,1,0,
Block-295,ATTK,600.070267,0,0,1,0,
Block-295,ATTK,639.7013607,0,0,1,0,
Block-295,ATTK,663.320617,0,0,1,0,
Block-295,ATTK,703.254528,0,0,1,0,
Block-295,ATTK,757.9214642,0,0,1,0,
Block-295,ATTK,783.8459084,0,0,1,0,
Block-295,ATTK,806.2110515,0,0,1,0,
Block-295,ATTK,837.9049575,0,0,1,0,
Block-295,ATTK,867.0504141,0,0,1,0,
Block-295,ATTK,901.6118066,0,0,1,0,
Block-295,ATTK,937.2442625,0,0,1,0,
Block-295,ATTK,959.2465408,0,0,1,0,
Block-295,ATTK,987.7797275,0,0,1,0,
Block-295,ATTK,1001.138135,0,0,1,0,
Block-295,ATTK,1021.287137,0,0,1,0,
Block-295,ATTK,1033.203098,0,0,1,0,
Block-295,ATTK,1052.259287,0,0,1,0,
Block-295,ATTK,1086.123418,0,0,1,0,
Block-295,ATTK,1142.177587,0,0,1,0,
Block-295,ATTK,1158.962463,0,0,1,0,
Block-295,ATTK,1195.214602,0,0,1,0,
Block-295,ATTK,1215.189811,0,0,1,0,
Block-295,ATTK,1261.821378,0,0,1,0,
Block-295,ATTK,1294.449582,0,0,1,0,
Block-295,ATTK,1317.688648,0,0,1,0,
Block-295,ATTK,1339.625554,0,0,1,0,
Block-295,ATTK,1366.974956,0,0,1,0,
Block-295,ATTK,1392.993403,0,0,1,0,
Block-295,ATTK,1420.323553,0,0,1,0,
Block-295,ATTK,1444.946821,0,0,1,0,
Block-295,ATTK,1471.407104,0,0,1,0,
Block-295,ATTK,1512.033239,0,0,1,0,
Block-295,ATTK,1522.370888,0,0,1,0,
Block-295,ATTK,1545.992315,0,0,1,0,
Block-295,ATTK,1563.884298,0,0,1,0,
Block-295,ATTK,1580.145705,0,0,1,0,
Block-295,ATTK,1604.107633,0,0,1,0,
Block-295,ATTK,1646.851604,0,0,1,0,
Block-295,ATTK,1665.675714,0,0,1,0,
