BLOCK,EVENT,TIME,CHAN,Sampling_Freq,NumOfPoints,D0,
Block-316,ATTK,50.78179836,0,0,1,0,
Block-316,ATTK,195.2548044,0,0,1,0,
Block-316,ATTK,210.7479246,0,0,1,0,
Block-316,ATTK,273.4168065,0,0,1,0,
Block-316,ATTK,300.1458278,0,0,1,0,
Block-316,ATTK,322.1514649,0,0,1,0,
Block-316,ATTK,340.4987187,0,0,1,0,
Block-316,ATTK,361.7489715,0,0,1,0,
Block-316,ATTK,379.6679065,0,0,1,0,
Block-316,ATTK,393.2210381,0,0,1,0,
Block-316,ATTK,403.0545101,0,0,1,0,
Block-316,ATTK,426.2315214,0,0,1,0,
Block-316,ATTK,442.4373863,0,0,1,0,
Block-316,ATTK,470.7303834,0,0,1,0,
Block-316,ATTK,487.2724481,0,0,1,0,
Block-316,ATTK,588.6472192,0,0,1,0,
Block-316,ATTK,619.4723635,0,0,1,0,
Block-316,ATTK,635.4676123,0,0,1,0,
Block-316,ATTK,648.8102503,0,0,1,0,
Block-316,ATTK,663.1077068,0,0,1,0,
Block-316,ATTK,670.682112,0,0,1,0,
Block-316,ATTK,685.4650266,0,0,1,0,
Block-316,ATTK,699.1982183,0,0,1,0,
Block-316,ATTK,718.4572005,0,0,1,0,
Block-316,ATTK,726.9087641,0,0,1,0,
Block-316,ATTK,736.9109094,0,0,1,0,
Block-316,ATTK,828.7826331,0,0,1,0,
Block-316,ATTK,849.1703091,0,0,1,0,
Block-316,ATTK,869.9893761,0,0,1,0,
Block-316,ATTK,905.9162521,0,0,1,0,
Block-316,ATTK,920.4457471,0,0,1,0,
Block-316,ATTK,937.5533056,0,0,1,0,
Block-316,ATTK,954.3950746,0,0,1,0,
Block-316,ATTK,990.6696191,0,0,1,0,
Block-316,ATTK,1004.330189,0,0,1,0,
Block-316,ATTK,1021.526753,0,0,1,0,
Block-316,ATTK,1051.894047,0,0,1,0,
Block-316,ATTK,1063.877304,0,0,1,0,
Block-316,ATTK,1078.215721,0,0,1,0,
Block-316,ATTK,1096.036721,0,0,1,0,
Block-316,ATTK,1110.289203,0,0,1,0,
Block-316,ATTK,1127.040082,0,0,1,0,
Block-316,ATTK,1154.773443,0,0,1,0,
Block-316,ATTK,1170.507162,0,0,1,0,
Block-316,ATTK,1193.283912,0,0,1,0,
Block-316,ATTK,1223.205519,0,0,1,0,
Block-316,ATTK,1235.006956,0,0,1,0,
Block-316,ATTK,1264.494141,0,0,1,0,
Block-316,ATTK,1309.639844,0,0,1,0,
Block-316,ATTK,1327.205417,0,0,1,0,
Block-316,ATTK,1363.19017,0,0,1,0,
Block-316,ATTK,1443.987497,0,0,1,0,
Block-316,ATTK,1474.729083,0,0,1,0,
Block-316,ATTK,1489.828086,0,0,1,0,
Block-316,ATTK,1519.461949,0,0,1,0,
Block-316,ATTK,1528.836628,0,0,1,0,
Block-316,ATTK,1546.920428,0,0,1,0,
Block-316,ATTK,1561.06879,0,0,1,0,
Block-316,ATTK,1579.885609,0,0,1,0,
Block-316,ATTK,1625.342976,0,0,1,0,
Block-316,ATTK,1639.850148,0,0,1,0,
Block-316,ATTK,1654.379725,0,0,1,0,
Block-316,ATTK,1681.306829,0,0,1,0,
Block-316,ATTK,1697.986191,0,0,1,0,
Block-316,ATTK,1711.676498,0,0,1,0,
Block-316,ATTK,1769.570099,0,0,1,0,
