BLOCK,EVENT,TIME,CHAN,Sampling_Freq,NumOfPoints,D0,
Block-316,IRON,48.01048565,0,0,1,0,
Block-316,IRON,94.41128445,0,0,1,0,
Block-316,IRON,142.3064678,0,0,1,0,
Block-316,IRON,169.3149593,0,0,1,0,
Block-316,IRON,177.4941797,0,0,1,0,
Block-316,IRON,177.8751078,0,0,1,0,
Block-316,IRON,178.2390375,0,0,1,0,
Block-316,IRON,188.6030233,0,0,1,0,
Block-316,IRON,189.7110324,0,0,1,0,
Block-316,IRON,191.8517249,0,0,1,0,
Block-316,IRON,193.473618,0,0,1,0,
Block-316,IRON,209.2931483,0,0,1,0,
Block-316,IRON,264.1190093,0,0,1,0,
Block-316,IRON,264.383611,0,0,1,0,
Block-316,IRON,291.0585241,0,0,1,0,
Block-316,IRON,291.3347175,0,0,1,0,
Block-316,IRON,292.321321,0,0,1,0,
Block-316,IRON,293.8428621,0,0,1,0,
Block-316,IRON,295.6541133,0,0,1,0,
Block-316,IRON,314.4833434,0,0,1,0,
Block-316,IRON,314.9930496,0,0,1,0,
Block-316,IRON,319.5184333,0,0,1,0,
Block-316,IRON,321.9777536,0,0,1,0,
Block-316,IRON,333.118382,0,0,1,0,
Block-316,IRON,337.0538599,0,0,1,0,
Block-316,IRON,337.6075161,0,0,1,0,
Block-316,IRON,340.1046836,0,0,1,0,
Block-316,IRON,341.7033932,0,0,1,0,
Block-316,IRON,354.8452454,0,0,1,0,
Block-316,IRON,355.1106253,0,0,1,0,
Block-316,IRON,355.4070528,0,0,1,0,
Block-316,IRON,377.8487501,0,0,1,0,
Block-316,IRON,378.5899212,0,0,1,0,
Block-316,IRON,391.3179545,0,0,1,0,
Block-316,IRON,391.8245478,0,0,1,0,
Block-316,IRON,399.0170829,0,0,1,0,
Block-316,IRON,399.3951437,0,0,1,0,
Block-316,IRON,399.8674126,0,0,1,0,
Block-316,IRON,419.1465473,0,0,1,0,
Block-316,IRON,419.9324467,0,0,1,0,
Block-316,IRON,436.1723495,0,0,1,0,
Block-316,IRON,436.5389414,0,0,1,0,
Block-316,IRON,468.8391783,0,0,1,0,
Block-316,IRON,469.4301081,0,0,1,0,
Block-316,IRON,471.9104819,0,0,1,0,
Block-316,IRON,483.4668543,0,0,1,0,
Block-316,IRON,585.1379302,0,0,1,0,
Block-316,IRON,586.0222566,0,0,1,0,
Block-316,IRON,611.9815986,0,0,1,0,
Block-316,IRON,613.228544,0,0,1,0,
Block-316,IRON,627.1358976,0,0,1,0,
Block-316,IRON,647.0871041,0,0,1,0,
Block-316,IRON,647.7634764,0,0,1,0,
Block-316,IRON,657.8490164,0,0,1,0,
Block-316,IRON,658.4540365,0,0,1,0,
Block-316,IRON,661.8117735,0,0,1,0,
Block-316,IRON,668.8350618,0,0,1,0,
Block-316,IRON,669.3468978,0,0,1,0,
Block-316,IRON,679.3738239,0,0,1,0,
Block-316,IRON,682.464174,0,0,1,0,
Block-316,IRON,697.987072,0,0,1,0,
Block-316,IRON,715.5414221,0,0,1,0,
Block-316,IRON,716.028928,0,0,1,0,
Block-316,IRON,725.514281,0,0,1,0,
Block-316,IRON,728.1315429,0,0,1,0,
Block-316,IRON,734.5302324,0,0,1,0,
Block-316,IRON,735.8346446,0,0,1,0,
Block-316,IRON,737.9052544,0,0,1,0,
Block-316,IRON,775.5555224,0,0,1,0,
Block-316,IRON,779.3651302,0,0,1,0,
Block-316,IRON,787.0294836,0,0,1,0,
Block-316,IRON,789.3397503,0,0,1,0,
Block-316,IRON,789.4335897,0,0,1,0,
Block-316,IRON,800.0037274,0,0,1,0,
Block-316,IRON,821.6810291,0,0,1,0,
Block-316,IRON,822.2015078,0,0,1,0,
Block-316,IRON,825.4499226,0,0,1,0,
Block-316,IRON,829.773906,0,0,1,0,
Block-316,IRON,847.3506203,0,0,1,0,
Block-316,IRON,860.9683046,0,0,1,0,
Block-316,IRON,864.9463809,0,0,1,0,
Block-316,IRON,865.1428659,0,0,1,0,
Block-316,IRON,870.9799936,0,0,1,0,
Block-316,IRON,904.0542107,0,0,1,0,
Block-316,IRON,912.3905537,0,0,1,0,
Block-316,IRON,912.6815743,0,0,1,0,
Block-316,IRON,921.5154176,0,0,1,0,
Block-316,IRON,929.8722816,0,0,1,0,
Block-316,IRON,947.0827725,0,0,1,0,
Block-316,IRON,983.044178,0,0,1,0,
Block-316,IRON,1002.357309,0,0,1,0,
Block-316,IRON,1005.281075,0,0,1,0,
Block-316,IRON,1014.972744,0,0,1,0,
Block-316,IRON,1044.579574,0,0,1,0,
Block-316,IRON,1058.444124,0,0,1,0,
Block-316,IRON,1060.079821,0,0,1,0,
Block-316,IRON,1072.708198,0,0,1,0,
Block-316,IRON,1077.504737,0,0,1,0,
Block-316,IRON,1093.878456,0,0,1,0,
Block-316,IRON,1097.048515,0,0,1,0,
Block-316,IRON,1103.24609,0,0,1,0,
Block-316,IRON,1110.136422,0,0,1,0,
Block-316,IRON,1118.46654,0,0,1,0,
Block-316,IRON,1118.709228,0,0,1,0,
Block-316,IRON,1120.400957,0,0,1,0,
Block-316,IRON,1122.004951,0,0,1,0,
Block-316,IRON,1143.677624,0,0,1,0,
Block-316,IRON,1144.244347,0,0,1,0,
Block-316,IRON,1146.187121,0,0,1,0,
Block-316,IRON,1147.223204,0,0,1,0,
Block-316,IRON,1154.216714,0,0,1,0,
Block-316,IRON,1161.223127,0,0,1,0,
Block-316,IRON,1161.861407,0,0,1,0,
Block-316,IRON,1164.877619,0,0,1,0,
Block-316,IRON,1165.71861,0,0,1,0,
Block-316,IRON,1168.375357,0,0,1,0,
Block-316,IRON,1171.501589,0,0,1,0,
Block-316,IRON,1184.471491,0,0,1,0,
Block-316,IRON,1185.165967,0,0,1,0,
Block-316,IRON,1187.365192,0,0,1,0,
Block-316,IRON,1221.919048,0,0,1,0,
Block-316,IRON,1222.181437,0,0,1,0,
Block-316,IRON,1230.48833,0,0,1,0,
Block-316,IRON,1262.180925,0,0,1,0,
Block-316,IRON,1262.769521,0,0,1,0,
Block-316,IRON,1280.722371,0,0,1,0,
Block-316,IRON,1281.779712,0,0,1,0,
Block-316,IRON,1286.226371,0,0,1,0,
Block-316,IRON,1287.527096,0,0,1,0,
Block-316,IRON,1293.583032,0,0,1,0,
Block-316,IRON,1307.914199,0,0,1,0,
Block-316,IRON,1308.859433,0,0,1,0,
Block-316,IRON,1321.515295,0,0,1,0,
Block-316,IRON,1322.012549,0,0,1,0,
Block-316,IRON,1345.815921,0,0,1,0,
Block-316,IRON,1353.036841,0,0,1,0,
Block-316,IRON,1354.724024,0,0,1,0,
Block-316,IRON,1364.300718,0,0,1,0,
Block-316,IRON,1442.087486,0,0,1,0,
Block-316,IRON,1465.645588,0,0,1,0,
Block-316,IRON,1467.188347,0,0,1,0,
Block-316,IRON,1469.465969,0,0,1,0,
Block-316,IRON,1470.083973,0,0,1,0,
Block-316,IRON,1484.706816,0,0,1,0,
Block-316,IRON,1500.290498,0,0,1,0,
Block-316,IRON,1505.977631,0,0,1,0,
Block-316,IRON,1511.996252,0,0,1,0,
Block-316,IRON,1515.571609,0,0,1,0,
Block-316,IRON,1527.512556,0,0,1,0,
Block-316,IRON,1541.920973,0,0,1,0,
Block-316,IRON,1555.400704,0,0,1,0,
Block-316,IRON,1569.881457,0,0,1,0,
Block-316,IRON,1571.110789,0,0,1,0,
Block-316,IRON,1571.309855,0,0,1,0,
Block-316,IRON,1578.023117,0,0,1,0,
Block-316,IRON,1614.383022,0,0,1,0,
Block-316,IRON,1615.081022,0,0,1,0,
Block-316,IRON,1615.449538,0,0,1,0,
Block-316,IRON,1621.722235,0,0,1,0,
Block-316,IRON,1636.344832,0,0,1,0,
Block-316,IRON,1636.619756,0,0,1,0,
Block-316,IRON,1648.453878,0,0,1,0,
Block-316,IRON,1654.381855,0,0,1,0,
Block-316,IRON,1655.486464,0,0,1,0,
Block-316,IRON,1667.481395,0,0,1,0,
Block-316,IRON,1675.067638,0,0,1,0,
Block-316,IRON,1677.982966,0,0,1,0,
Block-316,IRON,1678.256497,0,0,1,0,
Block-316,IRON,1694.288077,0,0,1,0,
Block-316,IRON,1697.829519,0,0,1,0,
Block-316,IRON,1709.103923,0,0,1,0,
Block-316,IRON,1709.918945,0,0,1,0,
Block-316,IRON,1749.527429,0,0,1,0,
Block-316,IRON,1758.484111,0,0,1,0,
Block-316,IRON,1758.747566,0,0,1,0,
Block-316,IRON,1761.73314,0,0,1,0,
Block-316,IRON,1763.225068,0,0,1,0,
Block-316,IRON,1770.561372,0,0,1,0,
