BLOCK,EVENT,TIME,CHAN,Sampling_Freq,NumOfPoints,D0,
Block-316,TROF,53.42818308,0,0,1,0,
Block-316,TROF,89.22087431,0,0,1,0,
Block-316,TROF,104.5181236,0,0,1,0,
Block-316,TROF,147.6707532,0,0,1,0,
Block-316,TROF,197.1830783,0,0,1,0,
Block-316,TROF,212.9865932,0,0,1,0,
Block-316,TROF,275.0455399,0,0,1,0,
Block-316,TROF,301.9392204,0,0,1,0,
Block-316,TROF,324.0429158,0,0,1,0,
Block-316,TROF,342.106153,0,0,1,0,
Block-316,TROF,363.2361882,0,0,1,0,
Block-316,TROF,381.1283762,0,0,1,0,
Block-316,TROF,394.798121,0,0,1,0,
Block-316,TROF,404.7473049,0,0,1,0,
Block-316,TROF,427.6855602,0,0,1,0,
Block-316,TROF,443.9968972,0,0,1,0,
Block-316,TROF,472.5619917,0,0,1,0,
Block-316,TROF,488.6744268,0,0,1,0,
Block-316,TROF,590.7005031,0,0,1,0,
Block-316,TROF,621.0125823,0,0,1,0,
Block-316,TROF,636.6574183,0,0,1,0,
Block-316,TROF,650.2718668,0,0,1,0,
Block-316,TROF,664.64555,0,0,1,0,
Block-316,TROF,672.3115828,0,0,1,0,
Block-316,TROF,687.2113562,0,0,1,0,
Block-316,TROF,700.7524045,0,0,1,0,
Block-316,TROF,720.0730317,0,0,1,0,
Block-316,TROF,728.4786789,0,0,1,0,
Block-316,TROF,738.4211047,0,0,1,0,
Block-316,TROF,811.7340159,0,0,1,0,
Block-316,TROF,830.8097434,0,0,1,0,
Block-316,TROF,851.0324326,0,0,1,0,
Block-316,TROF,871.5376639,0,0,1,0,
Block-316,TROF,907.647918,0,0,1,0,
Block-316,TROF,922.300375,0,0,1,0,
Block-316,TROF,939.2376218,0,0,1,0,
Block-316,TROF,956.1838386,0,0,1,0,
Block-316,TROF,992.3569255,0,0,1,0,
Block-316,TROF,1005.98485,0,0,1,0,
Block-316,TROF,1023.131197,0,0,1,0,
Block-316,TROF,1053.242819,0,0,1,0,
Block-316,TROF,1065.444639,0,0,1,0,
Block-316,TROF,1079.78666,0,0,1,0,
Block-316,TROF,1097.812541,0,0,1,0,
Block-316,TROF,1111.910892,0,0,1,0,
Block-316,TROF,1128.647475,0,0,1,0,
Block-316,TROF,1156.347535,0,0,1,0,
Block-316,TROF,1172.271268,0,0,1,0,
Block-316,TROF,1194.901176,0,0,1,0,
Block-316,TROF,1225.203712,0,0,1,0,
Block-316,TROF,1236.368507,0,0,1,0,
Block-316,TROF,1266.311332,0,0,1,0,
Block-316,TROF,1311.134884,0,0,1,0,
Block-316,TROF,1328.651387,0,0,1,0,
Block-316,TROF,1364.630897,0,0,1,0,
Block-316,TROF,1445.906678,0,0,1,0,
Block-316,TROF,1476.152484,0,0,1,0,
Block-316,TROF,1491.252797,0,0,1,0,
Block-316,TROF,1520.856965,0,0,1,0,
Block-316,TROF,1530.389463,0,0,1,0,
Block-316,TROF,1548.366561,0,0,1,0,
Block-316,TROF,1562.54634,0,0,1,0,
Block-316,TROF,1581.30815,0,0,1,0,
Block-316,TROF,1627.474125,0,0,1,0,
Block-316,TROF,1641.825116,0,0,1,0,
Block-316,TROF,1656.07424,0,0,1,0,
Block-316,TROF,1683.165225,0,0,1,0,
Block-316,TROF,1699.453911,0,0,1,0,
Block-316,TROF,1712.874578,0,0,1,0,
Block-316,TROF,1770.99735,0,0,1,0,
