BLOCK,EVENT,TIME,CHAN,Sampling_Freq,NumOfPoints,D0,
Block-318,IROF,580.4018483,0,0,1,0,
Block-318,IROF,618.3318324,0,0,1,0,
Block-318,IROF,1047.188357,0,0,1,0,
Block-318,IROF,1049.952338,0,0,1,0,
Block-318,IROF,1056.373473,0,0,1,0,
Block-318,IROF,1057.610834,0,0,1,0,
Block-318,IROF,1061.035008,0,0,1,0,
Block-318,IROF,1066.479166,0,0,1,0,
Block-318,IROF,1541.023662,0,0,1,0,
Block-318,IROF,1549.153731,0,0,1,0,
Block-318,IROF,1560.4736,0,0,1,0,
Block-318,IROF,1573.255496,0,0,1,0,
Block-318,IROF,1579.016233,0,0,1,0,
Block-318,IROF,1672.257577,0,0,1,0,
