BLOCK,EVENT,TIME,CHAN,Sampling_Freq,NumOfPoints,D0,
Block-321,LICK,177.2723405,0,0,1,0,
Block-321,LICK,177.3927629,0,0,1,0,
Block-321,LICK,177.5106049,0,0,1,0,
Block-321,LICK,177.6399565,0,0,1,0,
Block-321,LICK,177.7676289,0,0,1,0,
Block-321,LICK,177.8619187,0,0,1,0,
Block-321,LICK,177.9084902,0,0,1,0,
Block-321,LICK,178.0300596,0,0,1,0,
Block-321,LICK,178.096128,0,0,1,0,
Block-321,LICK,218.2640846,0,0,1,0,
Block-321,LICK,218.4158823,0,0,1,0,
Block-321,LICK,218.5067315,0,0,1,0,
Block-321,LICK,249.3849599,0,0,1,0,
Block-321,LICK,249.4958797,0,0,1,0,
Block-321,LICK,249.6487014,0,0,1,0,
Block-321,LICK,262.2387815,0,0,1,0,
Block-321,LICK,262.2633574,0,0,1,0,
Block-321,LICK,262.3782094,0,0,1,0,
Block-321,LICK,262.447186,0,0,1,0,
Block-321,LICK,262.4580812,0,0,1,0,
Block-321,LICK,262.460252,0,0,1,0,
Block-321,LICK,262.5277133,0,0,1,0,
Block-321,LICK,262.5417216,0,0,1,0,
Block-321,LICK,262.6548121,0,0,1,0,
Block-321,LICK,262.7330458,0,0,1,0,
Block-321,LICK,262.7467673,0,0,1,0,
Block-321,LICK,262.7522559,0,0,1,0,
Block-321,LICK,262.7715483,0,0,1,0,
Block-321,LICK,265.3123789,0,0,1,0,
Block-321,LICK,265.4362009,0,0,1,0,
Block-321,LICK,265.6052837,0,0,1,0,
Block-321,LICK,265.7755954,0,0,1,0,
Block-321,LICK,265.9577036,0,0,1,0,
Block-321,LICK,266.110976,0,0,1,0,
Block-321,LICK,295.8619034,0,0,1,0,
Block-321,LICK,295.98507,0,0,1,0,
Block-321,LICK,296.1156914,0,0,1,0,
Block-321,LICK,296.2432818,0,0,1,0,
Block-321,LICK,296.2526207,0,0,1,0,
Block-321,LICK,296.3924582,0,0,1,0,
Block-321,LICK,296.5209088,0,0,1,0,
Block-321,LICK,296.6532505,0,0,1,0,
Block-321,LICK,296.7873127,0,0,1,0,
Block-321,LICK,296.9153125,0,0,1,0,
Block-321,LICK,296.9799066,0,0,1,0,
Block-321,LICK,297.0032947,0,0,1,0,
Block-321,LICK,297.0455654,0,0,1,0,
Block-321,LICK,297.1831911,0,0,1,0,
Block-321,LICK,297.2427878,0,0,1,0,
Block-321,LICK,297.3217587,0,0,1,0,
Block-321,LICK,297.3741875,0,0,1,0,
Block-321,LICK,297.4343987,0,0,1,0,
Block-321,LICK,297.61024,0,0,1,0,
Block-321,LICK,297.7162445,0,0,1,0,
Block-321,LICK,297.865216,0,0,1,0,
Block-321,LICK,298.0212326,0,0,1,0,
Block-321,LICK,298.1455052,0,0,1,0,
Block-321,LICK,298.2044058,0,0,1,0,
Block-321,LICK,312.7107995,0,0,1,0,
Block-321,LICK,312.8345394,0,0,1,0,
Block-321,LICK,312.9512346,0,0,1,0,
Block-321,LICK,313.1028275,0,0,1,0,
Block-321,LICK,313.2608511,0,0,1,0,
Block-321,LICK,313.3449011,0,0,1,0,
Block-321,LICK,313.4174004,0,0,1,0,
Block-321,LICK,313.5621939,0,0,1,0,
Block-321,LICK,313.7081754,0,0,1,0,
Block-321,LICK,313.7746944,0,0,1,0,
Block-321,LICK,313.7901773,0,0,1,0,
Block-321,LICK,313.8139751,0,0,1,0,
Block-321,LICK,313.8514535,0,0,1,0,
Block-321,LICK,313.9957554,0,0,1,0,
Block-321,LICK,314.0592027,0,0,1,0,
Block-321,LICK,314.1346509,0,0,1,0,
Block-321,LICK,314.2800999,0,0,1,0,
Block-321,LICK,314.4018738,0,0,1,0,
Block-321,LICK,314.4676967,0,0,1,0,
Block-321,LICK,314.4707277,0,0,1,0,
Block-321,LICK,314.5627239,0,0,1,0,
Block-321,LICK,314.6790912,0,0,1,0,
Block-321,LICK,314.7385652,0,0,1,0,
Block-321,LICK,314.8296602,0,0,1,0,
Block-321,LICK,314.8804505,0,0,1,0,
Block-321,LICK,314.8851199,0,0,1,0,
Block-321,LICK,327.1455538,0,0,1,0,
Block-321,LICK,327.1540737,0,0,1,0,
Block-321,LICK,327.2876852,0,0,1,0,
Block-321,LICK,327.5589633,0,0,1,0,
Block-321,LICK,327.7161677,0,0,1,0,
Block-321,LICK,327.7840383,0,0,1,0,
Block-321,LICK,327.8625586,0,0,1,0,
Block-321,LICK,328.0019047,0,0,1,0,
Block-321,LICK,328.1219993,0,0,1,0,
Block-321,LICK,328.255652,0,0,1,0,
Block-321,LICK,328.3761151,0,0,1,0,
Block-321,LICK,328.4364493,0,0,1,0,
Block-321,LICK,328.4399719,0,0,1,0,
Block-321,LICK,328.523735,0,0,1,0,
Block-321,LICK,328.6726246,0,0,1,0,
Block-321,LICK,328.8170905,0,0,1,0,
Block-321,LICK,328.8830771,0,0,1,0,
Block-321,LICK,328.9654887,0,0,1,0,
Block-321,LICK,329.0331955,0,0,1,0,
Block-321,LICK,329.1266663,0,0,1,0,
Block-321,LICK,329.1901133,0,0,1,0,
Block-321,LICK,329.2122726,0,0,1,0,
Block-321,LICK,329.2151809,0,0,1,0,
Block-321,LICK,329.2746956,0,0,1,0,
Block-321,LICK,329.3473587,0,0,1,0,
Block-321,LICK,329.4056039,0,0,1,0,
Block-321,LICK,329.5429838,0,0,1,0,
Block-321,LICK,329.6046693,0,0,1,0,
Block-321,LICK,329.6859341,0,0,1,0,
Block-321,LICK,329.7585561,0,0,1,0,
Block-321,LICK,329.8455553,0,0,1,0,
Block-321,LICK,330.0143104,0,0,1,0,
