BLOCK,EVENT,TIME,CHAN,Sampling_Freq,NumOfPoints,D0,
GR5-180226-150039,LOFF,113.7630413,0,0,1,0,
GR5-180226-150039,LOFF,113.8845286,0,0,1,0,
GR5-180226-150039,LOFF,113.9872973,0,0,1,0,
GR5-180226-150039,LOFF,114.1103001,0,0,1,0,
GR5-180226-150039,LOFF,114.2496052,0,0,1,0,
GR5-180226-150039,LOFF,114.2721331,0,0,1,0,
GR5-180226-150039,LOFF,114.7600896,0,0,1,0,
GR5-180226-150039,LOFF,114.9060302,0,0,1,0,
GR5-180226-150039,LOFF,115.2738509,0,0,1,0,
GR5-180226-150039,LOFF,115.6883662,0,0,1,0,
GR5-180226-150039,LOFF,115.8336513,0,0,1,0,
GR5-180226-150039,LOFF,115.9780352,0,0,1,0,
GR5-180226-150039,LOFF,116.1086566,0,0,1,0,
GR5-180226-150039,LOFF,116.2185934,0,0,1,0,
GR5-180226-150039,LOFF,116.2466509,0,0,1,0,
GR5-180226-150039,LOFF,116.3957453,0,0,1,0,
GR5-180226-150039,LOFF,116.5474203,0,0,1,0,
GR5-180226-150039,LOFF,116.6891418,0,0,1,0,
GR5-180226-150039,LOFF,116.8284059,0,0,1,0,
GR5-180226-150039,LOFF,116.9657037,0,0,1,0,
GR5-180226-150039,LOFF,117.1037798,0,0,1,0,
GR5-180226-150039,LOFF,117.2452147,0,0,1,0,
GR5-180226-150039,LOFF,117.3738291,0,0,1,0,
GR5-180226-150039,LOFF,117.505065,0,0,1,0,
GR5-180226-150039,LOFF,117.6453531,0,0,1,0,
GR5-180226-150039,LOFF,117.7783501,0,0,1,0,
GR5-180226-150039,LOFF,150.9422286,0,0,1,0,
GR5-180226-150039,LOFF,151.0939853,0,0,1,0,
GR5-180226-150039,LOFF,151.2271461,0,0,1,0,
GR5-180226-150039,LOFF,151.3764455,0,0,1,0,
GR5-180226-150039,LOFF,151.5445452,0,0,1,0,
GR5-180226-150039,LOFF,174.1236634,0,0,1,0,
GR5-180226-150039,LOFF,174.2218444,0,0,1,0,
GR5-180226-150039,LOFF,174.2551041,0,0,1,0,
GR5-180226-150039,LOFF,175.0754099,0,0,1,0,
GR5-180226-150039,LOFF,175.2278221,0,0,1,0,
GR5-180226-150039,LOFF,175.3711412,0,0,1,0,
GR5-180226-150039,LOFF,175.4939802,0,0,1,0,
GR5-180226-150039,LOFF,175.6189082,0,0,1,0,
GR5-180226-150039,LOFF,175.6504474,0,0,1,0,
GR5-180226-150039,LOFF,175.6550348,0,0,1,0,
GR5-180226-150039,LOFF,175.6727705,0,0,1,0,
GR5-180226-150039,LOFF,175.7352345,0,0,1,0,
GR5-180226-150039,LOFF,175.8547969,0,0,1,0,
GR5-180226-150039,LOFF,175.9785368,0,0,1,0,
GR5-180226-150039,LOFF,176.117801,0,0,1,0,
GR5-180226-150039,LOFF,176.2583756,0,0,1,0,
GR5-180226-150039,LOFF,176.3987455,0,0,1,0,
GR5-180226-150039,LOFF,176.5348556,0,0,1,0,
GR5-180226-150039,LOFF,176.6643713,0,0,1,0,
GR5-180226-150039,LOFF,176.7979009,0,0,1,0,
GR5-180226-150039,LOFF,176.9264743,0,0,1,0,
GR5-180226-150039,LOFF,177.0633216,0,0,1,0,
GR5-180226-150039,LOFF,177.1994317,0,0,1,0,
GR5-180226-150039,LOFF,177.3375077,0,0,1,0,
GR5-180226-150039,LOFF,177.4600191,0,0,1,0,
GR5-180226-150039,LOFF,177.469522,0,0,1,0,
GR5-180226-150039,LOFF,177.5832269,0,0,1,0,
GR5-180226-150039,LOFF,177.8688409,0,0,1,0,
GR5-180226-150039,LOFF,178.0176897,0,0,1,0,
GR5-180226-150039,LOFF,178.1749351,0,0,1,0,
GR5-180226-150039,LOFF,178.3071539,0,0,1,0,
GR5-180226-150039,LOFF,178.4379802,0,0,1,0,
GR5-180226-150039,LOFF,178.5827737,0,0,1,0,
GR5-180226-150039,LOFF,178.7210956,0,0,1,0,
GR5-180226-150039,LOFF,178.8766618,0,0,1,0,
GR5-180226-150039,LOFF,191.3691342,0,0,1,0,
GR5-180226-150039,LOFF,191.5274854,0,0,1,0,
GR5-180226-150039,LOFF,191.6693299,0,0,1,0,
GR5-180226-150039,LOFF,191.8015079,0,0,1,0,
GR5-180226-150039,LOFF,191.9287295,0,0,1,0,
GR5-180226-150039,LOFF,192.0701234,0,0,1,0,
GR5-180226-150039,LOFF,192.2260993,0,0,1,0,
GR5-180226-150039,LOFF,192.3724084,0,0,1,0,
GR5-180226-150039,LOFF,192.5110579,0,0,1,0,
GR5-180226-150039,LOFF,192.6572032,0,0,1,0,
GR5-180226-150039,LOFF,192.7922072,0,0,1,0,
GR5-180226-150039,LOFF,192.9538355,0,0,1,0,
GR5-180226-150039,LOFF,193.0062234,0,0,1,0,
GR5-180226-150039,LOFF,193.105756,0,0,1,0,
GR5-180226-150039,LOFF,193.2481332,0,0,1,0,
GR5-180226-150039,LOFF,193.3878477,0,0,1,0,
GR5-180226-150039,LOFF,193.5434139,0,0,1,0,
GR5-180226-150039,LOFF,193.6990209,0,0,1,0,
GR5-180226-150039,LOFF,193.8423398,0,0,1,0,
GR5-180226-150039,LOFF,194.1871002,0,0,1,0,
GR5-180226-150039,LOFF,194.3843634,0,0,1,0,
GR5-180226-150039,LOFF,194.5853133,0,0,1,0,
GR5-180226-150039,LOFF,194.7378893,0,0,1,0,
GR5-180226-150039,LOFF,194.8940697,0,0,1,0,
GR5-180226-150039,LOFF,195.0472193,0,0,1,0,
GR5-180226-150039,LOFF,195.198894,0,0,1,0,
GR5-180226-150039,LOFF,195.3477836,0,0,1,0,
GR5-180226-150039,LOFF,195.5108044,0,0,1,0,
GR5-180226-150039,LOFF,195.6549838,0,0,1,0,
GR5-180226-150039,LOFF,195.8151782,0,0,1,0,
GR5-180226-150039,LOFF,195.9898727,0,0,1,0,
GR5-180226-150039,LOFF,196.133929,0,0,1,0,
GR5-180226-150039,LOFF,196.6738636,0,0,1,0,
GR5-180226-150039,LOFF,196.8278322,0,0,1,0,
