BLOCK,EVENT,TIME,CHAN,Sampling_Freq,NumOfPoints,D0,
GR5-180226-150039,ATOF,118.5895219,0,0,1,0,
GR5-180226-150039,ATOF,157.3320293,0,0,1,0,
GR5-180226-150039,ATOF,180.8528588,0,0,1,0,
GR5-180226-150039,ATOF,198.1088562,0,0,1,0,
GR5-180226-150039,ATOF,216.3287654,0,0,1,0,
GR5-180226-150039,ATOF,242.0975206,0,0,1,0,
GR5-180226-150039,ATOF,270.3498445,0,0,1,0,
GR5-180226-150039,ATOF,294.8204954,0,0,1,0,
GR5-180226-150039,ATOF,317.4019482,0,0,1,0,
GR5-180226-150039,ATOF,339.2844186,0,0,1,0,
GR5-180226-150039,ATOF,356.1920922,0,0,1,0,
GR5-180226-150039,ATOF,373.5188274,0,0,1,0,
GR5-180226-150039,ATOF,404.9053288,0,0,1,0,
GR5-180226-150039,ATOF,419.3189478,0,0,1,0,
GR5-180226-150039,ATOF,442.734592,0,0,1,0,
GR5-180226-150039,ATOF,461.6754789,0,0,1,0,
GR5-180226-150039,ATOF,474.0037837,0,0,1,0,
GR5-180226-150039,ATOF,494.6250956,0,0,1,0,
GR5-180226-150039,ATOF,511.5685682,0,0,1,0,
GR5-180226-150039,ATOF,525.678551,0,0,1,0,
GR5-180226-150039,ATOF,550.7316532,0,0,1,0,
GR5-180226-150039,ATOF,571.2914431,0,0,1,0,
GR5-180226-150039,ATOF,583.8752973,0,0,1,0,
GR5-180226-150039,ATOF,598.8898816,0,0,1,0,
GR5-180226-150039,ATOF,617.8233957,0,0,1,0,
GR5-180226-150039,ATOF,634.3107789,0,0,1,0,
GR5-180226-150039,ATOF,650.1185946,0,0,1,0,
GR5-180226-150039,ATOF,682.7315609,0,0,1,0,
GR5-180226-150039,ATOF,703.5305984,0,0,1,0,
GR5-180226-150039,ATOF,721.6894772,0,0,1,0,
GR5-180226-150039,ATOF,749.1039641,0,0,1,0,
GR5-180226-150039,ATOF,770.1708801,0,0,1,0,
GR5-180226-150039,ATOF,793.0857062,0,0,1,0,
GR5-180226-150039,ATOF,840.2743707,0,0,1,0,
GR5-180226-150039,ATOF,906.4690073,0,0,1,0,
GR5-180226-150039,ATOF,1046.756393,0,0,1,0,
GR5-180226-150039,ATOF,1072.669532,0,0,1,0,
GR5-180226-150039,ATOF,1087.779348,0,0,1,0,
GR5-180226-150039,ATOF,1120.760996,0,0,1,0,
GR5-180226-150039,ATOF,1160.116961,0,0,1,0,
GR5-180226-150039,ATOF,1215.609119,0,0,1,0,
GR5-180226-150039,ATOF,1234.58175,0,0,1,0,
GR5-180226-150039,ATOF,1249.146716,0,0,1,0,
GR5-180226-150039,ATOF,1259.326628,0,0,1,0,
GR5-180226-150039,ATOF,1275.792876,0,0,1,0,
GR5-180226-150039,ATOF,1293.764649,0,0,1,0,
GR5-180226-150039,ATOF,1307.150991,0,0,1,0,
GR5-180226-150039,ATOF,1317.004821,0,0,1,0,
GR5-180226-150039,ATOF,1331.087237,0,0,1,0,
GR5-180226-150039,ATOF,1345.068564,0,0,1,0,
GR5-180226-150039,ATOF,1361.333453,0,0,1,0,
GR5-180226-150039,ATOF,1377.52662,0,0,1,0,
GR5-180226-150039,ATOF,1391.302574,0,0,1,0,
GR5-180226-150039,ATOF,1405.501563,0,0,1,0,
GR5-180226-150039,ATOF,1424.718438,0,0,1,0,
GR5-180226-150039,ATOF,1439.726059,0,0,1,0,
GR5-180226-150039,ATOF,1495.393157,0,0,1,0,
GR5-180226-150039,ATOF,1527.803044,0,0,1,0,
GR5-180226-150039,ATOF,1586.566676,0,0,1,0,
GR5-180226-150039,ATOF,1612.713984,0,0,1,0,
GR5-180226-150039,ATOF,1634.135654,0,0,1,0,
GR5-180226-150039,ATOF,1646.706278,0,0,1,0,
GR5-180226-150039,ATOF,1702.596158,0,0,1,0,
GR5-180226-150039,ATOF,1720.683479,0,0,1,0,
GR5-180226-150039,ATOF,1734.782198,0,0,1,0,
