BLOCK,EVENT,TIME,CHAN,Sampling_Freq,NumOfPoints,D0,
GR5-180227-110953,LICK,211.5678618,0,0,1,0,
GR5-180227-110953,LICK,211.8207898,0,0,1,0,
GR5-180227-110953,LICK,213.6258969,0,0,1,0,
GR5-180227-110953,LICK,241.5009792,0,0,1,0,
GR5-180227-110953,LICK,241.5493529,0,0,1,0,
GR5-180227-110953,LICK,241.6850126,0,0,1,0,
GR5-180227-110953,LICK,241.7872076,0,0,1,0,
GR5-180227-110953,LICK,242.0361626,0,0,1,0,
GR5-180227-110953,LICK,242.319319,0,0,1,0,
GR5-180227-110953,LICK,394.3779123,0,0,1,0,
GR5-180227-110953,LICK,394.6048307,0,0,1,0,
GR5-180227-110953,LICK,394.8907726,0,0,1,0,
GR5-180227-110953,LICK,395.1628697,0,0,1,0,
GR5-180227-110953,LICK,396.5324082,0,0,1,0,
GR5-180227-110953,LICK,396.8597198,0,0,1,0,
GR5-180227-110953,LICK,397.0358887,0,0,1,0,
GR5-180227-110953,LICK,397.1990323,0,0,1,0,
GR5-180227-110953,LICK,397.3573017,0,0,1,0,
GR5-180227-110953,LICK,397.500293,0,0,1,0,
GR5-180227-110953,LICK,397.6783462,0,0,1,0,
GR5-180227-110953,LICK,397.7774694,0,0,1,0,
GR5-180227-110953,LICK,398.2206566,0,0,1,0,
GR5-180227-110953,LICK,398.3632383,0,0,1,0,
GR5-180227-110953,LICK,447.0448947,0,0,1,0,
GR5-180227-110953,LICK,447.1700685,0,0,1,0,
GR5-180227-110953,LICK,447.3596313,0,0,1,0,
GR5-180227-110953,LICK,447.4034586,0,0,1,0,
GR5-180227-110953,LICK,447.4679296,0,0,1,0,
GR5-180227-110953,LICK,447.6229632,0,0,1,0,
GR5-180227-110953,LICK,447.6934555,0,0,1,0,
GR5-180227-110953,LICK,447.758213,0,0,1,0,
GR5-180227-110953,LICK,447.7937665,0,0,1,0,
GR5-180227-110953,LICK,447.8860083,0,0,1,0,
GR5-180227-110953,LICK,448.0128205,0,0,1,0,
GR5-180227-110953,LICK,467.9044712,0,0,1,0,
GR5-180227-110953,LICK,468.0378778,0,0,1,0,
GR5-180227-110953,LICK,468.2040524,0,0,1,0,
GR5-180227-110953,LICK,468.2267444,0,0,1,0,
GR5-180227-110953,LICK,468.3293083,0,0,1,0,
GR5-180227-110953,LICK,468.4218779,0,0,1,0,
GR5-180227-110953,LICK,468.4892569,0,0,1,0,
GR5-180227-110953,LICK,468.5178881,0,0,1,0,
GR5-180227-110953,LICK,468.6247118,0,0,1,0,
GR5-180227-110953,LICK,468.6440856,0,0,1,0,
GR5-180227-110953,LICK,468.786217,0,0,1,0,
GR5-180227-110953,LICK,468.922327,0,0,1,0,
GR5-180227-110953,LICK,469.0481563,0,0,1,0,
GR5-180227-110953,LICK,469.100585,0,0,1,0,
GR5-180227-110953,LICK,469.2032716,0,0,1,0,
GR5-180227-110953,LICK,490.080256,0,0,1,0,
GR5-180227-110953,LICK,490.2477005,0,0,1,0,
GR5-180227-110953,LICK,490.3619788,0,0,1,0,
GR5-180227-110953,LICK,490.4984987,0,0,1,0,
GR5-180227-110953,LICK,490.5672295,0,0,1,0,
GR5-180227-110953,LICK,490.6617241,0,0,1,0,
GR5-180227-110953,LICK,490.807173,0,0,1,0,
GR5-180227-110953,LICK,490.9279642,0,0,1,0,
GR5-180227-110953,LICK,491.0634189,0,0,1,0,
GR5-180227-110953,LICK,491.210711,0,0,1,0,
GR5-180227-110953,LICK,491.3696358,0,0,1,0,
GR5-180227-110953,LICK,491.5064423,0,0,1,0,
GR5-180227-110953,LICK,510.1364839,0,0,1,0,
GR5-180227-110953,LICK,510.2865202,0,0,1,0,
GR5-180227-110953,LICK,510.4743218,0,0,1,0,
GR5-180227-110953,LICK,510.6353767,0,0,1,0,
GR5-180227-110953,LICK,510.7939737,0,0,1,0,
GR5-180227-110953,LICK,510.9691188,0,0,1,0,
GR5-180227-110953,LICK,511.1096525,0,0,1,0,
GR5-180227-110953,LICK,511.2784076,0,0,1,0,
GR5-180227-110953,LICK,511.4226279,0,0,1,0,
GR5-180227-110953,LICK,511.5828223,0,0,1,0,
GR5-180227-110953,LICK,511.7353983,0,0,1,0,
GR5-180227-110953,LICK,511.8930943,0,0,1,0,
GR5-180227-110953,LICK,540.3904409,0,0,1,0,
GR5-180227-110953,LICK,540.525568,0,0,1,0,
GR5-180227-110953,LICK,540.6738431,0,0,1,0,
GR5-180227-110953,LICK,540.7710414,0,0,1,0,
GR5-180227-110953,LICK,540.8047104,0,0,1,0,
GR5-180227-110953,LICK,540.9438925,0,0,1,0,
GR5-180227-110953,LICK,541.0901196,0,0,1,0,
GR5-180227-110953,LICK,541.2185292,0,0,1,0,
GR5-180227-110953,LICK,541.3452594,0,0,1,0,
GR5-180227-110953,LICK,541.3915854,0,0,1,0,
GR5-180227-110953,LICK,541.4824755,0,0,1,0,
GR5-180227-110953,LICK,541.5268352,0,0,1,0,
