BLOCK,EVENT,TIME,CHAN,Sampling_Freq,NumOfPoints,D0,
Block-319,IROF,55.20490503,0,0,1,0,
Block-319,IROF,56.13281274,0,0,1,0,
Block-319,IROF,117.3428223,0,0,1,0,
Block-319,IROF,164.2502964,0,0,1,0,
Block-319,IROF,208.9982362,0,0,1,0,
Block-319,IROF,209.6726017,0,0,1,0,
Block-319,IROF,479.7899163,0,0,1,0,
Block-319,IROF,491.9241524,0,0,1,0,
Block-319,IROF,517.6989286,0,0,1,0,
Block-319,IROF,702.2495334,0,0,1,0,
Block-319,IROF,703.9975834,0,0,1,0,
Block-319,IROF,709.5292313,0,0,1,0,
Block-319,IROF,813.8412442,0,0,1,0,
Block-319,IROF,942.1389415,0,0,1,0,
Block-319,IROF,946.2040167,0,0,1,0,
Block-319,IROF,948.8565452,0,0,1,0,
Block-319,IROF,955.3333044,0,0,1,0,
Block-319,IROF,956.6980505,0,0,1,0,
Block-319,IROF,1330.025144,0,0,1,0,
Block-319,IROF,1333.762376,0,0,1,0,
Block-319,IROF,1335.341916,0,0,1,0,
Block-319,IROF,1338.359112,0,0,1,0,
Block-319,IROF,1340.226151,0,0,1,0,
Block-319,IROF,1341.622231,0,0,1,0,
Block-319,IROF,1343.350948,0,0,1,0,
Block-319,IROF,1347.346063,0,0,1,0,
Block-319,IROF,1349.205934,0,0,1,0,
Block-319,IROF,1351.182049,0,0,1,0,
Block-319,IROF,1355.31307,0,0,1,0,
Block-319,IROF,1361.043579,0,0,1,0,
Block-319,IROF,1363.188163,0,0,1,0,
Block-319,IROF,1368.616673,0,0,1,0,
Block-319,IROF,1369.155748,0,0,1,0,
Block-319,IROF,1373.978255,0,0,1,0,
Block-319,IROF,1375.711396,0,0,1,0,
Block-319,IROF,1457.936835,0,0,1,0,
Block-319,IROF,1459.651174,0,0,1,0,
Block-319,IROF,1472.477348,0,0,1,0,
Block-319,IROF,1477.21515,0,0,1,0,
Block-319,IROF,1481.90335,0,0,1,0,
Block-319,IROF,1487.752765,0,0,1,0,
Block-319,IROF,1492.043162,0,0,1,0,
Block-319,IROF,1497.417237,0,0,1,0,
Block-319,IROF,1500.589875,0,0,1,0,
Block-319,IROF,1502.576149,0,0,1,0,
