BLOCK,EVENT,TIME,CHAN,Sampling_Freq,NumOfPoints,D0,
Block-320,IRON,68.96713734,0,0,1,0,
Block-320,IRON,70.24418807,0,0,1,0,
Block-320,IRON,118.5538049,0,0,1,0,
Block-320,IRON,146.9856153,0,0,1,0,
Block-320,IRON,148.3377459,0,0,1,0,
Block-320,IRON,153.1595161,0,0,1,0,
Block-320,IRON,168.6099968,0,0,1,0,
Block-320,IRON,193.662034,0,0,1,0,
Block-320,IRON,227.6111565,0,0,1,0,
Block-320,IRON,234.6902323,0,0,1,0,
Block-320,IRON,255.8799052,0,0,1,0,
Block-320,IRON,277.3626881,0,0,1,0,
Block-320,IRON,287.0572238,0,0,1,0,
Block-320,IRON,288.1024818,0,0,1,0,
Block-320,IRON,290.7840102,0,0,1,0,
Block-320,IRON,292.8907878,0,0,1,0,
Block-320,IRON,299.6611481,0,0,1,0,
Block-320,IRON,317.0724249,0,0,1,0,
Block-320,IRON,323.7582438,0,0,1,0,
Block-320,IRON,342.893609,0,0,1,0,
Block-320,IRON,372.8676045,0,0,1,0,
Block-320,IRON,400.9501081,0,0,1,0,
Block-320,IRON,406.2634804,0,0,1,0,
Block-320,IRON,411.7160347,0,0,1,0,
Block-320,IRON,426.7860787,0,0,1,0,
Block-320,IRON,434.6747699,0,0,1,0,
Block-320,IRON,437.2388248,0,0,1,0,
Block-320,IRON,452.3347559,0,0,1,0,
Block-320,IRON,467.9532955,0,0,1,0,
Block-320,IRON,479.7433038,0,0,1,0,
Block-320,IRON,487.1951156,0,0,1,0,
Block-320,IRON,503.1587839,0,0,1,0,
Block-320,IRON,516.5842841,0,0,1,0,
Block-320,IRON,527.8011801,0,0,1,0,
Block-320,IRON,531.0427136,0,0,1,0,
Block-320,IRON,535.6831129,0,0,1,0,
Block-320,IRON,559.521915,0,0,1,0,
Block-320,IRON,565.1593626,0,0,1,0,
Block-320,IRON,568.7847731,0,0,1,0,
Block-320,IRON,571.4863718,0,0,1,0,
Block-320,IRON,574.4289792,0,0,1,0,
Block-320,IRON,589.8357556,0,0,1,0,
Block-320,IRON,601.8881125,0,0,1,0,
Block-320,IRON,613.7776537,0,0,1,0,
Block-320,IRON,627.6272538,0,0,1,0,
Block-320,IRON,652.0483429,0,0,1,0,
Block-320,IRON,671.2325325,0,0,1,0,
Block-320,IRON,698.4694169,0,0,1,0,
Block-320,IRON,709.7822413,0,0,1,0,
Block-320,IRON,721.1565876,0,0,1,0,
Block-320,IRON,730.9951386,0,0,1,0,
