BLOCK,EVENT,TIME,CHAN,Sampling_Freq,NumOfPoints,D0,
Block-320,LOFF,210.7650867,0,0,1,0,
Block-320,LOFF,211.0489805,0,0,1,0,
Block-320,LOFF,211.1912756,0,0,1,0,
Block-320,LOFF,211.3227162,0,0,1,0,
Block-320,LOFF,211.5631514,0,0,1,0,
Block-320,LOFF,211.5925198,0,0,1,0,
Block-320,LOFF,211.6886528,0,0,1,0,
Block-320,LOFF,211.7464883,0,0,1,0,
Block-320,LOFF,211.7697945,0,0,1,0,
Block-320,LOFF,328.7035084,0,0,1,0,
Block-320,LOFF,328.8824627,0,0,1,0,
Block-320,LOFF,328.931246,0,0,1,0,
Block-320,LOFF,329.1876967,0,0,1,0,
Block-320,LOFF,329.2816179,0,0,1,0,
Block-320,LOFF,329.4638898,0,0,1,0,
Block-320,LOFF,329.5766118,0,0,1,0,
Block-320,LOFF,329.7130497,0,0,1,0,
Block-320,LOFF,329.8373632,0,0,1,0,
Block-320,LOFF,329.9667969,0,0,1,0,
Block-320,LOFF,330.085335,0,0,1,0,
Block-320,LOFF,330.1817138,0,0,1,0,
Block-320,LOFF,346.2952549,0,0,1,0,
Block-320,LOFF,346.4619622,0,0,1,0,
Block-320,LOFF,346.494976,0,0,1,0,
Block-320,LOFF,346.5053389,0,0,1,0,
Block-320,LOFF,346.7747328,0,0,1,0,
Block-320,LOFF,346.9025691,0,0,1,0,
Block-320,LOFF,346.9099827,0,0,1,0,
Block-320,LOFF,346.9603636,0,0,1,0,
Block-320,LOFF,347.1881011,0,0,1,0,
Block-320,LOFF,347.3433394,0,0,1,0,
Block-320,LOFF,347.4678988,0,0,1,0,
Block-320,LOFF,347.6225638,0,0,1,0,
Block-320,LOFF,347.7856257,0,0,1,0,
Block-320,LOFF,347.9232922,0,0,1,0,
Block-320,LOFF,348.0623515,0,0,1,0,
Block-320,LOFF,348.2035406,0,0,1,0,
Block-320,LOFF,348.3500135,0,0,1,0,
Block-320,LOFF,376.1048372,0,0,1,0,
Block-320,LOFF,376.2838733,0,0,1,0,
Block-320,LOFF,377.2211201,0,0,1,0,
Block-320,LOFF,377.4159667,0,0,1,0,
Block-320,LOFF,377.708585,0,0,1,0,
Block-320,LOFF,377.8335948,0,0,1,0,
Block-320,LOFF,377.9661005,0,0,1,0,
Block-320,LOFF,378.114007,0,0,1,0,
Block-320,LOFF,378.2487655,0,0,1,0,
Block-320,LOFF,378.4044135,0,0,1,0,
Block-320,LOFF,378.4608154,0,0,1,0,
Block-320,LOFF,378.5048883,0,0,1,0,
Block-320,LOFF,378.6730292,0,0,1,0,
Block-320,LOFF,378.6874471,0,0,1,0,
Block-320,LOFF,378.8084838,0,0,1,0,
Block-320,LOFF,379.0688255,0,0,1,0,
Block-320,LOFF,379.1888385,0,0,1,0,
Block-320,LOFF,379.3266687,0,0,1,0,
Block-320,LOFF,379.493376,0,0,1,0,
Block-320,LOFF,379.6508262,0,0,1,0,
Block-320,LOFF,379.6627865,0,0,1,0,
Block-320,LOFF,379.710546,0,0,1,0,
Block-320,LOFF,379.7236941,0,0,1,0,
Block-320,LOFF,379.774976,0,0,1,0,
Block-320,LOFF,379.9459839,0,0,1,0,
Block-320,LOFF,380.081152,0,0,1,0,
Block-320,LOFF,380.2220135,0,0,1,0,
Block-320,LOFF,380.3514881,0,0,1,0,
Block-320,LOFF,380.4955444,0,0,1,0,
Block-320,LOFF,380.6641357,0,0,1,0,
Block-320,LOFF,380.7977881,0,0,1,0,
Block-320,LOFF,380.9697793,0,0,1,0,
Block-320,LOFF,381.1002777,0,0,1,0,
Block-320,LOFF,381.2532225,0,0,1,0,
Block-320,LOFF,381.2668622,0,0,1,0,
Block-320,LOFF,381.3907661,0,0,1,0,
Block-320,LOFF,381.4022348,0,0,1,0,
Block-320,LOFF,381.5469055,0,0,1,0,
