BLOCK,EVENT,TIME,CHAN,Sampling_Freq,NumOfPoints,D0,
Block-321,ATOF,178.917253,0,0,1,0,
Block-321,ATOF,219.268137,0,0,1,0,
Block-321,ATOF,254.4775169,0,0,1,0,
Block-321,ATOF,266.8641484,0,0,1,0,
Block-321,ATOF,300.9110835,0,0,1,0,
Block-321,ATOF,316.2223821,0,0,1,0,
Block-321,ATOF,334.5901978,0,0,1,0,
Block-321,ATOF,370.3502848,0,0,1,0,
Block-321,ATOF,389.0186651,0,0,1,0,
Block-321,ATOF,396.7151718,0,0,1,0,
Block-321,ATOF,412.5629644,0,0,1,0,
Block-321,ATOF,429.8412032,0,0,1,0,
Block-321,ATOF,441.7197671,0,0,1,0,
Block-321,ATOF,458.930258,0,0,1,0,
Block-321,ATOF,484.2422681,0,0,1,0,
Block-321,ATOF,508.9611776,0,0,1,0,
Block-321,ATOF,540.5250356,0,0,1,0,
Block-321,ATOF,567.8764031,0,0,1,0,
Block-321,ATOF,656.1953382,0,0,1,0,
Block-321,ATOF,674.3577805,0,0,1,0,
Block-321,ATOF,690.2946203,0,0,1,0,
Block-321,ATOF,726.4057753,0,0,1,0,
Block-321,ATOF,750.3011839,0,0,1,0,
Block-321,ATOF,775.1868415,0,0,1,0,
Block-321,ATOF,793.7020314,0,0,1,0,
Block-321,ATOF,814.9833727,0,0,1,0,
Block-321,ATOF,839.3590374,0,0,1,0,
Block-321,ATOF,856.7711744,0,0,1,0,
Block-321,ATOF,871.9272754,0,0,1,0,
Block-321,ATOF,899.4831564,0,0,1,0,
Block-321,ATOF,949.7901876,0,0,1,0,
Block-321,ATOF,974.3887155,0,0,1,0,
Block-321,ATOF,997.9936769,0,0,1,0,
Block-321,ATOF,1025.10293,0,0,1,0,
Block-321,ATOF,1045.079859,0,0,1,0,
Block-321,ATOF,1064.640594,0,0,1,0,
Block-321,ATOF,1080.807711,0,0,1,0,
Block-321,ATOF,1118.496154,0,0,1,0,
Block-321,ATOF,1132.973343,0,0,1,0,
Block-321,ATOF,1164.580659,0,0,1,0,
Block-321,ATOF,1191.24525,0,0,1,0,
Block-321,ATOF,1230.614282,0,0,1,0,
Block-321,ATOF,1260.630917,0,0,1,0,
Block-321,ATOF,1293.293158,0,0,1,0,
Block-321,ATOF,1334.000271,0,0,1,0,
Block-321,ATOF,1351.587185,0,0,1,0,
Block-321,ATOF,1371.879096,0,0,1,0,
Block-321,ATOF,1394.722406,0,0,1,0,
Block-321,ATOF,1414.145475,0,0,1,0,
Block-321,ATOF,1432.119828,0,0,1,0,
Block-321,ATOF,1466.875412,0,0,1,0,
Block-321,ATOF,1480.110694,0,0,1,0,
Block-321,ATOF,1510.743777,0,0,1,0,
Block-321,ATOF,1532.245934,0,0,1,0,
Block-321,ATOF,1547.477647,0,0,1,0,
Block-321,ATOF,1586.727281,0,0,1,0,
Block-321,ATOF,1606.315786,0,0,1,0,
Block-321,ATOF,1632.83329,0,0,1,0,
Block-321,ATOF,1652.338033,0,0,1,0,
Block-321,ATOF,1669.258568,0,0,1,0,
Block-321,ATOF,1684.709007,0,0,1,0,
Block-321,ATOF,1705.108275,0,0,1,0,
Block-321,ATOF,1728.698982,0,0,1,0,
