BLOCK,EVENT,TIME,CHAN,Sampling_Freq,NumOfPoints,D0,
Block-321,TRON,40.97118211,0,0,1,0,
Block-321,TRON,67.89754891,0,0,1,0,
Block-321,TRON,114.4177051,0,0,1,0,
Block-321,TRON,144.4451942,0,0,1,0,
Block-321,TRON,174.3910911,0,0,1,0,
Block-321,TRON,210.8978381,0,0,1,0,
Block-321,TRON,231.1554663,0,0,1,0,
Block-321,TRON,259.501097,0,0,1,0,
Block-321,TRON,282.9768703,0,0,1,0,
Block-321,TRON,310.1416242,0,0,1,0,
Block-321,TRON,324.3995545,0,0,1,0,
Block-321,TRON,361.5282791,0,0,1,0,
Block-321,TRON,379.4530303,0,0,1,0,
Block-321,TRON,393.0247169,0,0,1,0,
Block-321,TRON,407.0157108,0,0,1,0,
Block-321,TRON,418.2796698,0,0,1,0,
Block-321,TRON,433.9551437,0,0,1,0,
Block-321,TRON,453.8074317,0,0,1,0,
Block-321,TRON,472.4990361,0,0,1,0,
Block-321,TRON,502.2448025,0,0,1,0,
Block-321,TRON,531.4945023,0,0,1,0,
Block-321,TRON,556.6047437,0,0,1,0,
Block-321,TRON,622.3384576,0,0,1,0,
Block-321,TRON,644.4364595,0,0,1,0,
Block-321,TRON,665.2562637,0,0,1,0,
Block-321,TRON,683.9835854,0,0,1,0,
Block-321,TRON,704.186368,0,0,1,0,
Block-321,TRON,732.3455899,0,0,1,0,
Block-321,TRON,765.1605709,0,0,1,0,
Block-321,TRON,782.1917799,0,0,1,0,
Block-321,TRON,802.2822094,0,0,1,0,
Block-321,TRON,827.0978663,0,0,1,0,
Block-321,TRON,844.5779557,0,0,1,0,
Block-321,TRON,861.97035,0,0,1,0,
Block-321,TRON,889.3539941,0,0,1,0,
Block-321,TRON,933.8361447,0,0,1,0,
Block-321,TRON,959.0216293,0,0,1,0,
Block-321,TRON,989.0781183,0,0,1,0,
Block-321,TRON,1008.181453,0,0,1,0,
Block-321,TRON,1035.769692,0,0,1,0,
Block-321,TRON,1061.307679,0,0,1,0,
Block-321,TRON,1070.2225,0,0,1,0,
Block-321,TRON,1104.382321,0,0,1,0,
Block-321,TRON,1123.843277,0,0,1,0,
Block-321,TRON,1142.172836,0,0,1,0,
Block-321,TRON,1173.772247,0,0,1,0,
Block-321,TRON,1218.277458,0,0,1,0,
Block-321,TRON,1241.842524,0,0,1,0,
Block-321,TRON,1272.751309,0,0,1,0,
Block-321,TRON,1327.074959,0,0,1,0,
Block-321,TRON,1342.841897,0,0,1,0,
Block-321,TRON,1360.233349,0,0,1,0,
Block-321,TRON,1383.101071,0,0,1,0,
Block-321,TRON,1401.575383,0,0,1,0,
Block-321,TRON,1423.665562,0,0,1,0,
Block-321,TRON,1456.096256,0,0,1,0,
Block-321,TRON,1471.977308,0,0,1,0,
Block-321,TRON,1494.568878,0,0,1,0,
Block-321,TRON,1522.727854,0,0,1,0,
Block-321,TRON,1537.870807,0,0,1,0,
Block-321,TRON,1569.749156,0,0,1,0,
Block-321,TRON,1596.374303,0,0,1,0,
Block-321,TRON,1616.284344,0,0,1,0,
Block-321,TRON,1642.21698,0,0,1,0,
Block-321,TRON,1657.29919,0,0,1,0,
Block-321,TRON,1678.171464,0,0,1,0,
Block-321,TRON,1694.544814,0,0,1,0,
Block-321,TRON,1717.063762,0,0,1,0,
