BLOCK,EVENT,TIME,CHAN,Sampling_Freq,NumOfPoints,D0,
Block-320,ATOF,212.5085082,0,0,1,0,
Block-320,ATOF,335.1845684,0,0,1,0,
Block-320,ATOF,349.1168256,0,0,1,0,
Block-320,ATOF,382.4728882,0,0,1,0,
Block-320,ATOF,415.2789812,0,0,1,0,
Block-320,ATOF,440.6616063,0,0,1,0,
Block-320,ATOF,457.4255514,0,0,1,0,
Block-320,ATOF,472.5323775,0,0,1,0,
Block-320,ATOF,482.4829543,0,0,1,0,
Block-320,ATOF,498.1214004,0,0,1,0,
Block-320,ATOF,509.1444736,0,0,1,0,
Block-320,ATOF,544.3061759,0,0,1,0,
Block-320,ATOF,580.4889703,0,0,1,0,
Block-320,ATOF,622.4833741,0,0,1,0,
Block-320,ATOF,637.9971788,0,0,1,0,
Block-320,ATOF,664.6086042,0,0,1,0,
Block-320,ATOF,685.3063066,0,0,1,0,
Block-320,ATOF,713.4142873,0,0,1,0,
Block-320,ATOF,726.2149017,0,0,1,0,
Block-320,ATOF,734.1241958,0,0,1,0,
Block-320,ATOF,759.6254823,0,0,1,0,
Block-320,ATOF,778.149888,0,0,1,0,
Block-320,ATOF,814.9050982,0,0,1,0,
Block-320,ATOF,828.9019084,0,0,1,0,
Block-320,ATOF,849.2029543,0,0,1,0,
Block-320,ATOF,863.8365695,0,0,1,0,
Block-320,ATOF,880.273531,0,0,1,0,
Block-320,ATOF,890.650542,0,0,1,0,
Block-320,ATOF,903.8151271,0,0,1,0,
Block-320,ATOF,920.2900174,0,0,1,0,
Block-320,ATOF,948.7966619,0,0,1,0,
Block-320,ATOF,962.9222093,0,0,1,0,
Block-320,ATOF,974.815191,0,0,1,0,
Block-320,ATOF,991.5025818,0,0,1,0,
Block-320,ATOF,1011.693281,0,0,1,0,
Block-320,ATOF,1029.25996,0,0,1,0,
Block-320,ATOF,1043.218924,0,0,1,0,
Block-320,ATOF,1062.547825,0,0,1,0,
Block-320,ATOF,1082.676019,0,0,1,0,
Block-320,ATOF,1098.352353,0,0,1,0,
Block-320,ATOF,1113.317253,0,0,1,0,
Block-320,ATOF,1175.42101,0,0,1,0,
Block-320,ATOF,1206.135767,0,0,1,0,
Block-320,ATOF,1227.118756,0,0,1,0,
Block-320,ATOF,1237.138883,0,0,1,0,
Block-320,ATOF,1267.146138,0,0,1,0,
Block-320,ATOF,1303.033692,0,0,1,0,
Block-320,ATOF,1323.955118,0,0,1,0,
Block-320,ATOF,1344.182641,0,0,1,0,
Block-320,ATOF,1603.027804,0,0,1,0,
Block-320,ATOF,1624.969544,0,0,1,0,
Block-320,ATOF,1654.947267,0,0,1,0,
